 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -0.7119 -0.6946 -0.6836 -0.6772 -0.6651 -0.6455 -0.6023 -0.5807 -0.5522 -0.5094
 -0.4533 -0.3940 -0.3294 -0.2593 -0.1934 -0.0708 -0.0120  0.0025 -0.0025
 -0.6893 -0.6034 -0.5504 -0.5270 -0.5266 -0.5241 -0.5118 -0.4935 -0.4717 -0.4459
 -0.4094 -0.3594 -0.3004 -0.2419 -0.1893 -0.0919 -0.0385 -0.0198 -0.0208 -0.0337
 -0.6434 -0.5722 -0.5113 -0.4633 -0.4319 -0.4209 -0.4263 -0.4281 -0.4158 -0.3912
 -0.3632 -0.3293 -0.2840 -0.2339 -0.1871 -0.0988 -0.0527 -0.0382 -0.0414 -0.0545
 -0.0739
 -0.5956 -0.5382 -0.4845 -0.4359 -0.3949 -0.3648 -0.3468 -0.3410 -0.3422 -0.3367
 -0.3189 -0.2964 -0.2659 -0.2265 -0.1860 -0.1062 -0.0641 -0.0532 -0.0588 -0.0726
 -0.0916 -0.1146
 -0.5277 -0.4882 -0.4482 -0.4078 -0.3688 -0.3344 -0.3073 -0.2881 -0.2757 -0.2684
 -0.2611 -0.2490 -0.2337 -0.2099 -0.1802 -0.1104 -0.0713 -0.0632 -0.0721 -0.0877
 -0.1073 -0.1302 -0.1558 -0.1832
 -0.4403 -0.4187 -0.3950 -0.3677 -0.3374 -0.3064 -0.2778 -0.2542 -0.2361 -0.2217
 -0.2096 -0.1984 -0.1886 -0.1755 -0.1580 -0.1084 -0.0731 -0.0665 -0.0794 -0.0988
 -0.1205 -0.1444 -0.1703 -0.1981 -0.2279 -0.2603 -0.2961 -0.3357 -0.3796 -0.4279
 -0.3406 -0.3323 -0.3240 -0.3114 -0.2935 -0.2713 -0.2470 -0.2238 -0.2041 -0.1882
 -0.1744 -0.1614 -0.1498 -0.1391 -0.1269 -0.0947 -0.0686 -0.0632 -0.0790 -0.1034
 -0.1295 -0.1560 -0.1834 -0.2120 -0.2416 -0.2714 -0.3032 -0.3391 -0.3809 -0.4287
 -0.4793
 -0.2306 -0.2349 -0.2386 -0.2388 -0.2343 -0.2240 -0.2084 -0.1902 -0.1724 -0.1567
 -0.1436 -0.1318 -0.1206 -0.1103 -0.0994 -0.0746 -0.0576 -0.0545 -0.0715 -0.1002
 -0.1318 -0.1629 -0.1935 -0.2242 -0.2551 -0.2864 -0.3175 -0.3504 -0.3872 -0.4298
 -0.4792
 -0.1187 -0.1325 -0.1443 -0.1543 -0.1610 -0.1622 -0.1577 -0.1481 -0.1357 -0.1229
 -0.1115 -0.1018 -0.0931 -0.0848 -0.0760 -0.0548 -0.0426 -0.0429 -0.0597 -0.0904
 -0.1268 -0.1637 -0.1993 -0.2337 -0.2672 -0.3002 -0.3332 -0.3678 -0.4041 -0.4420
 -0.4812
 -0.0050 -0.0251 -0.0458 -0.0628 -0.0773 -0.0884 -0.0946 -0.0953 -0.0914 -0.0846
 -0.0767 -0.0696 -0.0637 -0.0585 -0.0532 -0.0376 -0.0280 -0.0302 -0.0465 -0.0763
 -0.1146 -0.1561 -0.1972 -0.2367 -0.2743 -0.3104 -0.3457 -0.3804 -0.4191 -0.4548
 -0.4884
  0.1106  0.0873  0.0569  0.0310  0.0119 -0.0060 -0.0206 -0.0310 -0.0367 -0.0383
 -0.0368 -0.0339 -0.0311 -0.0291 -0.0275 -0.0210 -0.0142 -0.0178 -0.0340 -0.0622
 -0.0998 -0.1428 -0.1879 -0.2325 -0.2753 -0.3158 -0.3547 -0.3920 -0.4284 -0.4647
 -0.5017
  0.2281  0.2047  0.1638  0.1262  0.1029  0.0805  0.0599  0.0422  0.0280  0.0175
  0.0107  0.0070  0.0050  0.0034  0.0011 -0.0050 -0.0012 -0.0057 -0.0222
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -0.7643 -0.7197 -0.6886 -0.6676 -0.6494 -0.6308 -0.6043 -0.5824 -0.5507 -0.5073
 -0.4522 -0.3904 -0.3247 -0.2600 -0.2007 -0.0849 -0.0180  0.0083  0.0066
 -0.6963 -0.6290 -0.5951 -0.5678 -0.5432 -0.5246 -0.5105 -0.4968 -0.4782 -0.4514
 -0.4139 -0.3646 -0.3076 -0.2511 -0.1992 -0.0980 -0.0381 -0.0146 -0.0143 -0.0260
 -0.6786 -0.5885 -0.5201 -0.4767 -0.4626 -0.4621 -0.4550 -0.4402 -0.4225 -0.4031
 -0.3781 -0.3441 -0.2988 -0.2491 -0.2022 -0.1097 -0.0545 -0.0329 -0.0339 -0.0465
 -0.0658
 -0.6692 -0.5823 -0.5086 -0.4494 -0.4063 -0.3804 -0.3748 -0.3817 -0.3814 -0.3671
 -0.3456 -0.3206 -0.2882 -0.2470 -0.2058 -0.1201 -0.0684 -0.0480 -0.0502 -0.0636
 -0.0826 -0.1059
 -0.6450 -0.5696 -0.5022 -0.4430 -0.3930 -0.3538 -0.3262 -0.3101 -0.3071 -0.3105
 -0.3057 -0.2919 -0.2702 -0.2399 -0.2045 -0.1271 -0.0784 -0.0589 -0.0625 -0.0775
 -0.0974 -0.1206 -0.1467 -0.1756
 -0.5986 -0.5389 -0.4833 -0.4318 -0.3843 -0.3421 -0.3069 -0.2797 -0.2602 -0.2481
 -0.2431 -0.2394 -0.2325 -0.2178 -0.1949 -0.1289 -0.0833 -0.0646 -0.0696 -0.0874
 -0.1096 -0.1340 -0.1604 -0.1889 -0.2194 -0.2520 -0.2877 -0.3278 -0.3745 -0.4233
 -0.5298 -0.4866 -0.4457 -0.4059 -0.3666 -0.3283 -0.2925 -0.2613 -0.2357 -0.2155
 -0.1998 -0.1883 -0.1815 -0.1749 -0.1639 -0.1227 -0.0827 -0.0647 -0.0704 -0.0915
 -0.1176 -0.1448 -0.1729 -0.2021 -0.2325 -0.2643 -0.2980 -0.3345 -0.3754 -0.4237
 -0.4745
 -0.4433 -0.4149 -0.3883 -0.3617 -0.3337 -0.3039 -0.2732 -0.2431 -0.2158 -0.1926
 -0.1733 -0.1571 -0.1446 -0.1347 -0.1260 -0.1013 -0.0752 -0.0597 -0.0655 -0.0888
 -0.1196 -0.1512 -0.1824 -0.2138 -0.2453 -0.2774 -0.3106 -0.3452 -0.3822 -0.4245
 -0.4744
 -0.3454 -0.3287 -0.3141 -0.2996 -0.2835 -0.2645 -0.2423 -0.2179 -0.1932 -0.1701
 -0.1500 -0.1330 -0.1185 -0.1064 -0.0960 -0.0745 -0.0587 -0.0498 -0.0562 -0.0803
 -0.1148 -0.1517 -0.1877 -0.2227 -0.2568 -0.2906 -0.3246 -0.3590 -0.3947 -0.4330
 -0.4762
 -0.2443 -0.2353 -0.2294 -0.2245 -0.2186 -0.2102 -0.1981 -0.1824 -0.1639 -0.1444
 -0.1257 -0.1093 -0.0954 -0.0836 -0.0733 -0.0519 -0.0395 -0.0363 -0.0443 -0.0676
 -0.1033 -0.1442 -0.1855 -0.2254 -0.2635 -0.3004 -0.3365 -0.3721 -0.4078 -0.4446
 -0.4831
 -0.1445 -0.1402 -0.1389 -0.1405 -0.1424 -0.1429 -0.1403 -0.1339 -0.1239 -0.1111
 -0.0967 -0.0826 -0.0702 -0.0599 -0.0512 -0.0332 -0.0220 -0.0215 -0.0316 -0.0541
 -0.0890 -0.1312 -0.1763 -0.2212 -0.2643 -0.3055 -0.3451 -0.3833 -0.4206 -0.4578
 -0.4957
 -0.0500 -0.0475 -0.0486 -0.0528 -0.0593 -0.0661 -0.0711 -0.0732 -0.0719 -0.0674
 -0.0600 -0.0509 -0.0442 -0.0346 -0.0297 -0.0184 -0.0062 -0.0054 -0.0181
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -0.9537 -0.8874 -0.8371 -0.7974 -0.7629 -0.7274 -0.6854 -0.6341 -0.5771 -0.5166
 -0.4522 -0.3852 -0.3186 -0.2577 -0.2032 -0.0938 -0.0222  0.0134  0.0177
 -0.8608 -0.7842 -0.7262 -0.6828 -0.6488 -0.6193 -0.5891 -0.5540 -0.5148 -0.4717
 -0.4232 -0.3687 -0.3109 -0.2557 -0.2057 -0.1058 -0.0407 -0.0092 -0.0046 -0.0156
 -0.7768 -0.6919 -0.6416 -0.6039 -0.5696 -0.5406 -0.5152 -0.4892 -0.4612 -0.4306
 -0.3957 -0.3542 -0.3059 -0.2563 -0.2101 -0.1177 -0.0574 -0.0276 -0.0232 -0.0343
 -0.0534
 -0.7615 -0.6537 -0.5702 -0.5119 -0.4800 -0.4697 -0.4595 -0.4413 -0.4184 -0.3934
 -0.3664 -0.3360 -0.2988 -0.2559 -0.2137 -0.1277 -0.0713 -0.0427 -0.0383 -0.0497
 -0.0689 -0.0926
 -0.7603 -0.6512 -0.5594 -0.4856 -0.4292 -0.3914 -0.3725 -0.3679 -0.3691 -0.3596
 -0.3393 -0.3142 -0.2858 -0.2516 -0.2143 -0.1344 -0.0814 -0.0541 -0.0499 -0.0620
 -0.0821 -0.1061 -0.1329 -0.1627
 -0.7505 -0.6483 -0.5589 -0.4830 -0.4202 -0.3702 -0.3323 -0.3057 -0.2910 -0.2893
 -0.2901 -0.2827 -0.2653 -0.2402 -0.2098 -0.1370 -0.0872 -0.0613 -0.0576 -0.0707
 -0.0927 -0.1180 -0.1455 -0.1750 -0.2065 -0.2399 -0.2769 -0.3191 -0.3665 -0.4150
 -0.7209 -0.6316 -0.5507 -0.4796 -0.4178 -0.3647 -0.3203 -0.2844 -0.2567 -0.2365
 -0.2248 -0.2212 -0.2188 -0.2107 -0.1942 -0.1348 -0.0885 -0.0640 -0.0606 -0.0750
 -0.0995 -0.1275 -0.1567 -0.1870 -0.2185 -0.2516 -0.2869 -0.3248 -0.3670 -0.4158
 -0.4667
 -0.6678 -0.5940 -0.5258 -0.4641 -0.4085 -0.3586 -0.3140 -0.2747 -0.2413 -0.2139
 -0.1917 -0.1752 -0.1654 -0.1605 -0.1548 -0.1243 -0.0851 -0.0623 -0.0592 -0.0741
 -0.1012 -0.1328 -0.1651 -0.1975 -0.2302 -0.2637 -0.2984 -0.3345 -0.3729 -0.4163
 -0.4668
 -0.5933 -0.5346 -0.4803 -0.4303 -0.3844 -0.3418 -0.3017 -0.2642 -0.2298 -0.1994
 -0.1732 -0.1513 -0.1339 -0.1214 -0.1130 -0.0960 -0.0747 -0.0562 -0.0538 -0.0687
 -0.0975 -0.1330 -0.1696 -0.2055 -0.2408 -0.2759 -0.3112 -0.3472 -0.3844 -0.4247
 -0.4683
 -0.5079 -0.4613 -0.4185 -0.3800 -0.3445 -0.3111 -0.2787 -0.2468 -0.2157 -0.1861
 -0.1590 -0.1352 -0.1149 -0.0984 -0.0855 -0.0657 -0.0538 -0.0452 -0.0449 -0.0592
 -0.0880 -0.1260 -0.1670 -0.2076 -0.2467 -0.2847 -0.3222 -0.3592 -0.3964 -0.4347
 -0.4745
 -0.4193 -0.3803 -0.3457 -0.3157 -0.2894 -0.2652 -0.2415 -0.2173 -0.1924 -0.1672
 -0.1424 -0.1193 -0.0986 -0.0810 -0.0665 -0.0420 -0.0310 -0.0285 -0.0330 -0.0476
 -0.0754 -0.1140 -0.1580 -0.2031 -0.2470 -0.2892 -0.3300 -0.3695 -0.4083 -0.4469
 -0.4861
 -0.3323 -0.2981 -0.2687 -0.2438 -0.2236 -0.2066 -0.1908 -0.1746 -0.1573 -0.1387
 -0.1190 -0.0992 -0.0802 -0.0625 -0.0560 -0.0249 -0.0063 -0.0061 -0.0181
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.2800 -1.1978 -1.1289 -1.0665 -1.0056 -0.9355 -0.8456 -0.7358 -0.6314 -0.5373
 -0.4533 -0.3784 -0.3112 -0.2525 -0.2010 -0.0975 -0.0247  0.0178  0.0308
 -1.1445 -1.0545 -0.9828 -0.9229 -0.8686 -0.8123 -0.7422 -0.6604 -0.5802 -0.5048
 -0.4340 -0.3676 -0.3067 -0.2521 -0.2038 -0.1076 -0.0411 -0.0028  0.0090  0.0012
 -1.0469 -0.9503 -0.8734 -0.8116 -0.7595 -0.7114 -0.6584 -0.5969 -0.5349 -0.4747
 -0.4164 -0.3593 -0.3040 -0.2530 -0.2074 -0.1169 -0.0552 -0.0198 -0.0085 -0.0158
 -0.0344
 -0.9388 -0.8407 -0.7744 -0.7212 -0.6727 -0.6286 -0.5858 -0.5391 -0.4908 -0.4430
 -0.3957 -0.3484 -0.3003 -0.2534 -0.2103 -0.1246 -0.0666 -0.0333 -0.0225 -0.0295
 -0.0480 -0.0724
 -0.9017 -0.7742 -0.6773 -0.6078 -0.5631 -0.5377 -0.5155 -0.4855 -0.4492 -0.4106
 -0.3715 -0.3325 -0.2926 -0.2513 -0.2113 -0.1298 -0.0750 -0.0435 -0.0334 -0.0404
 -0.0592 -0.0839 -0.1120 -0.1432
 -0.8948 -0.7632 -0.6529 -0.5639 -0.4954 -0.4454 -0.4117 -0.3925 -0.3830 -0.3688
 -0.3442 -0.3129 -0.2794 -0.2447 -0.2091 -0.1322 -0.0803 -0.0505 -0.0411 -0.0484
 -0.0678 -0.0936 -0.1224 -0.1535 -0.1868 -0.2229 -0.2620 -0.3059 -0.3546 -0.4031
 -0.8920 -0.7619 -0.6489 -0.5535 -0.4755 -0.4134 -0.3650 -0.3280 -0.3013 -0.2862
 -0.2804 -0.2730 -0.2565 -0.2313 -0.2020 -0.1316 -0.0824 -0.0543 -0.0455 -0.0532
 -0.0734 -0.1009 -0.1314 -0.1634 -0.1969 -0.2321 -0.2695 -0.3098 -0.3542 -0.4039
 -0.4546
 -0.8776 -0.7559 -0.6469 -0.5519 -0.4712 -0.4043 -0.3492 -0.3045 -0.2683 -0.2397
 -0.2185 -0.2061 -0.2005 -0.1939 -0.1812 -0.1272 -0.0812 -0.0547 -0.0465 -0.0544
 -0.0753 -0.1048 -0.1378 -0.1719 -0.2066 -0.2422 -0.2792 -0.3177 -0.3587 -0.4038
 -0.4549
 -0.8418 -0.7328 -0.6330 -0.5438 -0.4661 -0.3996 -0.3429 -0.2946 -0.2538 -0.2195
 -0.1910 -0.1680 -0.1512 -0.1411 -0.1349 -0.1121 -0.0757 -0.0515 -0.0440 -0.0521
 -0.0735 -0.1047 -0.1409 -0.1782 -0.2154 -0.2526 -0.2903 -0.3286 -0.3683 -0.4108
 -0.4560
 -0.7871 -0.6927 -0.6036 -0.5239 -0.4527 -0.3903 -0.3361 -0.2885 -0.2467 -0.2099
 -0.1778 -0.1504 -0.1274 -0.1093 -0.0964 -0.0794 -0.0630 -0.0447 -0.0382 -0.0460
 -0.0672 -0.0993 -0.1381 -0.1792 -0.2200 -0.2600 -0.2996 -0.3389 -0.3785 -0.4191
 -0.4617
 -0.7197 -0.6370 -0.5585 -0.4878 -0.4247 -0.3692 -0.3203 -0.2766 -0.2372 -0.2013
 -0.1687 -0.1395 -0.1139 -0.0923 -0.0747 -0.0486 -0.0383 -0.0319 -0.0292 -0.0372
 -0.0577 -0.0896 -0.1301 -0.1746 -0.2195 -0.2634 -0.3061 -0.3477 -0.3887 -0.4297
 -0.4711
 -0.6466 -0.5735 -0.5039 -0.4402 -0.3837 -0.3348 -0.2921 -0.2541 -0.2195 -0.1873
 -0.1571 -0.1290 -0.1032 -0.0803 -0.0698 -0.0197 -0.0016 -0.0131 -0.0170
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.4945 -1.4065 -1.3286 -1.2533 -1.1754 -1.0813 -0.9575 -0.8058 -0.6668 -0.5502
 -0.4541 -0.3744 -0.3070 -0.2488 -0.1981 -0.0974 -0.0253  0.0197  0.0381
 -1.3328 -1.2374 -1.1585 -1.0889 -1.0217 -0.9472 -0.8492 -0.7330 -0.6221 -0.5245
 -0.4397 -0.3665 -0.3031 -0.2483 -0.2006 -0.1062 -0.0398  0.0002  0.0162  0.0112
 -1.2167 -1.1118 -1.0274 -0.9574 -0.8957 -0.8347 -0.7606 -0.6717 -0.5832 -0.5016
 -0.4278 -0.3612 -0.3017 -0.2493 -0.2036 -0.1139 -0.0522 -0.0149 -0.0007 -0.0052
 -0.0228
 -1.1047 -1.0081 -0.9243 -0.8531 -0.7923 -0.7375 -0.6805 -0.6131 -0.5431 -0.4760
 -0.4132 -0.3545 -0.2998 -0.2502 -0.2062 -0.1203 -0.0621 -0.0273 -0.0141 -0.0185
 -0.0356 -0.0599
 -1.0270 -0.9068 -0.7970 -0.7377 -0.6939 -0.6517 -0.6065 -0.5557 -0.5009 -0.4463
 -0.3938 -0.3435 -0.2952 -0.2493 -0.2074 -0.1249 -0.0695 -0.0367 -0.0245 -0.0289
 -0.0459 -0.0704 -0.0989 -0.1307
 -0.9861 -0.8391 -0.7267 -0.6395 -0.5748 -0.5300 -0.5019 -0.4792 -0.4499 -0.4121
 -0.3700 -0.3275 -0.2858 -0.2452 -0.2063 -0.1271 -0.0744 -0.0433 -0.0319 -0.0367
 -0.0539 -0.0790 -0.1081 -0.1398 -0.1741 -0.2109 -0.2514 -0.2969 -0.3465 -0.3953
 -0.9715 -0.8285 -0.7068 -0.6060 -0.5253 -0.4625 -0.4143 -0.3778 -0.3530 -0.3380
 -0.3236 -0.3011 -0.2702 -0.2361 -0.2017 -0.1270 -0.0765 -0.0471 -0.0365 -0.0416
 -0.0591 -0.0852 -0.1158 -0.1485 -0.1829 -0.2193 -0.2581 -0.2996 -0.3454 -0.3958
 -0.4464
 -0.9686 -0.8277 -0.7041 -0.5982 -0.5097 -0.4376 -0.3798 -0.3333 -0.2959 -0.2665
 -0.2463 -0.2350 -0.2259 -0.2114 -0.1893 -0.1239 -0.0758 -0.0480 -0.0379 -0.0433
 -0.0613 -0.0884 -0.1210 -0.1557 -0.1914 -0.2282 -0.2664 -0.3064 -0.3488 -0.3952
 -0.4467
 -0.9529 -0.8195 -0.7003 -0.5952 -0.5049 -0.4291 -0.3662 -0.3142 -0.2712 -0.2355
 -0.2059 -0.1827 -0.1667 -0.1572 -0.1494 -0.1147 -0.0715 -0.0456 -0.0363 -0.0419
 -0.0603 -0.0886 -0.1234 -0.1610 -0.1991 -0.2374 -0.2764 -0.3162 -0.3572 -0.4006
 -0.4476
 -0.9192 -0.7992 -0.6875 -0.5879 -0.5002 -0.4249 -0.3611 -0.3069 -0.2608 -0.2215
 -0.1880 -0.1595 -0.1358 -0.1175 -0.1049 -0.0866 -0.0631 -0.0402 -0.0317 -0.0372
 -0.0554 -0.0842 -0.1208 -0.1614 -0.2028 -0.2438 -0.2846 -0.3253 -0.3663 -0.4083
 -0.4523
 -0.8684 -0.7610 -0.6606 -0.5679 -0.4860 -0.4145 -0.3530 -0.2999 -0.2539 -0.2136
 -0.1782 -0.1472 -0.1203 -0.0977 -0.0792 -0.0530 -0.0411 -0.0303 -0.0241 -0.0298
 -0.0475 -0.0762 -0.1138 -0.1570 -0.2019 -0.2464 -0.2902 -0.3330 -0.3753 -0.4177
 -0.4606
 -0.8069 -0.7119 -0.6208 -0.5354 -0.4596 -0.3933 -0.3359 -0.2862 -0.2428 -0.2043
 -0.1696 -0.1383 -0.1103 -0.0858 -0.0723 -0.0139 -0.0055 -0.0159 -0.0135
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.7320 -1.6447 -1.5626 -1.4768 -1.3803 -1.2568 -1.0902 -0.8858 -0.7050 -0.5634
 -0.4556 -0.3706 -0.3015 -0.2436 -0.1940 -0.0953 -0.0246  0.0221  0.0444
