 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -1.8014 -1.7808 -1.9664 -1.9600 -1.8628 -1.7050 -1.5131 -1.3899 -1.2773 -1.1581
 -1.0444 -0.9365 -0.8361 -0.7429 -0.6579 -0.4798 -0.3373 -0.2221 -0.1500
 -1.8024 -1.7009 -1.6160 -1.5649 -1.5487 -1.5048 -1.4080 -1.2921 -1.1800 -1.0710
 -0.9653 -0.8650 -0.7717 -0.6862 -0.6081 -0.4431 -0.3153 -0.2202 -0.1516 -0.1014
 -1.6662 -1.5683 -1.4716 -1.3848 -1.3152 -1.2766 -1.2518 -1.1952 -1.1071 -1.0067
 -0.9089 -0.8150 -0.7272 -0.6467 -0.5735 -0.4205 -0.3042 -0.2188 -0.1573 -0.1119
 -0.0773
 -1.5449 -1.4629 -1.3728 -1.2830 -1.2001 -1.1275 -1.0708 -1.0358 -0.9992 -0.9390
 -0.8593 -0.7747 -0.6932 -0.6174 -0.5482 -0.4041 -0.2963 -0.2192 -0.1640 -0.1232
 -0.0917 -0.0666
 -1.4256 -1.3638 -1.2888 -1.2068 -1.1251 -1.0485 -0.9792 -0.9186 -0.8726 -0.8327
 -0.7876 -0.7286 -0.6613 -0.5929 -0.5283 -0.3918 -0.2901 -0.2192 -0.1700 -0.1342
 -0.1063 -0.0838 -0.0653 -0.0502
 -1.3070 -1.2617 -1.2052 -1.1372 -1.0638 -0.9902 -0.9208 -0.8570 -0.7993 -0.7481
 -0.7038 -0.6616 -0.6144 -0.5617 -0.5072 -0.3812 -0.2841 -0.2175 -0.1732 -0.1430
 -0.1196 -0.1006 -0.0848 -0.0712 -0.0584 -0.0476 -0.0408 -0.0392 -0.0438 -0.0553
 -1.1916 -1.1581 -1.1168 -1.0645 -1.0036 -0.9382 -0.8727 -0.8105 -0.7532 -0.7003
 -0.6510 -0.6057 -0.5633 -0.5212 -0.4773 -0.3687 -0.2774 -0.2123 -0.1721 -0.1473
 -0.1295 -0.1151 -0.1030 -0.0924 -0.0831 -0.0738 -0.0661 -0.0623 -0.0641 -0.0728
 -0.0894
 -1.0819 -1.0563 -1.0249 -0.9854 -0.9380 -0.8843 -0.8267 -0.7687 -0.7137 -0.6627
 -0.6151 -0.5700 -0.5269 -0.4862 -0.4467 -0.3520 -0.2689 -0.2062 -0.1671 -0.1459
 -0.1337 -0.1250 -0.1179 -0.1115 -0.1056 -0.0999 -0.0934 -0.0886 -0.0879 -0.0937
 -0.1072
 -0.9804 -0.9595 -0.9337 -0.9011 -0.8653 -0.8231 -0.7759 -0.7255 -0.6749 -0.6265
