 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F547M
 -3.1255 -2.8636 -2.6416 -2.4449 -2.2692 -2.1131 -1.9744 -1.8492 -1.7339 -1.6258
 -1.5243 -1.4296 -1.3417 -1.2600 -1.1830 -1.0005 -0.8425 -0.7229 -0.6386 -0.5829
 -0.5476 -0.5230 -0.5029 -0.4844 -0.4665 -0.4489 -0.4319 -0.4173 -0.4054 -0.3958
 -0.3884
 -3.1587 -2.8784 -2.6443 -2.4406 -2.2574 -2.0948 -1.9510 -1.8239 -1.7099 -1.6054
 -1.5078 -1.4160 -1.3297 -1.2485 -1.1719 -0.9973 -0.8445 -0.7227 -0.6353 -0.5770
 -0.5414 -0.5201 -0.5058 -0.4940 -0.4827 -0.4710 -0.4592 -0.4470 -0.4352 -0.4250
 -0.4156
 -3.2169 -2.9216 -2.6737 -2.4587 -2.2658 -2.0937 -1.9415 -1.8075 -1.6899 -1.5852
 -1.4898 -1.4012 -1.3177 -1.2388 -1.1639 -0.9931 -0.8450 -0.7238 -0.6334 -0.5719
 -0.5339 -0.5127 -0.5017 -0.4956 -0.4911 -0.4863 -0.4808 -0.4741 -0.4667 -0.4593
 -0.4530
 -3.2963 -2.9930 -2.7300 -2.4986 -2.2940 -2.1119 -1.9494 -1.8056 -1.6794 -1.5691
 -1.4720 -1.3844 -1.3034 -1.2272 -1.1548 -0.9891 -0.8444 -0.7244 -0.6324
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F547M
 -4.3421 -4.1061 -3.7431 -3.3928 -3.0763 -2.8075 -2.5929 -2.4000 -2.2172 -2.0444
 -1.8827 -1.7351 -1.6029 -1.4845 -1.3777 -1.1493 -0.9566 -0.7897 -0.6519
 -3.8348 -3.7198 -3.5827 -3.2874 -2.9797 -2.7046 -2.4759 -2.2823 -2.1028 -1.9344
 -1.7771 -1.6341 -1.5064 -1.3927 -1.2912 -1.0785 -0.9050 -0.7592 -0.6391 -0.5446
 -3.6251 -3.3711 -3.2211 -3.1351 -2.9204 -2.6514 -2.4094 -2.2077 -2.0311 -1.8677
 -1.7150 -1.5756 -1.4508 -1.3398 -1.2408 -1.0359 -0.8730 -0.7402 -0.6327 -0.5480
 -0.4808
 -3.5177 -3.2379 -3.0066 -2.8310 -2.7258 -2.6010 -2.3846 -2.1697 -1.9878 -1.8281
 -1.6798 -1.5437 -1.4211 -1.3117 -1.2140 -1.0124 -0.8549 -0.7296 -0.6305 -0.5533
 -0.4919 -0.4409
 -3.4507 -3.1671 -2.9213 -2.7098 -2.5305 -2.3903 -2.2892 -2.1521 -1.9712 -1.8055
 -1.6606 -1.5275 -1.4068 -1.2987 -1.2018 -1.0010 -0.8455 -0.7242 -0.6306 -0.5591
 -0.5031 -0.4563 -0.4159 -0.3797
 -3.4186 -3.1262 -2.8742 -2.6550 -2.4603 -2.2891 -2.1423 -2.0217 -1.9204 -1.7947
 -1.6534 -1.5211 -1.4014 -1.2943 -1.1980 -0.9972 -0.8414 -0.7216 -0.6311 -0.5640
 -0.5129 -0.4710 -0.4345 -0.4022 -0.3724 -0.3468 -0.3276 -0.3163 -0.3134 -0.3172
 -3.4225 -3.1157 -2.8510 -2.6242 -2.4272 -2.2532 -2.0954 -1.9514 -1.8243 -1.7183
 -1.6221 -1.5163 -1.4029 -1.2952 -1.1987 -0.9978 -0.8405 -0.7201 -0.6310 -0.5666
 -0.5200 -0.4833 -0.4515 -0.4231 -0.3973 -0.3727 -0.3516 -0.3365 -0.3296 -0.3318
 -0.3418
 -3.4567 -3.1371 -2.8554 -2.6139 -2.4081 -2.2301 -2.0723 -1.9280 -1.7947 -1.6729
 -1.5657 -1.4737 -1.3864 -1.2957 -1.2033 -1.0008 -0.8417 -0.7194 -0.6297 -0.5665
 -0.5230 -0.4914 -0.4653 -0.4419 -0.4201 -0.4000 -0.3801 -0.3629 -0.3517 -0.3491
 -0.3566
 -3.5223 -3.1846 -2.8879 -2.6280 -2.4057 -2.2177 -2.0557 -1.9119 -1.7805 -1.6583
 -1.5458 -1.4447 -1.3548 -1.2736 -1.1955 -1.0039 -0.8429 -0.7181 -0.6267 -0.5630
 -0.5211 -0.4937 -0.4734 -0.4560 -0.4397 -0.4239 -0.4091 -0.3967 -0.3870 -0.3795
 -0.3742
 -3.6200 -3.2656 -2.9524 -2.6763 -2.4345 -2.2282 -2.0542 -1.9048 -1.7729 -1.6527
 -1.5414 -1.4387 -1.3449 -1.2599 -1.1825 -1.0070 -0.8478 -0.7199 -0.6252 -0.5593
 -0.5166 -0.4911 -0.4756 -0.4643 -0.4543 -0.4443 -0.4344 -0.4244 -0.4150 -0.4071
 -0.4024
