 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F336W
 -1.1360 -1.0199 -0.9558 -0.9247 -0.9163 -0.9230 -0.9381 -0.9563 -0.9731 -0.9846
 -0.9872
 -9.1460 -8.5413 -7.9892 -7.4885 -7.0408 -6.6514 -6.3158 -6.0120 -5.7116 -5.3972
 -5.0729 -4.7550 -4.4576 -4.1828 -3.9200 -3.2610 -2.6445 -2.1183 -1.6658 -1.3171
 -1.0853 -0.9466 -0.8684 -0.8274 -0.8113 -0.8120 -0.8236 -0.8411 -0.8602 -0.8776
 -0.8909
 -9.0974 -8.5004 -7.9522 -7.4469 -6.9862 -6.5709 -6.2035 -5.8807 -5.5858 -5.2944
 -4.9924 -4.6831 -4.3806 -4.0960 -3.8310 -3.2174 -2.6348 -2.1225 -1.6856 -1.3255
 -1.0662 -0.8985 -0.7987 -0.7437 -0.7175 -0.7105 -0.7171 -0.7320 -0.7494 -0.7681
 -0.7879
 -9.1068 -8.5136 -7.9674 -7.4643 -7.0004 -6.5724 -6.1793 -5.8256 -5.5096 -5.2200
 -4.9384 -4.6518 -4.3604 -4.0799 -3.8131 -3.1991 -2.6470 -2.1466 -1.7172 -1.3568
 -1.0785 -0.8829 -0.7560 -0.6800 -0.6386 -0.6206 -0.6188 -0.6280 -0.6439 -0.6630
 -0.6836
 -9.1682 -8.5800 -8.0353 -7.5303 -7.0616 -6.6261 -6.2213 -5.8459 -5.5024 -5.1900
 -4.9036 -4.6300 -4.3570 -4.0826 -3.8132 -3.2004 -2.6643 -2.1762 -1.7496 -1.3917
 -1.1049 -0.8904 -0.7393 -0.6396 -0.5788 -0.5460 -0.5331 -0.5339 -0.5441 -0.5603
 -0.5795
 -9.2703 -8.7135 -8.1778 -7.6663 -7.1821 -6.7277 -6.3048 -5.9141 -5.5535 -5.2205
 -4.9129 -4.6279 -4.3588 -4.0961 -3.8355 -3.2191 -2.6829 -2.2077 -1.7859
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F336W
-11.8282-11.5078-11.1758-10.7558-10.3107 -9.7634 -9.0928 -8.5345 -8.1060 -7.7180
 -7.3404 -6.9766 -6.6286 -6.2920 -5.9624 -5.1722 -4.2983 -3.4560 -2.8328
-10.8829-10.3239-10.0243 -9.8501 -9.5984 -9.2583 -8.7861 -8.2143 -7.7400 -7.3266
 -6.9250 -6.5372 -6.1671 -5.8139 -5.4721 -4.6415 -3.8262 -3.0912 -2.5345 -2.1607
-10.3167 -9.6608 -9.2079 -8.9235 -8.7734 -8.6234 -8.3589 -7.9571 -7.4647 -7.0217
 -6.5910 -6.1728 -5.7750 -5.4003 -5.0453 -4.2205 -3.4636 -2.7985 -2.2840 -1.9368
 -1.7193
 -9.9529 -9.2535 -8.7292 -8.3435 -8.0649 -7.8677 -7.7145 -7.5112 -7.1816 -6.7662
 -6.3281 -5.8834 -5.4588 -5.0638 -4.6978 -3.8839 -3.1764 -2.5679 -2.0864 -1.7550
 -1.5486 -1.4269
 -9.7262 -9.0025 -8.4242 -7.9891 -7.6548 -7.3694 -7.1078 -6.8791 -6.6747 -6.4146
 -6.0693 -5.6617 -5.2331 -4.8232 -4.4477 -3.6423 -2.9707 -2.4015 -1.9412 -1.6139
 -1.4085 -1.2881 -1.2223 -1.1829
 -9.6171 -8.8705 -8.2488 -7.7550 -7.3732 -7.0594 -6.7653 -6.4674 -6.1813 -5.9325
 -5.6891 -5.4003 -5.0530 -4.6736 -4.2980 -3.4922 -2.8423 -2.2973 -1.8476 -1.5131
 -1.2978 -1.1711 -1.1012 -1.0673 -1.0567 -1.0601 -1.0700 -1.0803 -1.0861 -1.0833
 -9.5893 -8.8364 -8.1846 -7.6360 -7.1965 -6.8447 -6.5403 -6.2425 -5.9328 -5.6273
 -5.3434 -5.0857 -4.8239 -4.5307 -4.2090 -3.4214 -2.7792 -2.2470 -1.8018 -1.4531
 -1.2173 -1.0759 -0.9966 -0.9559 -0.9401 -0.9409 -0.9512 -0.9647 -0.9765 -0.9832
 -0.9847
 -9.6286 -8.8828 -8.2153 -7.6251 -7.1268 -6.7194 -6.3843 -6.0856 -5.7904 -5.4846
 -5.1781 -4.8860 -4.6184 -4.3653 -4.1049 -3.4057 -2.7662 -2.2385 -1.7949 -1.4325
 -1.1701 -1.0045 -0.9093 -0.8581 -0.8346 -0.8293 -0.8358 -0.8489 -0.8644 -0.8787
 -0.8896
 -9.7284 -8.9895 -8.3145 -7.6992 -7.1545 -6.6890 -6.3025 -5.9767 -5.6831 -5.3944
 -5.0985 -4.8004 -4.5135 -4.2470 -3.9984 -3.3875 -2.7804 -2.2536 -1.8106 -1.4397
 -1.1530 -0.9586 -0.8404 -0.7740 -0.7403 -0.7277 -0.7295 -0.7378 -0.7505 -0.7672
 -0.7875
 -9.8763 -9.1393 -8.4653 -7.8533 -7.2788 -6.7668 -6.3227 -5.9466 -5.6258 -5.3364
 -5.0563 -4.7728 -4.4875 -4.2109 -3.9511 -3.3679 -2.8096 -2.2904 -1.8473 -1.4724
 -1.1685 -0.9461 -0.7994 -0.7107 -0.6614 -0.6377 -0.6314 -0.6367 -0.6495 -0.6659
 -0.6842
-10.0438 -9.3287 -8.6649 -8.0522 -7.4605 -6.9246 -6.4387 -6.0103 -5.6406 -5.3212
 -5.0346 -4.7619 -4.4905 -4.2189 -3.9539 -3.3588 -2.8319 -2.3334 -1.8898 -1.5131
 -1.2003 -0.9578 -0.7852 -0.6713 -0.6016 -0.5629 -0.5456 -0.5428 -0.5502 -0.5640
 -0.5810
-10.2273 -9.5578 -8.9133 -8.2863 -7.6889 -7.1320 -6.6204 -6.1574 -5.7428 -5.3772
 -5.0580 -4.7723 -4.5048 -4.2435 -3.9843 -3.3765 -2.8517 -2.3747 -1.9361
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F336W
-12.1710-11.6969-11.1487-10.6341 -9.9354 -9.1691 -8.5198 -8.0622 -7.6802 -7.3367
 -7.0092 -6.6947 -6.3927 -6.0995 -5.8109 -5.0924 -4.3582 -3.6336 -3.0162
-10.8643-10.5457-10.2955 -9.9462 -9.5597 -9.0082 -8.3152 -7.7689 -7.3411 -6.9676
 -6.6134 -6.2761 -5.9548 -5.6466 -5.3473 -4.6228 -3.9218 -3.2675 -2.7123 -2.3024
-10.2134 -9.6187 -9.3292 -9.2022 -8.9946 -8.6824 -8.1958 -7.5932 -7.0973 -6.6868
 -6.3041 -5.9412 -5.5986 -5.2746 -4.9655 -4.2406 -3.5707 -2.9701 -2.4653 -2.0848
 -1.8314
 -9.8873 -9.1743 -8.7000 -8.4199 -8.2861 -8.1612 -7.9055 -7.4837 -6.9493 -6.4875
 -6.0780 -5.6914 -5.3286 -4.9895 -4.6715 -3.9484 -3.3036 -2.7405 -2.2710 -1.9095
 -1.6644 -1.5137
 -9.7492 -8.9599 -8.3838 -7.9772 -7.6958 -7.4982 -7.3574 -7.1628 -6.8192 -6.3617
 -5.9317 -5.5275 -5.1478 -4.7950 -4.4679 -3.7431 -3.1151 -2.5746 -2.1255 -1.7737
 -1.5281 -1.3755 -1.2885 -1.2416
 -9.7575 -8.9110 -8.2370 -7.7405 -7.3705 -7.0814 -6.8382 -6.6213 -6.4262 -6.1689
 -5.8141 -5.4324 -5.0494 -4.6858 -4.3492 -3.6155 -2.9950 -2.4658 -2.0255 -1.6750
 -1.4217 -1.2602 -1.1668 -1.1176 -1.0949 -1.0880 -1.0893 -1.0924 -1.0917 -1.0818
 -9.8788 -8.9997 -8.2469 -7.6525 -7.2050 -6.8608 -6.5682 -6.2902 -6.0227 -5.7814
 -5.5532 -5.2897 -4.9779 -4.6401 -4.3029 -3.5545 -2.9327 -2.4070 -1.9677 -1.6122
 -1.3454 -1.1681 -1.0628 -1.0056 -0.9783 -0.9691 -0.9705 -0.9767 -0.9829 -0.9851
 -0.9797
-10.0765 -9.1939 -8.3877 -7.7072 -7.1656 -6.7462 -6.4119 -6.1177 -5.8316 -5.5478
 -5.2824 -5.0444 -4.8139 -4.5619 -4.2798 -3.5493 -2.9186 -2.3905 -1.9477 -1.5841
 -1.3002 -1.1013 -0.9777 -0.9081 -0.8723 -0.8580 -0.8568 -0.8629 -0.8722 -0.8809
 -0.8867
-10.3268 -9.4534 -8.6224 -7.8786 -7.2511 -6.7459 -6.3446 -6.0155 -5.7227 -5.4383
 -5.1568 -4.8892 -4.6424 -4.4148 -4.1901 -3.5679 -2.9390 -2.4036 -1.9555 -1.5831
 -1.2825 -1.0591 -0.9121 -0.8251 -0.7778 -0.7558 -0.7501 -0.7519 -0.7589 -0.7706
 -0.7865
-10.6042 -9.7559 -8.9364 -8.1561 -7.4621 -6.8734 -6.3922 -6.0016 -5.6761 -5.3860
 -5.1086 -4.8363 -4.5733 -4.3264 -4.0978 -3.5591 -2.9901 -2.4509 -1.9944 -1.6129
 -1.2977 -1.0503 -0.8753 -0.7641 -0.6997 -0.6658 -0.6521 -0.6513 -0.6587 -0.6706
 -0.6841
-10.8717-10.0862 -9.2822 -8.4975 -7.7656 -7.1119 -6.5526 -6.0882 -5.7051 -5.3817
 -5.0946 -4.8246 -4.5614 -4.3060 -4.0630 -3.5240 -3.0216 -2.5126 -2.0503 -1.6594
 -1.3326 -1.0664 -0.8656 -0.7278 -0.6413 -0.5914 -0.5663 -0.5577 -0.5602 -0.5698
 -0.5832
-11.1266-10.3867 -9.6235 -8.8603 -8.1223 -7.4338 -6.8150 -6.2798 -5.8279 -5.4493
 -5.1272 -4.8421 -4.5775 -4.3228 -4.0753 -3.5110 -3.0275 -2.5638 -2.1138
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F336W
-12.2953-11.6986-11.1105-10.5405 -9.7594 -8.8442 -8.2265 -7.8154 -7.4777 -7.1592
 -6.8594 -6.5714 -6.2936 -6.0231 -5.7555 -5.0843 -4.4039 -3.7334 -3.1244
-10.9903-10.7327-10.3507 -9.9464 -9.4745 -8.7499 -8.0327 -7.5321 -7.1455 -6.7993
