 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -5.4550 -5.1178 -4.9731 -4.9896 -5.1038 -5.1924 -4.9038 -4.7236 -4.5447 -4.3504
 -4.1344 -3.9183 -3.6962 -3.4704 -3.2576 -2.7431 -2.2772 -1.9275 -1.6278
 -5.6361 -5.2846 -5.0205 -4.8351 -4.7053 -4.5809 -4.4416 -4.2906 -4.1318 -3.9647
 -3.7762 -3.5636 -3.3409 -3.1271 -2.9280 -2.4811 -2.1079 -1.8123 -1.5914 -1.4221
 -5.4042 -5.0640 -4.7768 -4.5377 -4.3447 -4.1983 -4.0870 -3.9693 -3.8236 -3.6563
 -3.4842 -3.3019 -3.1040 -2.9097 -2.7309 -2.3446 -2.0219 -1.7631 -1.5669 -1.4153
 -1.2926
 -5.2168 -4.9010 -4.6219 -4.3752 -4.1584 -3.9705 -3.8105 -3.6770 -3.5566 -3.4198
 -3.2595 -3.0948 -2.9229 -2.7472 -2.5834 -2.2378 -1.9573 -1.7296 -1.5541 -1.4171
 -1.3050 -1.2088
 -5.0285 -4.7483 -4.4923 -4.2566 -4.0398 -3.8417 -3.6625 -3.5017 -3.3570 -3.2242
 -3.0897 -2.9438 -2.7916 -2.6333 -2.4812 -2.1620 -1.9108 -1.7075 -1.5489 -1.4242
 -1.3214 -1.2325 -1.1529 -1.0797
 -4.8294 -4.5888 -4.3640 -4.1501 -3.9460 -3.7527 -3.5710 -3.4021 -3.2462 -3.1015
 -2.9648 -2.8315 -2.6979 -2.5585 -2.4190 -2.1138 -1.8800 -1.6935 -1.5473 -1.4328
 -1.3387 -1.2571 -1.1835 -1.1158 -1.0499 -0.9877 -0.9323 -0.8861 -0.8511 -0.8282
 -4.6290 -4.4209 -4.2284 -4.0416 -3.8580 -3.6782 -3.5039 -3.3369 -3.1788 -3.0306
 -2.8910 -2.7582 -2.6304 -2.5042 -2.3789 -2.0909 -1.8631 -1.6858 -1.5470 -1.4399
 -1.3537 -1.2795 -1.2128 -1.1508 -1.0924 -1.0365 -0.9843 -0.9373 -0.8969 -0.8657
 -0.8510
 -4.4305 -4.2525 -4.0866 -3.9256 -3.7659 -3.6054 -3.4443 -3.2859 -3.1325 -2.9851
 -2.8457 -2.7138 -2.5881 -2.4668 -2.3494 -2.0806 -1.8581 -1.6840 -1.5482 -1.4445
 -1.3640 -1.2971 -1.2376 -1.1825 -1.1301 -1.0799 -1.0305 -0.9843 -0.9441 -0.9121
 -0.8897
 -4.2414 -4.0877 -3.9412 -3.8013 -3.6634 -3.5231 -3.3798 -3.2347 -3.0903 -2.9487
 -2.8121 -2.6818 -2.5581 -2.4400 -2.3265 -2.0706 -1.8562 -1.6848 -1.5500 -1.4466
 -1.3685 -1.3072 -1.2550 -1.2075 -1.1624 -1.1185 -1.0761 -1.0366 -1.0001 -0.9663
 -0.9351
 -4.0616 -3.9265 -3.8009 -3.6757 -3.5541 -3.4327 -3.3081 -3.1795 -3.0484 -2.9167
 -2.7865 -2.6600 -2.5387 -2.4232 -2.3130 -2.0644 -1.8570 -1.6882 -1.5545 -1.4503
 -1.3716 -1.3124 -1.2655 -1.2253 -1.1881 -1.1518 -1.1163 -1.0814 -1.0513 -1.0187
 -0.9858
 -3.8911 -3.7689 -3.6657 -3.5486 -3.4385 -3.3305 -3.2221 -3.1106 -2.9953 -2.8769
 -2.7571 -2.6379 -2.5213 -2.4089 -2.3015 -2.0590 -1.8561 -1.6903 -1.5578 -1.4536
 -1.3739 -1.3144 -1.2698 -1.2348 -1.2047 -1.1764 -1.1488 -1.1212 -1.0936 -1.0667
 -1.0414
 -3.7301 -3.6149 -3.5356 -3.4193 -3.3163 -3.2175 -3.1210 -3.0240 -2.9243 -2.8215
 -2.7154 -2.6074 -2.4991 -2.3925 -2.2920 -2.0544 -1.8535 -1.6911 -1.5599
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  g   
 -5.9080 -5.5115 -5.2373 -5.0653 -4.9637 -4.8793 -4.6841 -4.5275 -4.3549 -4.1603
 -3.9424 -3.7149 -3.4863 -3.2697 -3.0709 -2.6237 -2.2302 -1.9097 -1.6364
 -5.6193 -5.2768 -5.0291 -4.8148 -4.6216 -4.4510 -4.2969 -4.1487 -3.9947 -3.8263
 -3.6378 -3.4293 -3.2136 -3.0099 -2.8245 -2.4290 -2.0958 -1.8160 -1.5955 -1.4218
 -5.3704 -4.9858 -4.6853 -4.4584 -4.2993 -4.1690 -4.0269 -3.8737 -3.7186 -3.5629
 -3.3984 -3.2179 -3.0222 -2.8305 -2.6564 -2.2967 -2.0071 -1.7646 -1.5695 -1.4159
 -1.2912
 -5.2402 -4.8588 -4.5452 -4.2887 -4.0804 -3.9129 -3.7844 -3.6738 -3.5405 -3.3828
 -3.2218 -3.0600 -2.8874 -2.7088 -2.5441 -2.2040 -1.9433 -1.7295 -1.5553 -1.4161
 -1.3020 -1.2046
 -5.1445 -4.7827 -4.4760 -4.2149 -3.9916 -3.8004 -3.6359 -3.4933 -3.3716 -3.2525
