 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.5689 -5.5027 -5.7028 -5.6322 -5.4379 -5.1835 -4.9048 -4.7141 -4.5435 -4.3678
 -4.2033 -4.0513 -3.9121 -3.7826 -3.6623 -3.4060 -3.1598 -2.9331 -2.8028
 -5.5630 -5.3378 -5.1573 -5.0362 -4.9680 -4.8673 -4.7024 -4.5203 -4.3506 -4.1900
 -4.0381 -3.8966 -3.7662 -3.6460 -3.5346 -3.2881 -3.0823 -2.9193 -2.7975 -2.7056
 -5.3539 -5.1317 -4.9334 -4.7654 -4.6304 -4.5405 -4.4693 -4.3579 -4.2138 -4.0621
 -3.9205 -3.7885 -3.6665 -3.5544 -3.4514 -3.2282 -3.0467 -2.9031 -2.7942 -2.7109
 -2.6449
 -5.1880 -4.9843 -4.7910 -4.6168 -4.4645 -4.3332 -4.2261 -4.1473 -4.0667 -3.9582
 -3.8328 -3.7095 -3.5953 -3.4900 -3.3930 -3.1853 -3.0208 -2.8930 -2.7947 -2.7189
 -2.6580 -2.6074
 -5.0464 -4.8640 -4.6850 -4.5158 -4.3624 -4.2257 -4.1045 -3.9979 -3.9118 -3.8334
 -3.7475 -3.6470 -3.5427 -3.4436 -3.3520 -3.1556 -3.0021 -2.8854 -2.7967 -2.7281
 -2.6723 -2.6255 -2.5851 -2.5502
 -4.9246 -4.7578 -4.5964 -4.4376 -4.2885 -4.1526 -4.0306 -3.9210 -3.8230 -3.7354
 -3.6565 -3.5790 -3.4953 -3.4076 -3.3218 -3.1348 -2.9884 -2.8787 -2.7974 -2.7359
 -2.6858 -2.6434 -2.6066 -2.5738 -2.5429 -2.5153 -2.4930 -2.4775 -2.4700 -2.4711
 -4.8225 -4.6653 -4.5161 -4.3707 -4.2290 -4.0967 -3.9757 -3.8667 -3.7692 -3.6805
 -3.5983 -3.5210 -3.4468 -3.3723 -3.2965 -3.1195 -2.9780 -2.8716 -2.7953 -2.7399
 -2.6961 -2.6592 -2.6268 -2.5976 -2.5710 -2.5452 -2.5221 -2.5042 -2.4933 -2.4910
 -2.4982
 -4.7403 -4.5876 -4.4445 -4.3085 -4.1769 -4.0500 -3.9315 -3.8233 -3.7264 -3.6391
 -3.5590 -3.4834 -3.4105 -3.3402 -3.2714 -3.1081 -2.9705 -2.8656 -2.7908 -2.7390
 -2.7010 -2.6702 -2.6433 -2.6189 -2.5964 -2.5751 -2.5536 -2.5345 -2.5208 -2.5150
 -2.5185
 -4.6780 -4.5260 -4.3845 -4.2486 -4.1258 -4.0065 -3.8921 -3.7854 -3.6886 -3.6017
 -3.5231 -3.4505 -3.3813 -3.3140 -3.2483 -3.0949 -2.9634 -2.8601 -2.7847 -2.7338
 -2.6994 -2.6743 -2.6537 -2.6354 -2.6181 -2.6013 -2.5852 -2.5700 -2.5577 -2.5487
 -2.5425
 -4.6358 -4.4817 -4.3386 -4.2054 -4.0814 -3.9658 -3.8573 -3.7537 -3.6574 -3.5700
 -3.4915 -3.4204 -3.3543 -3.2904 -3.2284 -3.0837 -2.9574 -2.8560 -2.7802 -2.7280
 -2.6941 -2.6723 -2.6572 -2.6452 -2.6342 -2.6232 -2.6122 -2.6012 -2.5905 -2.5812
 -2.5731
 -4.6095 -4.4507 -4.3043 -4.1691 -4.0443 -3.9289 -3.8222 -3.7229 -3.6288 -3.5415
 -3.4623 -3.3911 -3.3265 -3.2663 -3.2087 -3.0721 -2.9507 -2.8515 -2.7761 -2.7225
 -2.6875 -2.6662 -2.6541 -2.6473 -2.6426 -2.6381 -2.6333 -2.6278 -2.6218 -2.6159
 -2.6109
 -4.5824 -4.4136 -4.2631 -4.1279 -4.0052 -3.8926 -3.7880 -3.6901 -3.5986 -3.5137
 -3.4352 -3.3634 -3.2987 -3.2399 -3.1852 -3.0583 -2.9429 -2.8463 -2.7715
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.9394 -5.8479 -5.7124 -5.4657 -5.1892 -4.9286 -4.7087 -4.5238 -4.3556 -4.1972
 -4.0478 -3.9089 -3.7810 -3.6633 -3.5548 -3.3225 -3.1168 -2.9340 -2.8019
 -5.6132 -5.4025 -5.2831 -5.2082 -5.0349 -4.8021 -4.5795 -4.3910 -4.2262 -4.0730
 -3.9292 -3.7961 -3.6743 -3.5635 -3.4624 -3.2441 -3.0621 -2.9110 -2.7913 -2.6990
 -5.4353 -5.1982 -5.0006 -4.8521 -4.7699 -4.6709 -4.4926 -4.3018 -4.1355 -3.9876
 -3.8493 -3.7211 -3.6039 -3.4975 -3.4010 -3.1955 -3.0288 -2.8934 -2.7863 -2.7026
 -2.6361
 -5.3136 -5.0810 -4.8706 -4.6830 -4.5285 -4.4173 -4.3394 -4.2285 -4.0749 -3.9287
 -3.7947 -3.6712 -3.5579 -3.4549 -3.3615 -3.1639 -3.0068 -2.8824 -2.7850 -2.7088
 -2.6475 -2.5965
 -5.2210 -5.0003 -4.7924 -4.6039 -4.4364 -4.2875 -4.1626 -4.0649 -3.9841 -3.8796
 -3.7575 -3.6373 -3.5272 -3.4272 -3.3362 -3.1439 -2.9927 -2.8753 -2.7854 -2.7158
 -2.6597 -2.6128 -2.5726 -2.5382
 -5.1565 -4.9390 -4.7386 -4.5510 -4.3810 -4.2284 -4.0905 -3.9673 -3.8630 -3.7802
 -3.7008 -3.6073 -3.5059 -3.4082 -3.3192 -3.1309 -2.9833 -2.8701 -2.7854 -2.7218
 -2.6712 -2.6289 -2.5923 -2.5601 -2.5304 -2.5044 -2.4835 -2.4689 -2.4616 -2.4628
 -5.1023 -4.8912 -4.6984 -4.5149 -4.3447 -4.1908 -4.0522 -3.9265 -3.8127 -3.7125
 -3.6262 -3.5506 -3.4737 -3.3908 -3.3067 -3.1218 -2.9765 -2.8654 -2.7838 -2.7247
 -2.6799 -2.6429 -2.6109 -2.5824 -2.5566 -2.5318 -2.5098 -2.4932 -2.4838 -2.4828
 -2.4898
 -5.0642 -4.8550 -4.6686 -4.4897 -4.3212 -4.1659 -4.0261 -3.9002 -3.7863 -3.6828
 -3.5900 -3.5070 -3.4322 -3.3614 -3.2898 -3.1146 -2.9709 -2.8608 -2.7803 -2.7238
 -2.6838 -2.6526 -2.6261 -2.6024 -2.5807 -2.5586 -2.5378 -2.5208 -2.5096 -2.5056
 -2.5098
 -5.0481 -4.8332 -4.6461 -4.4711 -4.3050 -4.1496 -4.0077 -3.8798 -3.7652 -3.6617
 -3.5682 -3.4835 -3.4059 -3.3340 -3.2665 -3.1060 -2.9648 -2.8551 -2.7747 -2.7191
 -2.6820 -2.6561 -2.6356 -2.6177 -2.6012 -2.5854 -2.5706 -2.5580 -2.5477 -2.5395
 -2.5332
