 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -7.2715 -6.7751 -6.5077 -6.4271 -6.4712 -6.5246 -6.3121 -6.1344 -5.9508 -5.7475
 -5.5201 -5.2819 -5.0430 -4.7965 -4.5549 -3.9560 -3.3910 -2.9627 -2.5794
 -7.0994 -6.7256 -6.4435 -6.2440 -6.1032 -5.9693 -5.8202 -5.6584 -5.4879 -5.3079
 -5.1049 -4.8750 -4.6318 -4.3943 -4.1683 -3.6415 -3.1835 -2.8121 -2.5325 -2.3178
 -6.8518 -6.4860 -6.1752 -5.9144 -5.7022 -5.5399 -5.4160 -5.2868 -5.1286 -4.9471
 -4.7600 -4.5611 -4.3442 -4.1287 -3.9261 -3.4706 -3.0709 -2.7417 -2.4917 -2.2995
 -2.1441
 -6.6539 -6.3099 -6.0038 -5.7307 -5.4888 -5.2780 -5.0977 -4.9472 -4.8124 -4.6612
 -4.4852 -4.3040 -4.1147 -3.9208 -3.7372 -3.3332 -2.9858 -2.6935 -2.4678 -2.2937
 -2.1524 -2.0317
 -6.4577 -6.1479 -5.8626 -5.5979 -5.3526 -5.1274 -4.9232 -4.7402 -4.5763 -4.4268
 -4.2769 -4.1150 -3.9456 -3.7697 -3.6003 -3.2332 -2.9248 -2.6628 -2.4562 -2.2965
 -2.1669 -2.0558 -1.9568 -1.8669
 -6.2523 -5.9815 -5.7267 -5.4825 -5.2480 -5.0253 -4.8159 -4.6214 -4.4430 -4.2786
 -4.1248 -3.9761 -3.8268 -3.6710 -3.5146 -3.1670 -2.8850 -2.6455 -2.4527 -2.3038
 -2.1842 -2.0818 -1.9903 -1.9066 -1.8252 -1.7480 -1.6783 -1.6186 -1.5709 -1.5363
 -6.0471 -5.8089 -5.5864 -5.3692 -5.1549 -4.9446 -4.7409 -4.5464 -4.3634 -4.1932
 -4.0344 -3.8850 -3.7420 -3.6010 -3.4605 -3.1323 -2.8627 -2.6385 -2.4545 -2.3124
 -2.2007 -2.1065 -2.0229 -1.9460 -1.8740 -1.8062 -1.7429 -1.6846 -1.6315 -1.5868
 -1.5614
 -5.8453 -5.6377 -5.4425 -5.2516 -5.0618 -4.8709 -4.6799 -4.4929 -4.3129 -4.1414
 -3.9807 -3.8305 -3.6887 -3.5527 -3.4215 -3.1163 -2.8544 -2.6390 -2.4606 -2.3211
 -2.2141 -2.1270 -2.0512 -1.9819 -1.9169 -1.8552 -1.7955 -1.7397 -1.6898 -1.6475
 -1.6139
 -5.6532 -5.4716 -5.2967 -5.1280 -4.9609 -4.7911 -4.6184 -4.4444 -4.2724 -4.1052
 -3.9454 -3.7946 -3.6531 -3.5192 -3.3917 -3.1025 -2.8513 -2.6417 -2.4678 -2.3289
 -2.2230 -2.1406 -2.0720 -2.0108 -1.9537 -1.8992 -1.8470 -1.7983 -1.7533 -1.7115
 -1.6727
 -5.4707 -5.3106 -5.1578 -5.0053 -4.8558 -4.7062 -4.5532 -4.3964 -4.2375 -4.0792
 -3.9241 -3.7751 -3.6337 -3.5007 -3.3751 -3.0938 -2.8525 -2.6475 -2.4774 -2.3392
 -2.2321 -2.1508 -2.0867 -2.0327 -1.9838 -1.9374 -1.8929 -1.8499 -1.8114 -1.7720
 -1.7341
 -5.2979 -5.1547 -5.0258 -4.8815 -4.7453 -4.6106 -4.4752 -4.3366 -4.1942 -4.0492
 -3.9036 -3.7601 -3.6213 -3.4891 -3.3642 -3.0866 -2.8521 -2.6521 -2.4852 -2.3484
 -2.2407 -2.1585 -2.0958 -2.0463 -2.0045 -1.9664 -1.9303 -1.8951 -1.8608 -1.8279
 -1.7971
 -5.1347 -5.0039 -4.9007 -4.7557 -4.6282 -4.5042 -4.3821 -4.2594 -4.1339 -4.0052
 -3.8734 -3.7404 -3.6082 -3.4795 -3.3590 -3.0809 -2.8501 -2.6555 -2.4912
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = BX   
 -7.3721 -6.9395 -6.6380 -6.4436 -6.3244 -6.2307 -6.0605 -5.9025 -5.7257 -5.5234
 -5.2944 -5.0502 -4.8055 -4.5703 -4.3486 -3.8324 -3.3564 -2.9596 -2.6084
 -6.9800 -6.6318 -6.3792 -6.1603 -5.9625 -5.7874 -5.6288 -5.4755 -5.3146 -5.1367
 -4.9359 -4.7123 -4.4796 -4.2570 -4.0504 -3.5913 -3.1849 -2.8313 -2.5487 -2.3257
 -6.7221 -6.3243 -6.0117 -5.7741 -5.6061 -5.4676 -5.3162 -5.1526 -4.9866 -4.8197
 -4.6424 -4.4474 -4.2355 -4.0267 -3.8342 -3.4195 -3.0664 -2.7583 -2.5063 -2.3087
 -2.1494
 -6.5905 -6.1912 -5.8606 -5.5875 -5.3636 -5.1815 -5.0397 -4.9162 -4.7679 -4.5943
 -4.4186 -4.2423 -4.0547 -3.8607 -3.6800 -3.2945 -2.9794 -2.7079 -2.4812 -2.3012
 -2.1556 -2.0322
 -6.4995 -6.1154 -5.7879 -5.5063 -5.2629 -5.0522 -4.8692 -4.7093 -4.5716 -4.4361
 -4.2742 -4.1003 -3.9254 -3.7472 -3.5747 -3.2099 -2.9199 -2.6750 -2.4687 -2.3027
 -2.1683 -2.0543 -1.9538 -1.8629
 -6.4138 -6.0554 -5.7421 -5.4648 -5.2171 -4.9944 -4.7939 -4.6130 -4.4477 -4.2961
 -4.1542 -4.0060 -3.8460 -3.6772 -3.5110 -3.1574 -2.8824 -2.6555 -2.4644 -2.3092
 -2.1841 -2.0786 -1.9856 -1.9010 -1.8230 -1.7507 -1.6841 -1.6218 -1.5654 -1.5288
 -6.3202 -5.9925 -5.7012 -5.4366 -5.1934 -4.9686 -4.7609 -4.5694 -4.3923 -4.2270
 -4.0719 -3.9253 -3.7834 -3.6354 -3.4814 -3.1303 -2.8619 -2.6457 -2.4651 -2.3175
