 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -0.9997 -0.9900 -0.9905 -0.9968 -0.9971 -0.9849 -0.9209 -0.8999 -0.8722 -0.8316
 -0.7776 -0.7182 -0.6556 -0.5888 -0.5260 -0.4080 -0.3555 -0.3457 -0.3555
 -0.9889 -0.9081 -0.8594 -0.8395 -0.8418 -0.8419 -0.8320 -0.8159 -0.7962 -0.7724
 -0.7378 -0.6897 -0.6327 -0.5762 -0.5255 -0.4329 -0.3840 -0.3692 -0.3736 -0.3893
 -0.9455 -0.8794 -0.8230 -0.7790 -0.7508 -0.7422 -0.7496 -0.7533 -0.7431 -0.7206
 -0.6944 -0.6624 -0.6189 -0.5705 -0.5255 -0.4414 -0.3992 -0.3883 -0.3945 -0.4103
 -0.4322
 -0.8990 -0.8465 -0.7973 -0.7527 -0.7154 -0.6881 -0.6724 -0.6685 -0.6714 -0.6677
 -0.6519 -0.6313 -0.6026 -0.5648 -0.5260 -0.4500 -0.4114 -0.4037 -0.4121 -0.4285
 -0.4498 -0.4751
 -0.8321 -0.7970 -0.7613 -0.7249 -0.6896 -0.6584 -0.6339 -0.6168 -0.6062 -0.6006
 -0.5950 -0.5848 -0.5713 -0.5493 -0.5212 -0.4550 -0.4192 -0.4140 -0.4256 -0.4436
 -0.4655 -0.4906 -0.5183 -0.5477
 -0.7455 -0.7280 -0.7081 -0.6847 -0.6580 -0.6304 -0.6048 -0.5836 -0.5674 -0.5548
 -0.5443 -0.5347 -0.5266 -0.5152 -0.4994 -0.4535 -0.4213 -0.4175 -0.4330 -0.4547
 -0.4786 -0.5046 -0.5325 -0.5623 -0.5941 -0.6285 -0.6661 -0.7075 -0.7530 -0.8027
 -0.6466 -0.6420 -0.6373 -0.6281 -0.6136 -0.5948 -0.5738 -0.5533 -0.5359 -0.5218
 -0.5096 -0.4982 -0.4881 -0.4790 -0.4684 -0.4399 -0.4170 -0.4144 -0.4327 -0.4593
 -0.4874 -0.5159 -0.5454 -0.5759 -0.6074 -0.6392 -0.6729 -0.7107 -0.7542 -0.8035
 -0.8554
 -0.5374 -0.5452 -0.5520 -0.5554 -0.5540 -0.5468 -0.5344 -0.5193 -0.5041 -0.4905
 -0.4791 -0.4690 -0.4592 -0.4504 -0.4409 -0.4197 -0.4059 -0.4057 -0.4252 -0.4561
 -0.4897 -0.5227 -0.5553 -0.5878 -0.6205 -0.6537 -0.6868 -0.7216 -0.7602 -0.8044
 -0.8552
 -0.4261 -0.4432 -0.4581 -0.4710 -0.4804 -0.4846 -0.4830 -0.4765 -0.4670 -0.4567
 -0.4473 -0.4392 -0.4320 -0.4252 -0.4178 -0.3999 -0.3909 -0.3940 -0.4133 -0.4463
 -0.4847 -0.5235 -0.5609 -0.5970 -0.6323 -0.6671 -0.7019 -0.7383 -0.7764 -0.8160
 -0.8570
 -0.3127 -0.3360 -0.3599 -0.3796 -0.3967 -0.4105 -0.4194 -0.4229 -0.4220 -0.4179
 -0.4124 -0.4072 -0.4028 -0.3990 -0.3951 -0.3827 -0.3761 -0.3812 -0.4000 -0.4321
 -0.4725 -0.5158 -0.5586 -0.5998 -0.6391 -0.6769 -0.7138 -0.7503 -0.7906 -0.8281
 -0.8637
 -0.1972 -0.2236 -0.2574 -0.2859 -0.3076 -0.3279 -0.3451 -0.3581 -0.3665 -0.3708
 -0.3719 -0.3713 -0.3704 -0.3699 -0.3696 -0.3662 -0.3623 -0.3687 -0.3873 -0.4178
