 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
 -1.3466 -1.3418 -1.5286 -1.5415 -1.4703 -1.3528 -1.2049 -1.1092 -1.0236 -0.9325
 -0.8448 -0.7618 -0.6849 -0.6167 -0.5576 -0.4363 -0.3998 -0.4252 -0.4269
 -1.3499 -1.2858 -1.2356 -1.2135 -1.2205 -1.2033 -1.1398 -1.0579 -0.9768 -0.8975
 -0.8203 -0.7474 -0.6807 -0.6215 -0.5707 -0.4797 -0.4357 -0.4278 -0.4401 -0.4635
 -1.2302 -1.1728 -1.1163 -1.0672 -1.0308 -1.0195 -1.0199 -0.9939 -0.9392 -0.8716
 -0.8041 -0.7387 -0.6782 -0.6244 -0.5782 -0.4952 -0.4543 -0.4478 -0.4610 -0.4840
 -0.5130
 -1.1200 -1.0781 -1.0299 -0.9811 -0.9364 -0.8981 -0.8716 -0.8633 -0.8552 -0.8278
 -0.7818 -0.7282 -0.6749 -0.6263 -0.5842 -0.5079 -0.4694 -0.4638 -0.4780 -0.5011
 -0.5292 -0.5615
 -1.0086 -0.9845 -0.9507 -0.9108 -0.8697 -0.8308 -0.7954 -0.7653 -0.7468 -0.7348
 -0.7208 -0.6958 -0.6613 -0.6224 -0.5854 -0.5159 -0.4797 -0.4751 -0.4904 -0.5149
 -0.5433 -0.5750 -0.6098 -0.6480
 -0.8952 -0.8855 -0.8676 -0.8411 -0.8092 -0.7754 -0.7427 -0.7119 -0.6837 -0.6601
 -0.6432 -0.6305 -0.6156 -0.5964 -0.5740 -0.5176 -0.4842 -0.4804 -0.4971 -0.5244
 -0.5547 -0.5870 -0.6216 -0.6586 -0.6984 -0.7413 -0.7875 -0.8371 -0.8902 -0.9468
 -0.7820 -0.7829 -0.7777 -0.7645 -0.7447 -0.7204 -0.6939 -0.6673 -0.6417 -0.6172
 -0.5950 -0.5768 -0.5631 -0.5517 -0.5400 -0.5088 -0.4824 -0.4778 -0.4969 -0.5281
 -0.5621 -0.5967 -0.6323 -0.6693 -0.7081 -0.7479 -0.7901 -0.8362 -0.8875 -0.9440
 -1.0024
 -0.6713 -0.6795 -0.6830 -0.6804 -0.6719 -0.6588 -0.6417 -0.6220 -0.6016 -0.5811
 -0.5612 -0.5429 -0.5270 -0.5145 -0.5046 -0.4861 -0.4727 -0.4710 -0.4903 -0.5246
 -0.5635 -0.6022 -0.6404 -0.6788 -0.7179 -0.7579 -0.7986 -0.8416 -0.8883 -0.9402
 -0.9979
 -0.5653 -0.5784 -0.5874 -0.5920 -0.5922 -0.5884 -0.5812 -0.5707 -0.5578 -0.5431
 -0.5279 -0.5132 -0.4995 -0.4874 -0.4773 -0.4614 -0.4559 -0.4601 -0.4792 -0.5151
 -0.5583 -0.6022 -0.6448 -0.6862 -0.7271 -0.7679 -0.8093 -0.8517 -0.8967 -0.9443
 -0.9943
 -0.4663 -0.4824 -0.4948 -0.5038 -0.5097 -0.5128 -0.5133 -0.5112 -0.5070 -0.5001
 -0.4913 -0.4817 -0.4721 -0.4631 -0.4550 -0.4410 -0.4379 -0.4458 -0.4659 -0.5009
 -0.5459 -0.5942 -0.6419 -0.6878 -0.7320 -0.7750 -0.8176 -0.8601 -0.9031 -0.9476
 -0.9946
 -0.3764 -0.3930 -0.4069 -0.4185 -0.4279 -0.4355 -0.4412 -0.4454 -0.4483 -0.4494
 -0.4481 -0.4451 -0.4409 -0.4363 -0.4319 -0.4234 -0.4217 -0.4314 -0.4528 -0.4863
 -0.5307 -0.5806 -0.6322 -0.6829 -0.7316 -0.7783 -0.8235 -0.8676 -0.9111 -0.9548
 -0.9996
 -0.2969 -0.3057 -0.3171 -0.3299 -0.3431 -0.3558 -0.3673 -0.3771 -0.3852 -0.3919
 -0.3974 -0.4016 -0.4041 -0.4050 -0.4051 -0.4053 -0.4074 -0.4178 -0.4399
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  I   
 -1.6243 -1.6344 -1.6093 -1.5073 -1.3811 -1.2593 -1.1561 -1.0693 -0.9891 -0.9123
 -0.8387 -0.7686 -0.7026 -0.6412 -0.5855 -0.4715 -0.4125 -0.4028 -0.4102
 -1.4532 -1.3910 -1.3750 -1.3834 -1.3273 -1.2279 -1.1275 -1.0415 -0.9654 -0.8936
 -0.8252 -0.7602 -0.6989 -0.6425 -0.5915 -0.4938 -0.4388 -0.4219 -0.4309 -0.4534
 -1.3476 -1.2742 -1.2108 -1.1709 -1.1713 -1.1617 -1.0992 -1.0191 -0.9459 -0.8792
 -0.8158 -0.7555 -0.6987 -0.6462 -0.5991 -0.5092 -0.4582 -0.4416 -0.4505 -0.4726
 -0.5016
 -1.2562 -1.1929 -1.1267 -1.0640 -1.0163 -0.9942 -0.9945 -0.9755 -0.9231 -0.8636
 -0.8058 -0.7502 -0.6975 -0.6488 -0.6049 -0.5215 -0.4738 -0.4573 -0.4658 -0.4880
 -0.5165 -0.5492
 -1.1644 -1.1171 -1.0609 -1.0026 -0.9485 -0.9013 -0.8665 -0.8491 -0.8449 -0.8255
 -0.7869 -0.7403 -0.6929 -0.6480 -0.6071 -0.5294 -0.4847 -0.4687 -0.4770 -0.4999
 -0.5290 -0.5614 -0.5971 -0.6369
 -1.0711 -1.0366 -0.9951 -0.9465 -0.8963 -0.8491 -0.8062 -0.7690 -0.7423 -0.7297
 -0.7213 -0.7043 -0.6760 -0.6406 -0.6044 -0.5324 -0.4906 -0.4753 -0.4836 -0.5079
 -0.5387 -0.5721 -0.6077 -0.6458 -0.6861 -0.7292 -0.7761 -0.8273 -0.8828 -0.9403
 -0.9710 -0.9496 -0.9217 -0.8867 -0.8459 -0.8038 -0.7637 -0.7263 -0.6923 -0.6638
 -0.6434 -0.6313 -0.6211 -0.6069 -0.5873 -0.5300 -0.4916 -0.4770 -0.4853 -0.5111
 -0.5447 -0.5804 -0.6172 -0.6554 -0.6953 -0.7369 -0.7811 -0.8286 -0.8802 -0.9361
 -0.9961
 -0.8714 -0.8575 -0.8413 -0.8179 -0.7895 -0.7565 -0.7222 -0.6889 -0.6575 -0.6280
 -0.6016 -0.5798 -0.5640 -0.5532 -0.5439 -0.5165 -0.4872 -0.4742 -0.4822 -0.5087
 -0.5456 -0.5849 -0.6242 -0.6638 -0.7040 -0.7445 -0.7864 -0.8312 -0.8798 -0.9331
 -0.9916
 -0.7762 -0.7658 -0.7559 -0.7417 -0.7231 -0.7011 -0.6758 -0.6487 -0.6221 -0.5964
 -0.5720 -0.5494 -0.5296 -0.5139 -0.5028 -0.4864 -0.4742 -0.4668 -0.4751 -0.5016
 -0.5409 -0.5845 -0.6278 -0.6703 -0.7123 -0.7544 -0.7972 -0.8420 -0.8888 -0.9373
 -0.9875
 -0.6888 -0.6801 -0.6726 -0.6624 -0.6511 -0.6372 -0.6213 -0.6029 -0.5829 -0.5625
 -0.5426 -0.5235 -0.5054 -0.4893 -0.4760 -0.4579 -0.4529 -0.4543 -0.4648 -0.4903
 -0.5300 -0.5767 -0.6246 -0.6713 -0.7165 -0.7606 -0.8045 -0.8484 -0.8929 -0.9387
 -0.9871
 -0.6138 -0.6016 -0.5933 -0.5847 -0.5777 -0.5685 -0.5588 -0.5482 -0.5363 -0.5227
 -0.5084 -0.4942 -0.4804 -0.4673 -0.4554 -0.4360 -0.4316 -0.4377 -0.4522 -0.4775
 -0.5160 -0.5637 -0.6149 -0.6661 -0.7156 -0.7633 -0.8097 -0.8550 -0.8999 -0.9451
 -0.9911
 -0.5510 -0.5301 -0.5179 -0.5095 -0.5036 -0.4986 -0.4932 -0.4873 -0.4815 -0.4751
 -0.4674 -0.4591 -0.4505 -0.4419 -0.4337 -0.4182 -0.4138 -0.4210 -0.4382
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  I   
 -1.8044 -1.7470 -1.6023 -1.4492 -1.3049 -1.1853 -1.0994 -1.0259 -0.9558 -0.8888
 -0.8257 -0.7657 -0.7088 -0.6548 -0.6043 -0.4979 -0.4264 -0.3937 -0.3955
 -1.5527 -1.5554 -1.5414 -1.4295 -1.2982 -1.1781 -1.0831 -1.0083 -0.9397 -0.8758
 -0.8161 -0.7596 -0.7061 -0.6555 -0.6083 -0.5103 -0.4461 -0.4171 -0.4184 -0.4385
 -1.4422 -1.3611 -1.3320 -1.3424 -1.2791 -1.1733 -1.0734 -0.9935 -0.9265 -0.8653
 -0.8087 -0.7555 -0.7051 -0.6576 -0.6133 -0.5218 -0.4627 -0.4358 -0.4365 -0.4558
 -0.4848
 -1.3703 -1.2814 -1.2015 -1.1506 -1.1453 -1.1336 -1.0642 -0.9828 -0.9138 -0.8545
 -0.8009 -0.7507 -0.7033 -0.6587 -0.6170 -0.5309 -0.4757 -0.4504 -0.4506 -0.4694
 -0.4979 -0.5315
 -1.3002 -1.2238 -1.1429 -1.0683 -1.0105 -0.9791 -0.9757 -0.9549 -0.9003 -0.8422
 -0.7909 -0.7438 -0.6992 -0.6573 -0.6181 -0.5369 -0.4850 -0.4612 -0.4613 -0.4796
 -0.5084 -0.5419 -0.5787 -0.6185
 -1.2250 -1.1639 -1.0948 -1.0230 -0.9557 -0.8989 -0.8577 -0.8361 -0.8303 -0.8120
 -0.7745 -0.7329 -0.6919 -0.6528 -0.6160 -0.5396 -0.4906 -0.4682 -0.4685 -0.4867
 -0.5162 -0.5506 -0.5875 -0.6269 -0.6687 -0.7136 -0.7624 -0.8157 -0.8728 -0.9299
 -1.1447 -1.0967 -1.0415 -0.9809 -0.9185 -0.8600 -0.8087 -0.7662 -0.7352 -0.7189
 -0.7111 -0.6978 -0.6739 -0.6429 -0.6102 -0.5388 -0.4928 -0.4717 -0.4722 -0.4904
