 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -5.1742 -5.1001 -5.3163 -5.2387 -5.0211 -4.7381 -4.4339 -4.2219 -4.0328 -3.8414
 -3.6661 -3.5050 -3.3550 -3.2144 -3.0818 -2.8012 -2.5338 -2.3041 -2.1675
 -5.1669 -4.9136 -4.7130 -4.5774 -4.4980 -4.3837 -4.2006 -3.9988 -3.8113 -3.6355
 -3.4709 -3.3185 -3.1783 -3.0493 -2.9298 -2.6669 -2.4509 -2.2842 -2.1632 -2.0741
 -4.9326 -4.6814 -4.4624 -4.2784 -4.1293 -4.0269 -3.9434 -3.8163 -3.6556 -3.4892
 -3.3358 -3.1940 -3.0634 -2.9437 -2.8343 -2.5997 -2.4128 -2.2688 -2.1627 -2.0828
 -2.0200
 -4.7504 -4.5168 -4.3023 -4.1128 -3.9474 -3.8032 -3.6834 -3.5931 -3.4999 -3.3776
 -3.2399 -3.1070 -2.9848 -2.8727 -2.7701 -2.5534 -2.3860 -2.2600 -2.1656 -2.0936
 -2.0359 -1.9878
 -4.5994 -4.3868 -4.1851 -4.0003 -3.8353 -3.6876 -3.5550 -3.4372 -3.3406 -3.2519
 -3.1552 -3.0442 -2.9311 -2.8249 -2.7279 -2.5228 -2.3673 -2.2533 -2.1692 -2.1049
 -2.0522 -2.0077 -1.9692 -1.9361
 -4.4745 -4.2771 -4.0916 -3.9154 -3.7544 -3.6091 -3.4778 -3.3584 -3.2508 -3.1540
 -3.0663 -2.9801 -2.8878 -2.7922 -2.6998 -2.5030 -2.3541 -2.2470 -2.1705 -2.1139
 -2.0672 -2.0270 -1.9918 -1.9604 -1.9312 -1.9059 -1.8863 -1.8740 -1.8701 -1.8753
 -4.3755 -4.1867 -4.0122 -3.8472 -3.6915 -3.5495 -3.4207 -3.3036 -3.1976 -3.1003
 -3.0099 -2.9250 -2.8434 -2.7617 -2.6793 -2.4904 -2.3447 -2.2397 -2.1681 -2.1181
 -2.0783 -2.0438 -2.0130 -1.9850 -1.9593 -1.9339 -1.9114 -1.8951 -1.8877 -1.8904
 -1.9015
 -4.3023 -4.1166 -3.9465 -3.7887 -3.6406 -3.5019 -3.3752 -3.2601 -3.1560 -3.0608
 -2.9729 -2.8899 -2.8101 -2.7333 -2.6584 -2.4828 -2.3390 -2.2338 -2.1628 -2.1164
 -2.0830 -2.0553 -2.0303 -2.0070 -1.9853 -1.9645 -1.9432 -1.9245 -1.9120 -1.9087
 -1.9164
 -4.2550 -4.0678 -3.8969 -3.7369 -3.5950 -3.4613 -3.3367 -3.2225 -3.1194 -3.0258
 -2.9398 -2.8598 -2.7837 -2.7101 -2.6385 -2.4729 -2.3342 -2.2291 -2.1559 -2.1098
 -2.0805 -2.0592 -2.0410 -2.0242 -2.0077 -1.9913 -1.9753 -1.9601 -1.9482 -1.9399
 -1.9349
 -4.2335 -4.0412 -3.8659 -3.7061 -3.5605 -3.4278 -3.3063 -3.1932 -3.0898 -2.9965
 -2.9115 -2.8334 -2.7603 -2.6898 -2.6218 -2.4647 -2.3304 -2.2259 -2.1511 -2.1027
 -2.0736 -2.0561 -2.0441 -2.0342 -2.0243 -2.0139 -2.0030 -1.9917 -1.9807 -1.9711
 -1.9624
 -4.2336 -4.0336 -3.8520 -3.6873 -3.5378 -3.4023 -3.2797 -3.1682 -3.0650 -2.9707
 -2.8855 -2.8081 -2.7367 -2.6698 -2.6059 -2.4562 -2.3258 -2.2225 -2.1470 -2.0960
 -2.0653 -2.0483 -2.0399 -2.0358 -2.0328 -2.0293 -2.0248 -2.0190 -2.0124 -2.0058
 -2.0001
 -4.2389 -4.0294 -3.8416 -3.6730 -3.5209 -3.3834 -3.2587 -3.1452 -3.0419 -2.9478
 -2.8621 -2.7842 -2.7134 -2.6480 -2.5867 -2.4458 -2.3204 -2.2183 -2.1424
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -5.5564 -5.4457 -5.2917 -5.0227 -4.7242 -4.4428 -4.2026 -3.9975 -3.8100 -3.6345
 -3.4715 -3.3227 -3.1872 -3.0632 -2.9490 -2.7036 -2.4853 -2.2972 -2.1622
 -5.1903 -4.9540 -4.8192 -4.7328 -4.5429 -4.2909 -4.0495 -3.8427 -3.6602 -3.4910
 -3.3348 -3.1926 -3.0640 -2.9478 -2.8421 -2.6144 -2.4258 -2.2721 -2.1538 -2.0649
 -4.9915 -4.7266 -4.5106 -4.3485 -4.2558 -4.1441 -3.9484 -3.7402 -3.5581 -3.3956
 -3.2457 -3.1091 -2.9855 -2.8741 -2.7735 -2.5609 -2.3907 -2.2553 -2.1512 -2.0717
 -2.0091
 -4.8596 -4.5969 -4.3667 -4.1646 -3.9984 -3.8767 -3.7877 -3.6624 -3.4932 -3.3333
 -3.1882 -3.0567 -2.9374 -2.8295 -2.7321 -2.5279 -2.3686 -2.2453 -2.1519 -2.0804
 -2.0231 -1.9754
