 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -3.6168 -3.4068 -3.2171 -3.0322 -2.8486 -2.6689 -2.4983 -2.3388 -2.1884 -2.0432
 -1.9021 -1.7654 -1.6352 -1.5133 -1.3982 -1.1263 -0.8931 -0.7174 -0.5863 -0.4862
 -0.4093 -0.3491 -0.2990 -0.2544 -0.2127 -0.1728 -0.1345 -0.0991 -0.0668 -0.0373
 -0.0103
 -3.5464 -3.3328 -3.1464 -2.9730 -2.8026 -2.6344 -2.4700 -2.3132 -2.1661 -2.0266
 -1.8920 -1.7604 -1.6322 -1.5095 -1.3938 -1.1325 -0.9049 -0.7230 -0.5880 -0.4868
 -0.4105 -0.3528 -0.3080 -0.2703 -0.2361 -0.2034 -0.1717 -0.1406 -0.1108 -0.0830
 -0.0571
 -3.4975 -3.2734 -3.0839 -2.9143 -2.7528 -2.5952 -2.4409 -2.2899 -2.1453 -2.0087
 -1.8790 -1.7538 -1.6312 -1.5115 -1.3964 -1.1368 -0.9148 -0.7320 -0.5920 -0.4880
 -0.4105 -0.3531 -0.3108 -0.2784 -0.2512 -0.2261 -0.2019 -0.1778 -0.1539 -0.1307
 -0.1090
 -3.4640 -3.2287 -3.0297 -2.8555 -2.6977 -2.5487 -2.4040 -2.2626 -2.1244 -1.9907
 -1.8637 -1.7427 -1.6260 -1.5120 -1.4006 -1.1429 -0.9227 -0.7407 -0.5974
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  g   
 -5.2560 -5.0018 -4.6075 -4.2020 -3.8154 -3.4804 -3.2150 -2.9785 -2.7571 -2.5520
 -2.3607 -2.1841 -2.0227 -1.8756 -1.7406 -1.4404 -1.1686 -0.9149 -0.6903
 -4.6769 -4.5398 -4.3873 -4.0642 -3.7039 -3.3622 -3.0720 -2.8286 -2.6063 -2.4013
 -2.2101 -2.0338 -1.8732 -1.7280 -1.5964 -1.3125 -1.0667 -0.8450 -0.6487 -0.4836
 -4.4294 -4.1338 -3.9596 -3.8596 -3.6202 -3.3024 -2.9980 -2.7381 -2.5138 -2.3096
 -2.1191 -1.9426 -1.7812 -1.6354 -1.5041 -1.2269 -0.9964 -0.7961 -0.6213 -0.4728
 -0.3494
 -4.3001 -3.9754 -3.7054 -3.5028 -3.3789 -3.2312 -2.9718 -2.7009 -2.4648 -2.2596
 -2.0701 -1.8936 -1.7309 -1.5832 -1.4502 -1.1733 -0.9507 -0.7638 -0.6044 -0.4691
 -0.3555 -0.2592
 -4.2096 -3.8922 -3.6060 -3.3564 -3.1473 -2.9808 -2.8548 -2.6827 -2.4542 -2.2391
