 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -7.6474 -7.3203 -7.0135 -6.7400 -6.4987 -6.2789 -6.0828 -5.9140 -5.7583 -5.5595
 -5.3324 -5.1069 -4.8958 -4.7039 -4.5314 -4.1717 -3.8855 -3.6460 -3.4405 -3.2692
 -3.1300 -3.0138 -2.9128 -2.8215
 -7.5014 -7.1954 -6.9074 -6.6375 -6.3945 -6.1736 -5.9646 -5.7646 -5.5811 -5.4191
 -5.2521 -5.0607 -4.8608 -4.6700 -4.4954 -4.1333 -3.8535 -3.6264 -3.4349 -3.2747
 -3.1442 -3.0358 -2.9422 -2.8581 -2.7804 -2.7088 -2.6435 -2.5846 -2.5335 -2.4972
 -7.3589 -7.0807 -6.8162 -6.5582 -6.3172 -6.0982 -5.8947 -5.6981 -5.5057 -5.3222
 -5.1512 -4.9909 -4.8266 -4.6546 -4.4845 -4.1170 -3.8373 -3.6164 -3.4341 -3.2821
 -3.1587 -3.0576 -2.9711 -2.8937 -2.8225 -2.7546 -2.6914 -2.6352 -2.5877 -2.5499
 -2.5212
 -7.2239 -6.9703 -6.7305 -6.4900 -6.2567 -6.0383 -5.8383 -5.6499 -5.4661 -5.2841
 -5.1065 -4.9372 -4.7800 -4.6295 -4.4786 -4.1195 -3.8332 -3.6136 -3.4363 -3.2898
 -3.1716 -3.0764 -2.9968 -2.9266 -2.8621 -2.8003 -2.7422 -2.6892 -2.6425 -2.6030
 -2.5712
 -7.1021 -6.8653 -6.6434 -6.4223 -6.2022 -5.9886 -5.7888 -5.6038 -5.4287 -5.2568
 -5.0857 -4.9167 -4.7547 -4.6034 -4.4612 -4.1270 -3.8381 -3.6145 -3.4389 -3.2957
 -3.1804 -3.0896 -3.0162 -2.9534 -2.8964 -2.8430 -2.7927 -2.7462 -2.7035 -2.6641
 -2.6279
 -6.9985 -6.7679 -6.5572 -6.3559 -6.1525 -5.9504 -5.7535 -5.5680 -5.3958 -5.2322
