 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -8.6133 -8.4009 -8.5635 -8.4842 -8.2613 -7.9033 -7.4427 -7.1600 -6.8820 -6.5925
 -6.3174 -6.0629 -5.8268 -5.6025 -5.3846 -4.8961 -4.3862 -3.9120 -3.5710
 -8.4441 -8.0841 -7.8008 -7.6076 -7.4877 -7.3322 -7.0902 -6.8059 -6.5214 -6.2419
 -5.9744 -5.7253 -5.4950 -5.2806 -5.0781 -4.6079 -4.1775 -3.8096 -3.5244 -3.3052
 -8.1069 -7.7489 -7.4367 -7.1773 -6.9663 -6.8135 -6.6836 -6.4963 -6.2523 -5.9863
 -5.7268 -5.4822 -5.2575 -5.0513 -4.8611 -4.4373 -4.0631 -3.7390 -3.4831 -3.2857
 -3.1273
 -7.8294 -7.5017 -7.1954 -6.9247 -6.6873 -6.4745 -6.2885 -6.1364 -5.9757 -5.7694
 -5.5360 -5.3037 -5.0851 -4.8846 -4.7020 -4.3095 -3.9777 -3.6925 -3.4592 -3.2789
 -3.1340 -3.0115
 -7.5778 -7.2913 -7.0092 -6.7458 -6.5076 -6.2885 -6.0813 -5.8862 -5.7138 -5.5481
 -5.3694 -5.1697 -4.9664 -4.7730 -4.5952 -4.2214 -3.9182 -3.6604 -3.4479 -3.2811
 -3.1472 -3.0339 -2.9341 -2.8443
 -7.3438 -7.0941 -6.8464 -6.6017 -6.3719 -6.1583 -5.9551 -5.7577 -5.5672 -5.3860
 -5.2179 -5.0531 -4.8799 -4.7029 -4.5318 -4.1670 -3.8807 -3.6418 -3.4447 -3.2882
 -3.1634 -3.0586 -2.9662 -2.8822 -2.8010 -2.7243 -2.6553 -2.5963 -2.5493 -2.5152
 -7.1281 -6.9083 -6.6916 -6.4729 -6.2575 -6.0535 -5.8591 -5.6707 -5.4859 -5.3038
 -5.1285 -4.9637 -4.8067 -4.6514 -4.4962 -4.1406 -3.8608 -3.6344 -3.4467 -3.2972
 -3.1794 -3.0823 -2.9975 -2.9202 -2.8486 -2.7814 -2.7188 -2.6612 -2.6089 -2.5650
 -2.5403
