 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -3.1656 -3.1254 -3.3142 -3.2764 -3.1376 -2.9394 -2.7181 -2.5718 -2.4439 -2.3107
 -2.1844 -2.0665 -1.9588 -1.8610 -1.7734 -1.5922 -1.4626 -1.3592 -1.3126
 -3.1667 -3.0171 -2.8931 -2.8128 -2.7750 -2.7085 -2.5871 -2.4513 -2.3258 -2.2073
 -2.0942 -1.9883 -1.8911 -1.8032 -1.7241 -1.5615 -1.4452 -1.3699 -1.3249 -1.2990
 -3.0083 -2.8641 -2.7273 -2.6075 -2.5119 -2.4545 -2.4146 -2.3424 -2.2418 -2.1329
 -2.0304 -1.9344 -1.8459 -1.7656 -1.6936 -1.5467 -1.4432 -1.3776 -1.3385 -1.3155
 -1.3031
 -2.8751 -2.7496 -2.6207 -2.4975 -2.3872 -2.2935 -2.2216 -2.1755 -2.1302 -2.0629
 -1.9788 -1.8931 -1.8130 -1.7398 -1.6736 -1.5381 -1.4433 -1.3849 -1.3509 -1.3309
 -1.3196 -1.3146
 -2.7507 -2.6481 -2.5359 -2.4209 -2.3111 -2.2121 -2.1266 -2.0547 -2.0017 -1.9574
 -1.9091 -1.8488 -1.7825 -1.7175 -1.6574 -1.5318 -1.4430 -1.3898 -1.3606 -1.3444
 -1.3350 -1.3309 -1.3311 -1.3355
 -2.6327 -2.5479 -2.4562 -2.3557 -2.2536 -2.1561 -2.0686 -1.9925 -1.9276 -1.8730
 -1.8271 -1.7844 -1.7380 -1.6878 -1.6374 -1.5244 -1.4405 -1.3905 -1.3652 -1.3541
 -1.3483 -1.3463 -1.3476 -1.3518 -1.3587 -1.3691 -1.3840 -1.4041 -1.4300 -1.4619
 -2.5235 -2.4504 -2.3750 -2.2906 -2.2008 -2.1103 -2.0244 -1.9474 -1.8814 -1.8246
 -1.7745 -1.7295 -1.6884 -1.6484 -1.6079 -1.5120 -1.4347 -1.3852 -1.3636 -1.3578
 -1.3575 -1.3592 -1.3630 -1.3687 -1.3761 -1.3838 -1.3942 -1.4099 -1.4332 -1.4645
 -1.4999
 -2.4254 -2.3591 -2.2928 -2.2216 -2.1453 -2.0655 -1.9857 -1.9102 -1.8433 -1.7863
 -1.7371 -1.6929 -1.6517 -1.6134 -1.5770 -1.4936 -1.4249 -1.3776 -1.3564 -1.3544
 -1.3600 -1.3674 -1.3753 -1.3839 -1.3934 -1.4036 -1.4136 -1.4259 -1.4433 -1.4683
 -1.5022
 -2.3408 -2.2774 -2.2146 -2.1487 -2.0839 -2.0155 -1.9449 -1.8747 -1.8089 -1.7510
 -1.7019 -1.6597 -1.6213 -1.5850 -1.5503 -1.4730 -1.4112 -1.3676 -1.3456 -1.3448
 -1.3551 -1.3687 -1.3824 -1.3957 -1.4087 -1.4215 -1.4346 -1.4483 -1.4648 -1.4845
 -1.5070
 -2.2719 -2.2089 -2.1464 -2.0843 -2.0226 -1.9615 -1.9004 -1.8381 -1.7769 -1.7197
 -1.6696 -1.6275 -1.5913 -1.5577 -1.5260 -1.4550 -1.3970 -1.3564 -1.3344 -1.3322
 -1.3438 -1.3619 -1.3817 -1.4010 -1.4191 -1.4360 -1.4523 -1.4681 -1.4841 -1.5014
 -1.5198
 -2.2170 -2.1505 -2.0864 -2.0246 -1.9649 -1.9071 -1.8512 -1.7966 -1.7420 -1.6888
 -1.6393 -1.5962 -1.5600 -1.5292 -1.5015 -1.4377 -1.3833 -1.3449 -1.3239 -1.3197
 -1.3303 -1.3498 -1.3736 -1.3986 -1.4226 -1.4450 -1.4659 -1.4854 -1.5041 -1.5226
 -1.5419
 -2.1617 -2.0787 -2.0096 -1.9505 -1.8979 -1.8486 -1.8002 -1.7511 -1.7022 -1.6545
 -1.6089 -1.5666 -1.5296 -1.4988 -1.4729 -1.4183 -1.3698 -1.3333 -1.3131
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  R   
 -3.4964 -3.4546 -3.3703 -3.1870 -2.9730 -2.7680 -2.5970 -2.4582 -2.3344 -2.2178
 -2.1069 -2.0024 -1.9050 -1.8152 -1.7333 -1.5637 -1.4404 -1.3503 -1.3005
 -3.2541 -3.1136 -3.0398 -3.0000 -2.8747 -2.6956 -2.5228 -2.3802 -2.2596 -2.1489
 -2.0444 -1.9465 -1.8557 -1.7727 -1.6977 -1.5442 -1.4327 -1.3577 -1.3121 -1.2861
 -3.1176 -2.9579 -2.8187 -2.7143 -2.6649 -2.6020 -2.4715 -2.3284 -2.2063 -2.1007
 -2.0024 -1.9104 -1.8254 -1.7478 -1.6778 -1.5353 -1.4327 -1.3646 -1.3242 -1.3012
 -1.2889
 -3.0151 -2.8643 -2.7176 -2.5809 -2.4677 -2.3911 -2.3454 -2.2747 -2.1674 -2.0642
 -1.9708 -1.8845 -1.8046 -1.7317 -1.6660 -1.5318 -1.4352 -1.3715 -1.3347 -1.3147
 -1.3040 -1.2996
 -2.9251 -2.7907 -2.6525 -2.5182 -2.3942 -2.2838 -2.1947 -2.1311 -2.0853 -2.0222
 -1.9430 -1.8621 -1.7870 -1.7186 -1.6566 -1.5296 -1.4375 -1.3768 -1.3428 -1.3259
 -1.3176 -1.3144 -1.3155 -1.3217
 -2.8444 -2.7228 -2.5983 -2.4717 -2.3493 -2.2359 -2.1337 -2.0452 -1.9750 -1.9255
 -1.8823 -1.8290 -1.7670 -1.7041 -1.6460 -1.5259 -1.4378 -1.3791 -1.3472 -1.3338
 -1.3290 -1.3283 -1.3307 -1.3360 -1.3433 -1.3539 -1.3696 -1.3916 -1.4203 -1.4535
 -2.7630 -2.6549 -2.5448 -2.4302 -2.3149 -2.2042 -2.1014 -2.0089 -1.9278 -1.8603
 -1.8066 -1.7642 -1.7229 -1.6773 -1.6291 -1.5190 -1.4350 -1.3778 -1.3471 -1.3368
 -1.3365 -1.3396 -1.3447 -1.3516 -1.3604 -1.3703 -1.3829 -1.4002 -1.4238 -1.4545
 -1.4919
 -2.6871 -2.5859 -2.4898 -2.3870 -2.2820 -2.1774 -2.0775 -1.9851 -1.9022 -1.8296
 -1.7680 -1.7166 -1.6734 -1.6352 -1.5978 -1.5056 -1.4283 -1.3731 -1.3426 -1.3340
 -1.3382 -1.3465 -1.3557 -1.3657 -1.3765 -1.3865 -1.3976 -1.4121 -1.4322 -1.4592
 -1.4941
 -2.6229 -2.5225 -2.4321 -2.3400 -2.2447 -2.1486 -2.0544 -1.9644 -1.8816 -1.8076
 -1.7436 -1.6891 -1.6422 -1.6011 -1.5646 -1.4839 -1.4158 -1.3645 -1.3344 -1.3261
