 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -4.2145 -4.1540 -4.3470 -4.2765 -4.0934 -3.8557 -3.6007 -3.4308 -3.2825 -3.1321
 -2.9919 -2.8642 -2.7479 -2.6424 -2.5455 -2.3460 -2.1727 -2.0206 -1.9579
 -4.2226 -4.0170 -3.8492 -3.7372 -3.6766 -3.5863 -3.4383 -3.2785 -3.1342 -3.0002
 -2.8745 -2.7582 -2.6518 -2.5546 -2.4658 -2.2770 -2.1337 -2.0340 -1.9689 -1.9263
 -4.0424 -3.8428 -3.6597 -3.5029 -3.3787 -3.3002 -3.2422 -3.1494 -3.0292 -2.9042
 -2.7897 -2.6842 -2.5874 -2.4990 -2.4184 -2.2490 -2.1231 -2.0365 -1.9795 -1.9413
 -1.9155
 -3.8973 -3.7191 -3.5440 -3.3821 -3.2405 -3.1221 -3.0305 -2.9682 -2.9074 -2.8240
 -2.7258 -2.6295 -2.5415 -2.4608 -2.3869 -2.2311 -2.1168 -2.0402 -1.9900 -1.9560
 -1.9321 -1.9156
 -3.7678 -3.6152 -3.4577 -3.3034 -3.1606 -3.0350 -2.9283 -2.8394 -2.7727 -2.7159
 -2.6546 -2.5812 -2.5040 -2.4306 -2.3631 -2.2187 -2.1120 -2.0424 -1.9984 -1.9691
 -1.9479 -1.9328 -1.9227 -1.9172
 -3.6505 -3.5173 -3.3819 -3.2417 -3.1054 -2.9794 -2.8689 -2.7748 -2.6958 -2.6298
 -2.5733 -2.5196 -2.4615 -2.4001 -2.3398 -2.2076 -2.1067 -2.0413 -2.0022 -1.9788
 -1.9618 -1.9494 -1.9408 -1.9355 -1.9329 -1.9340 -1.9399 -1.9517 -1.9698 -1.9947
 -3.5471 -3.4261 -3.3077 -3.1846 -3.0594 -2.9385 -2.8274 -2.7303 -2.6490 -2.5804
 -2.5204 -2.4659 -2.4147 -2.3642 -2.3130 -2.1941 -2.0995 -2.0352 -2.0002 -1.9826
 -1.9715 -1.9633 -1.9577 -1.9544 -1.9530 -1.9519 -1.9535 -1.9608 -1.9763 -2.0005
 -2.0296
 -3.4592 -3.3447 -3.2352 -3.1256 -3.0143 -2.9028 -2.7955 -2.6971 -2.6126 -2.5421
 -2.4824 -2.4291 -2.3788 -2.3310 -2.2849 -2.1779 -2.0900 -2.0275 -1.9931 -1.9793
 -1.9745 -1.9724 -1.9714 -1.9714 -1.9726 -1.9746 -1.9763 -1.9804 -1.9900 -2.0078
 -2.0352
 -3.3886 -3.2762 -3.1694 -3.0631 -2.9642 -2.8641 -2.7647 -2.6692 -2.5827 -2.5087
 -2.4474 -2.3953 -2.3480 -2.3029 -2.2593 -2.1596 -2.0780 -2.0183 -1.9828 -1.9701
 -1.9699 -1.9742 -1.9794 -1.9846 -1.9898 -1.9948 -2.0003 -2.0064 -2.0155 -2.0279
 -2.0434
 -3.3370 -3.2235 -3.1157 -3.0131 -2.9153 -2.8220 -2.7321 -2.6435 -2.5590 -2.4825
 -2.4173 -2.3635 -2.3177 -2.2752 -2.2348 -2.1432 -2.0658 -2.0086 -1.9728 -1.9584
 -1.9595 -1.9682 -1.9796 -1.9911 -2.0018 -2.0115 -2.0206 -2.0294 -2.0384 -2.0487
 -2.0600
 -3.3005 -3.1821 -3.0715 -2.9679 -2.8708 -2.7797 -2.6941 -2.6130 -2.5343 -2.4595
 -2.3921 -2.3345 -2.2869 -2.2467 -2.2104 -2.1265 -2.0536 -1.9986 -1.9635 -1.9471
 -1.9469 -1.9569 -1.9723 -1.9897 -2.0066 -2.0222 -2.0365 -2.0495 -2.0616 -2.0737
 -2.0866
 -3.2580 -3.1236 -3.0080 -2.9069 -2.8163 -2.7328 -2.6537 -2.5771 -2.5036 -2.4340
 -2.3689 -2.3096 -2.2588 -2.2168 -2.1816 -2.1071 -2.0408 -1.9883 -1.9539
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  r   
 -4.5768 -4.4986 -4.3752 -4.1425 -3.8809 -3.6369 -3.4378 -3.2781 -3.1363 -3.0036
 -2.8784 -2.7621 -2.6553 -2.5577 -2.4688 -2.2851 -2.1372 -2.0175 -1.9476
 -4.2909 -4.0997 -3.9913 -3.9243 -3.7627 -3.5459 -3.3429 -3.1780 -3.0396 -2.9132
 -2.7951 -2.6862 -2.5869 -2.4970 -2.4157 -2.2458 -2.1153 -2.0200 -1.9554 -1.9129
 -4.1381 -3.9245 -3.7420 -3.6038 -3.5300 -3.4422 -3.2823 -3.1138 -2.9724 -2.8514
 -2.7398 -2.6373 -2.5441 -2.4600 -2.3842 -2.2266 -2.1071 -2.0215 -1.9643 -1.9264
 -1.9009
 -4.0315 -3.8266 -3.6346 -3.4600 -3.3159 -3.2149 -3.1495 -3.0571 -2.9276 -2.8072
 -2.7002 -2.6033 -2.5154 -2.4362 -2.3648 -2.2162 -2.1039 -2.0246 -1.9728 -1.9391
 -1.9160 -1.9001
 -3.9451 -3.7567 -3.5719 -3.3985 -3.2415 -3.1032 -2.9913 -2.9087 -2.8459 -2.7652
 -2.6700 -2.5768 -2.4931 -2.4183 -2.3508 -2.2097 -2.1026 -2.0273 -1.9796 -1.9500
 -1.9300 -1.9159 -1.9066 -1.9028
 -3.8757 -3.6984 -3.5260 -3.3583 -3.2013 -3.0585 -2.9314 -2.8223 -2.7348 -2.6708
 -2.6140 -2.5469 -2.4730 -2.4015 -2.3373 -2.2033 -2.1005 -2.0279 -1.9831 -1.9577
 -1.9419 -1.9308 -1.9233 -1.9191 -1.9169 -1.9182 -1.9250 -1.9386 -1.9596 -1.9860
 -3.8104 -3.6451 -3.4860 -3.3279 -3.1756 -3.0336 -2.9044 -2.7897 -2.6904 -2.6081
 -2.5421 -2.4885 -2.4360 -2.3793 -2.3214 -2.1949 -2.0963 -2.0256 -1.9824 -1.9606
 -1.9498 -1.9431 -1.9388 -1.9367 -1.9366 -1.9376 -1.9415 -1.9505 -1.9664 -1.9901
 -2.0212
 -3.7545 -3.5951 -3.4486 -3.3007 -3.1557 -3.0171 -2.8887 -2.7723 -2.6695 -2.5808
 -2.5066 -2.4447 -2.3919 -2.3441 -2.2966 -2.1821 -2.0891 -2.0203 -1.9776 -1.9578
 -1.9519 -1.9508 -1.9511 -1.9526 -1.9550 -1.9565 -1.9592 -1.9658 -1.9782 -1.9982
 -2.0267
 -3.7150 -3.5541 -3.4115 -3.2730 -3.1359 -3.0027 -2.8769 -2.7605 -2.6556 -2.5636
 -2.4854 -2.4198 -2.3634 -2.3135 -2.2681 -2.1647 -2.0773 -2.0117 -1.9693 -1.9500
 -1.9472 -1.9519 -1.9582 -1.9647 -1.9711 -1.9776 -1.9846 -1.9937 -2.0052 -2.0188
 -2.0342
 -3.7000 -3.5285 -3.3820 -3.2483 -3.1190 -2.9922 -2.8698 -2.7549 -2.6494 -2.5545
 -2.4722 -2.4029 -2.3445 -2.2936 -2.2476 -2.1477 -2.0649 -2.0019 -1.9600 -1.9395
 -1.9373 -1.9456 -1.9578 -1.9704 -1.9823 -1.9933 -2.0040 -2.0143 -2.0250 -2.0369
 -2.0499
 -3.7160 -3.5196 -3.3621 -3.2274 -3.1031 -2.9818 -2.8644 -2.7516 -2.6465 -2.5503
 -2.4644 -2.3903 -2.3282 -2.2759 -2.2300 -2.1320 -2.0522 -1.9913 -1.9502 -1.9285
 -1.9249 -1.9342 -1.9502 -1.9685 -1.9865 -2.0034 -2.0191 -2.0335 -2.0472 -2.0609
 -2.0753
 -3.7579 -3.5273 -3.3519 -3.2103 -3.0876 -2.9714 -2.8588 -2.7498 -2.6458 -2.5490
 -2.4611 -2.3830 -2.3157 -2.2595 -2.2122 -2.1168 -2.0397 -1.9805 -1.9402
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  r   
 -4.7822 -4.6072 -4.3114 -4.0077 -3.7184 -3.4750 -3.2972 -3.1514 -3.0206 -2.9002
 -2.7869 -2.6805 -2.5818 -2.4909 -2.4078 -2.2342 -2.1013 -2.0005 -1.9289
 -4.3784 -4.2975 -4.1970 -3.9535 -3.6855 -3.4383 -3.2394 -3.0866 -2.9559 -2.8386
 -2.7291 -2.6272 -2.5331 -2.4473 -2.3695 -2.2090 -2.0883 -1.9987 -1.9354 -1.8930
 -4.2204 -4.0104 -3.8904 -3.8299 -3.6570 -3.4277 -3.2169 -3.0482 -2.9138 -2.7984
 -2.6923 -2.5943 -2.5042 -2.4224 -2.3485 -2.1968 -2.0834 -2.0003 -1.9425 -1.9045
 -1.8795
 -4.1473 -3.9139 -3.7147 -3.5660 -3.4848 -3.3910 -3.2149 -3.0355 -2.8886 -2.7708
 -2.6671 -2.5722 -2.4856 -2.4070 -2.3364 -2.1914 -2.0828 -2.0037 -1.9496 -1.9149
 -1.8925 -1.8776
 -4.1004 -3.8714 -3.6596 -3.4720 -3.3156 -3.1994 -3.1241 -3.0225 -2.8814 -2.7525
 -2.6483 -2.5557 -2.4716 -2.3959 -2.3279 -2.1885 -2.0837 -2.0073 -1.9556 -1.9236
 -1.9041 -1.8913 -1.8833 -1.8786
 -4.0675 -3.8466 -3.6370 -3.4432 -3.2680 -3.1157 -2.9903 -2.8955 -2.8241 -2.7362
 -2.6346 -2.5420 -2.4594 -2.3858 -2.3200 -2.1855 -2.0840 -2.0096 -1.9597 -1.9299
 -1.9135 -1.9038 -1.8978 -1.8951 -1.8945 -1.8976 -1.9066 -1.9229 -1.9462 -1.9720
 -4.0460 -3.8318 -3.6269 -3.4349 -3.2580 -3.0983 -2.9560 -2.8321 -2.7301 -2.6523
 -2.5882 -2.5211 -2.4474 -2.3755 -2.3111 -2.1808 -2.0824 -2.0097 -1.9610 -1.9328
 -1.9195 -1.9136 -1.9109 -1.9105 -1.9122 -1.9150 -1.9209 -1.9323 -1.9510 -1.9773
 -2.0073
 -4.0324 -3.8248 -3.6246 -3.4351 -3.2591 -3.0976 -2.9514 -2.8201 -2.7048 -2.6064
 -2.5262 -2.4645 -2.4111 -2.3565 -2.2996 -2.1736 -2.0781 -2.0070 -1.9590 -1.9318
 -1.9210 -1.9193 -1.9210 -1.9243 -1.9285 -1.9341 -1.9400 -1.9484 -1.9621 -1.9831
 -2.0128
 -4.0327 -3.8216 -3.6269 -3.4402 -3.2646 -3.1032 -2.9560 -2.8222 -2.7020 -2.5960
 -2.5050 -2.4300 -2.3697 -2.3193 -2.2730 -2.1614 -2.0697 -2.0006 -1.9533 -1.9265
