 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  y   
 -0.4078 -0.4572 -0.4989 -0.5302 -0.5503 -0.5605 -0.5627 -0.5604 -0.5564 -0.5514
 -0.5450 -0.5374 -0.5308 -0.5275 -0.5284 -0.5419 -0.5589 -0.5806 -0.6173 -0.6698
 -0.7327 -0.7979 -0.8613 -0.9220 -0.9804 -1.0366 -1.0910 -1.1447 -1.1979 -1.2506
 -1.3028
 -0.2905 -0.3461 -0.3954 -0.4350 -0.4669 -0.4899 -0.5050 -0.5129 -0.5162 -0.5167
 -0.5155 -0.5126 -0.5082 -0.5042 -0.5027 -0.5139 -0.5387 -0.5695 -0.6083 -0.6600
 -0.7231 -0.7913 -0.8591 -0.9244 -0.9869 -1.0467 -1.1045 -1.1601 -1.2142 -1.2674
 -1.3203
 -0.1749 -0.2337 -0.2884 -0.3347 -0.3754 -0.4076 -0.4334 -0.4530 -0.4667 -0.4752
 -0.4805 -0.4836 -0.4847 -0.4843 -0.4840 -0.4932 -0.5187 -0.5544 -0.5971 -0.6487
 -0.7107 -0.7798 -0.8506 -0.9203 -0.9874 -1.0517 -1.1134 -1.1727 -1.2300 -1.2857
 -1.3403
 -0.0609 -0.1202 -0.1779 -0.2303 -0.2770 -0.3177 -0.3519 -0.3804 -0.4043 -0.4230
 -0.4368 -0.4471 -0.4549 -0.4605 -0.4647 -0.4773 -0.5023 -0.5393 -0.5847
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  y   
 -1.4308 -1.4213 -1.3402 -1.2454 -1.1443 -1.0543 -0.9880 -0.9306 -0.8745 -0.8203
 -0.7723 -0.7281 -0.6875 -0.6501 -0.6161 -0.5476 -0.5046 -0.4940 -0.5216
 -1.2243 -1.2594 -1.2797 -1.2208 -1.1403 -1.0576 -0.9860 -0.9278 -0.8722 -0.8208
 -0.7754 -0.7341 -0.6962 -0.6616 -0.6301 -0.5677 -0.5309 -0.5244 -0.5509 -0.5962
 -1.1231 -1.0895 -1.0956 -1.1329 -1.1101 -1.0483 -0.9816 -0.9223 -0.8695 -0.8197
 -0.7766 -0.7378 -0.7023 -0.6701 -0.6408 -0.5833 -0.5514 -0.5480 -0.5734 -0.6177
 -0.6682
 -1.0499 -1.0104 -0.9738 -0.9592 -0.9814 -0.9976 -0.9641 -0.9134 -0.8638 -0.8164
 -0.7752 -0.7386 -0.7054 -0.6752 -0.6479 -0.5945 -0.5665 -0.5656 -0.5905 -0.6340
 -0.6849 -0.7369
 -0.9742 -0.9489 -0.9119 -0.8762 -0.8534 -0.8515 -0.8719 -0.8765 -0.8491 -0.8101
 -0.7705 -0.7361 -0.7050 -0.6768 -0.6514 -0.6017 -0.5768 -0.5781 -0.6031 -0.6462
 -0.6978 -0.7510 -0.8035 -0.8543
 -0.8881 -0.8824 -0.8584 -0.8256 -0.7940 -0.7698 -0.7573 -0.7601 -0.7751 -0.7779
