 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  o   
 -2.8143 -2.8109 -2.9945 -3.0042 -2.9334 -2.8084 -2.6484 -2.5477 -2.4561 -2.3595
 -2.2675 -2.1793 -2.0984 -2.0244 -1.9590 -1.8229 -1.7465 -1.7142 -1.6957
 -2.8223 -2.7531 -2.6966 -2.6685 -2.6702 -2.6467 -2.5751 -2.4849 -2.3960 -2.3096
 -2.2257 -2.1464 -2.0731 -2.0070 -1.9483 -1.8340 -1.7618 -1.7233 -1.7060 -1.7010
 -2.7055 -2.6410 -2.5755 -2.5170 -2.4719 -2.4535 -2.4471 -2.4127 -2.3488 -2.2723
 -2.1967 -2.1240 -2.0563 -1.9950 -1.9408 -1.8356 -1.7695 -1.7355 -1.7216 -1.7185
 -1.7219
 -2.5979 -2.5487 -2.4902 -2.4302 -2.3745 -2.3263 -2.2915 -2.2758 -2.2592 -2.2219
 -2.1660 -2.1035 -2.0423 -1.9859 -1.9356 -1.8376 -1.7760 -1.7457 -1.7350 -1.7340
 -1.7384 -1.7466
 -2.4878 -2.4581 -2.4144 -2.3624 -2.3088 -2.2581 -2.2126 -2.1738 -2.1474 -2.1270
 -2.1033 -2.0675 -2.0228 -1.9748 -1.9292 -1.8381 -1.7801 -1.7528 -1.7452 -1.7472
 -1.7535 -1.7627 -1.7743 -1.7882
 -2.3743 -2.3609 -2.3353 -2.2973 -2.2523 -2.2053 -2.1606 -2.1194 -2.0825 -2.0508
 -2.0257 -2.0037 -1.9782 -1.9479 -1.9148 -1.8354 -1.7807 -1.7554 -1.7506 -1.7568
 -1.7662 -1.7776 -1.7906 -1.8049 -1.8200 -1.8368 -1.8566 -1.8803 -1.9085 -1.9417
 -2.2598 -2.2586 -2.2483 -2.2257 -2.1936 -2.1555 -2.1153 -2.0765 -2.0407 -2.0074
 -1.9771 -1.9506 -1.9278 -1.9061 -1.8834 -1.8256 -1.7771 -1.7518 -1.7500 -1.7608
 -1.7750 -1.7899 -1.8054 -1.8215 -1.8381 -1.8541 -1.8714 -1.8922 -1.9184 -1.9506
 -1.9871
 -2.1470 -2.1545 -2.1547 -2.1452 -2.1266 -2.1006 -2.0692 -2.0356 -2.0029 -1.9722
 -1.9436 -1.9169 -1.8924 -1.8706 -1.8508 -1.8059 -1.7682 -1.7453 -1.7439 -1.7580
 -1.7777 -1.7977 -1.8171 -1.8361 -1.8550 -1.8737 -1.8914 -1.9102 -1.9326 -1.9606
 -1.9955
 -2.0382 -2.0519 -2.0587 -2.0575 -2.0506 -2.0362 -2.0159 -1.9910 -1.9639 -1.9368
 -1.9113 -1.8875 -1.8652 -1.8443 -1.8249 -1.7842 -1.7540 -1.7358 -1.7341 -1.7497
 -1.7736 -1.7992 -1.8240 -1.8475 -1.8699 -1.8913 -1.9121 -1.9329 -1.9554 -1.9799
 -2.0062
 -1.9361 -1.9540 -1.9651 -1.9702 -1.9698 -1.9644 -1.9543 -1.9392 -1.9205 -1.8993
 -1.8779 -1.8576 -1.8386 -1.8205 -1.8033 -1.7661 -1.7391 -1.7243 -1.7231 -1.7377
 -1.7632 -1.7931 -1.8234 -1.8524 -1.8795 -1.9049 -1.9291 -1.9521 -1.9748 -1.9980
 -2.0221
 -1.8420 -1.8612 -1.8749 -1.8838 -1.8882 -1.8887 -1.8856 -1.8791 -1.8691 -1.8559
 -1.8405 -1.8246 -1.8093 -1.7949 -1.7813 -1.7500 -1.7254 -1.7125 -1.7126 -1.7256
 -1.7503 -1.7817 -1.8158 -1.8500 -1.8826 -1.9132 -1.9417 -1.9685 -1.9939 -2.0187
 -2.0438
 -1.7537 -1.7646 -1.7768 -1.7888 -1.7994 -1.8075 -1.8122 -1.8130 -1.8104 -1.8048
 -1.7968 -1.7869 -1.7762 -1.7657 -1.7557 -1.7329 -1.7127 -1.7011 -1.7018
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  o   
 -3.0986 -3.1078 -3.0806 -2.9740 -2.8392 -2.7050 -2.5897 -2.4936 -2.4053 -2.3208
 -2.2402 -2.1635 -2.0915 -2.0244 -1.9629 -1.8347 -1.7500 -1.7031 -1.6824
 -2.9275 -2.8608 -2.8402 -2.8438 -2.7798 -2.6687 -2.5550 -2.4571 -2.3711 -2.2903
 -2.2137 -2.1411 -2.0730 -2.0101 -1.9529 -1.8376 -1.7600 -1.7161 -1.6968 -1.6912
 -2.8228 -2.7425 -2.6711 -2.6230 -2.6163 -2.5980 -2.5230 -2.4296 -2.3446 -2.2676
 -2.1950 -2.1263 -2.0618 -2.0024 -1.9485 -1.8407 -1.7686 -1.7278 -1.7109 -1.7072
 -1.7106
 -2.7334 -2.6627 -2.5869 -2.5136 -2.4553 -2.4235 -2.4147 -2.3844 -2.3188 -2.2473
 -2.1792 -2.1144 -2.0535 -1.9972 -1.9462 -1.8443 -1.7762 -1.7377 -1.7226 -1.7210
 -1.7256 -1.7342
 -2.6433 -2.5901 -2.5241 -2.4544 -2.3883 -2.3291 -2.2832 -2.2556 -2.2411 -2.2095
 -2.1587 -2.1013 -2.0448 -1.9918 -1.9434 -1.8465 -1.7818 -1.7450 -1.7315 -1.7322
 -1.7390 -1.7489 -1.7611 -1.7762
 -2.5500 -2.5125 -2.4628 -2.4028 -2.3400 -2.2799 -2.2243 -2.1755 -2.1382 -2.1156
 -2.0967 -2.0678 -2.0280 -1.9827 -1.9381 -1.8462 -1.7843 -1.7488 -1.7367 -1.7401
 -1.7500 -1.7622 -1.7760 -1.7913 -1.8072 -1.8248 -1.8456 -1.8706 -1.9004 -1.9343
 -2.4478 -2.4266 -2.3938 -2.3489 -2.2956 -2.2401 -2.1864 -2.1361 -2.0905 -2.0516
 -2.0215 -1.9998 -1.9789 -1.9532 -1.9224 -1.8425 -1.7835 -1.7490 -1.7375 -1.7434
 -1.7572 -1.7731 -1.7896 -1.8067 -1.8244 -1.8420 -1.8610 -1.8832 -1.9100 -1.9423
 -1.9798
 -2.3435 -2.3327 -2.3154 -2.2855 -2.2461 -2.1998 -2.1515 -2.1043 -2.0599 -2.0188
 -1.9823 -1.9511 -1.9262 -1.9056 -1.8855 -1.8305 -1.7787 -1.7457 -1.7342 -1.7414
 -1.7592 -1.7797 -1.8001 -1.8202 -1.8401 -1.8585 -1.8771 -1.8980 -1.9226 -1.9524
 -1.9881
 -2.2414 -2.2367 -2.2287 -2.2119 -2.1858 -2.1521 -2.1129 -2.0714 -2.0306 -1.9918
 -1.9558 -1.9232 -1.8943 -1.8695 -1.8488 -1.8056 -1.7674 -1.7386 -1.7275 -1.7349
 -1.7553 -1.7807 -1.8061 -1.8306 -1.8540 -1.8765 -1.8988 -1.9221 -1.9465 -1.9720
 -1.9983
 -2.1460 -2.1443 -2.1410 -2.1315 -2.1168 -2.0947 -2.0668 -2.0343 -1.9996 -1.9648
 -1.9316 -1.9008 -1.8727 -1.8473 -1.8248 -1.7818 -1.7506 -1.7283 -1.7185 -1.7250
 -1.7459 -1.7746 -1.8051 -1.8348 -1.8629 -1.8893 -1.9147 -1.9392 -1.9633 -1.9878
 -2.0134
 -2.0619 -2.0568 -2.0543 -2.0491 -2.0423 -2.0289 -2.0108 -1.9883 -1.9622 -1.9336
 -1.9047 -1.8771 -1.8514 -1.8279 -1.8063 -1.7630 -1.7335 -1.7153 -1.7081 -1.7140
 -1.7338 -1.7634 -1.7974 -1.8321 -1.8655 -1.8969 -1.9267 -1.9547 -1.9815 -2.0077
 -2.0340
 -1.9863 -1.9742 -1.9684 -1.9656 -1.9630 -1.9576 -1.9476 -1.9333 -1.9158 -1.8953
 -1.8727 -1.8496 -1.8272 -1.8064 -1.7873 -1.7474 -1.7188 -1.7020 -1.6969
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  o   
 -3.2805 -3.2234 -3.0766 -2.9166 -2.7582 -2.6224 -2.5228 -2.4383 -2.3586 -2.2825
 -2.2108 -2.1429 -2.0786 -2.0181 -1.9615 -1.8409 -1.7523 -1.6957 -1.6687
 -3.0278 -3.0285 -3.0116 -2.8935 -2.7512 -2.6149 -2.5031 -2.4147 -2.3348 -2.2608
 -2.1915 -2.1261 -2.0644 -2.0067 -1.9530 -1.8403 -1.7593 -1.7085 -1.6840 -1.6767
 -2.9166 -2.8303 -2.7964 -2.8022 -2.7301 -2.6107 -2.4941 -2.3979 -2.3177 -2.2452
 -2.1782 -2.1153 -2.0562 -2.0008 -1.9496 -1.8426 -1.7667 -1.7195 -1.6967 -1.6909
 -1.6941
 -2.8459 -2.7505 -2.6629 -2.6041 -2.5916 -2.5707 -2.4869 -2.3891 -2.3046 -2.2325
 -2.1676 -2.1071 -2.0503 -1.9972 -1.9481 -1.8456 -1.7734 -1.7287 -1.7071 -1.7026
 -1.7072 -1.7163
 -2.7772 -2.6956 -2.6061 -2.5213 -2.4532 -2.4115 -2.3982 -2.3645 -2.2942 -2.2211
 -2.1573 -2.0991 -2.0445 -1.9936 -1.9465 -1.8480 -1.7787 -1.7358 -1.7153 -1.7120
 -1.7184 -1.7290 -1.7421 -1.7568
 -2.7020 -2.6388 -2.5618 -2.4793 -2.4003 -2.3315 -2.2783 -2.2451 -2.2277 -2.1955
 -2.1435 -2.0893 -2.0375 -1.9888 -1.9436 -1.8488 -1.7818 -1.7405 -1.7210 -1.7187
 -1.7272 -1.7402 -1.7550 -1.7714 -1.7887 -1.8080 -1.8305 -1.8575 -1.8888 -1.9225
 -2.6189 -2.5732 -2.5132 -2.4428 -2.3684 -2.2972 -2.2329 -2.1774 -2.1340 -2.1059
 -2.0860 -2.0596 -2.0228 -1.9805 -1.9383 -1.8474 -1.7826 -1.7425 -1.7236 -1.7222
