 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F300M
 -0.8529 -0.9982 -1.1384 -1.2723 -1.3998 -1.5217 -1.6388 -1.7514 -1.8601 -1.9653
 -2.0693
  0.4053  0.4086  0.4088  0.4059  0.3985  0.3838  0.3620  0.3338  0.2995  0.2602
  0.2169  0.1702  0.1206  0.0688  0.0155 -0.1213 -0.2617 -0.4070 -0.5557 -0.7037
 -0.8495 -0.9929 -1.1328 -1.2678 -1.3968 -1.5199 -1.6379 -1.7511 -1.8601 -1.9653
 -2.0671
  0.3158  0.3084  0.3082  0.3083  0.3059  0.2981  0.2835  0.2625  0.2355  0.2033
  0.1663  0.1254  0.0813  0.0346 -0.0143 -0.1433 -0.2782 -0.4175 -0.5605
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F300M
  0.9369  0.9455  0.9474  0.9358  0.9170  0.8823  0.8251  0.7574  0.6848  0.6080
  0.5298  0.4511  0.3726  0.2948  0.2180  0.0309 -0.1499 -0.3248 -0.4922
  0.9818  0.9652  0.9599  0.9421  0.9056  0.8593  0.8018  0.7344  0.6622  0.5855
  0.5073  0.4283  0.3492  0.2710  0.1938  0.0072 -0.1713 -0.3433 -0.5086 -0.6666
  0.9771  0.9666  0.9477  0.9266  0.8990  0.8462  0.7836  0.7161  0.6449  0.5695
  0.4921  0.4134  0.3343  0.2556  0.1781 -0.0091 -0.1869 -0.3572 -0.5210 -0.6780
 -0.8283
  0.9592  0.9429  0.9182  0.8885  0.8549  0.8230  0.7697  0.7015  0.6303  0.5570
  0.4809  0.4031  0.3245  0.2459  0.1681 -0.0198 -0.1978 -0.3674 -0.5303 -0.6865
 -0.8361 -0.9797
  0.9326  0.9150  0.8863  0.8495  0.8077  0.7640  0.7222  0.6783  0.6161  0.5453
  0.4714  0.3952  0.3176  0.2396  0.1619 -0.0265 -0.2049 -0.3744 -0.5368 -0.6927
 -0.8420 -0.9849 -1.1222 -1.2548
  0.8963  0.8806  0.8535  0.8158  0.7704  0.7205  0.6689  0.6185  0.5719  0.5219
  0.4585  0.3869  0.3117  0.2349  0.1578 -0.0304 -0.2092 -0.3788 -0.5409 -0.6967
 -0.8461 -0.9890 -1.1258 -1.2574 -1.3847 -1.5082 -1.6280 -1.7446 -1.8579 -1.9675
  0.8495  0.8372  0.8146  0.7808  0.7377  0.6879  0.6337  0.5773  0.5212  0.4677
  0.4169  0.3623  0.2994  0.2288  0.1543 -0.0327 -0.2113 -0.3809 -0.5429 -0.6986
 -0.8484 -0.9918 -1.1286 -1.2599 -1.3862 -1.5084 -1.6271 -1.7422 -1.8542 -1.9631
 -2.0690
  0.7938  0.7839  0.7665  0.7390  0.7014  0.6556  0.6037  0.5478  0.4895  0.4307
  0.3728  0.3161  0.2608  0.2036  0.1414 -0.0345 -0.2123 -0.3815 -0.5431 -0.6985
 -0.8485 -0.9927 -1.1303 -1.2618 -1.3879 -1.5095 -1.6271 -1.7410 -1.8516 -1.9594
 -2.0645
  0.7294  0.7215  0.7083  0.6870  0.6566  0.6172  0.5704  0.5181  0.4620  0.4035
  0.3438  0.2836  0.2237  0.1652  0.1076 -0.0452 -0.2152 -0.3835 -0.5445 -0.6992
 -0.8489 -0.9938 -1.1326 -1.2652 -1.3919 -1.5136 -1.6310 -1.7445 -1.8545 -1.9611
 -2.0646
  0.6568  0.6518  0.6415  0.6258  0.6022  0.5704  0.5309  0.4846  0.4331  0.3780
  0.3204  0.2610  0.2004  0.1397  0.0798 -0.0670 -0.2206 -0.3832 -0.5427 -0.6963
 -0.8450 -0.9895 -1.1292 -1.2630 -1.3908 -1.5132 -1.6308 -1.7441 -1.8535 -1.9594
 -2.0622
  0.5788  0.5740  0.5671  0.5557  0.5381  0.5133  0.4812  0.4423  0.3972  0.3474
  0.2939  0.2377  0.1796  0.1201  0.0600 -0.0880 -0.2347 -0.3864 -0.5418 -0.6936
 -0.8408 -0.9842 -1.1237 -1.2585 -1.3876 -1.5110 -1.6294 -1.7432 -1.8529 -1.9588
 -2.0612
  0.4987  0.4926  0.4870  0.4785  0.4653  0.4465  0.4214  0.3897  0.3517  0.3083
  0.2605  0.2091  0.1551  0.0989  0.0413 -0.1049 -0.2494 -0.3949 -0.5433
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F300M
  0.8992  0.9156  0.9235  0.9198  0.9095  0.8800  0.8256  0.7579  0.6848  0.6082
  0.5306  0.4526  0.3746  0.2972  0.2208  0.0347 -0.1450 -0.3194 -0.4875
  0.9578  0.9488  0.9484  0.9301  0.8985  0.8587  0.8028  0.7355  0.6628  0.5863
  0.5088  0.4305  0.3520  0.2740  0.1970  0.0107 -0.1673 -0.3386 -0.5040 -0.6625
  0.9747  0.9681  0.9504  0.9374  0.8986  0.8450  0.7851  0.7180  0.6461  0.5709
  0.4940  0.4161  0.3376  0.2593  0.1819 -0.0054 -0.1832 -0.3530 -0.5166 -0.6737
 -0.8243
  0.9644  0.9524  0.9331  0.9082  0.8836  0.8386  0.7738  0.7041  0.6325  0.5590
  0.4831  0.4061  0.3282  0.2501  0.1725 -0.0157 -0.1940 -0.3634 -0.5258 -0.6820
 -0.8318 -0.9755
  0.9460  0.9299  0.9032  0.8696  0.8332  0.7961  0.7559  0.6936  0.6212  0.5485
  0.4742  0.3985  0.3216  0.2441  0.1668 -0.0219 -0.2009 -0.3704 -0.5324 -0.6880
 -0.8373 -0.9804 -1.1179 -1.2508
  0.9196  0.9033  0.8752  0.8371  0.7925  0.7449  0.6975  0.6524  0.6027  0.5373
  0.4656  0.3916  0.3162  0.2398  0.1631 -0.0254 -0.2049 -0.3748 -0.5367 -0.6919
 -0.8411 -0.9841 -1.1210 -1.2529 -1.3803 -1.5040 -1.6244 -1.7415 -1.8549 -1.9645
  0.8840  0.8694  0.8441  0.8074  0.7618  0.7103  0.6558  0.6009  0.5481  0.4983
  0.4450  0.3810  0.3101  0.2359  0.1603 -0.0272 -0.2068 -0.3769 -0.5388 -0.6940
 -0.8432 -0.9864 -1.1234 -1.2549 -1.3815 -1.5040 -1.6230 -1.7386 -1.8510 -1.9601
 -2.0639
  0.8393  0.8263  0.8054  0.7738  0.7319  0.6820  0.6270  0.5692  0.5102  0.4525
  0.3971  0.3432  0.2868  0.2245  0.1557 -0.0280 -0.2072 -0.3773 -0.5392 -0.6942
 -0.8434 -0.9870 -1.1246 -1.2563 -1.3827 -1.5046 -1.6226 -1.7370 -1.8481 -1.9562
 -2.0614
  0.7862  0.7745  0.7571  0.7313  0.6957  0.6511  0.5994  0.5430  0.4838  0.4235
  0.3633  0.3040  0.2456  0.1884  0.1300 -0.0323 -0.2090 -0.3789 -0.5405 -0.6952
 -0.8442 -0.9882 -1.1267 -1.2593 -1.3863 -1.5083 -1.6261 -1.7399 -1.8502 -1.9573
 -2.0613
  0.7256  0.7148  0.7003  0.6796  0.6509  0.6136  0.5683  0.5167  0.4605  0.4015
  0.3412  0.2802  0.2191  0.1584  0.0989 -0.0496 -0.2097 -0.3772 -0.5382 -0.6922
 -0.8405 -0.9843 -1.1233 -1.2570 -1.3849 -1.5075 -1.6255 -1.7392 -1.8491 -1.9554
 -2.0586
  0.6579  0.6484  0.6362  0.6194  0.5963  0.5660  0.5283  0.4836  0.4329  0.3780
  0.3202  0.2606  0.2000  0.1387  0.0775 -0.0720 -0.2211 -0.3772 -0.5359 -0.6889
 -0.8363 -0.9792 -1.1181 -1.2525 -1.3815 -1.5051 -1.6238 -1.7379 -1.8480 -1.9543
 -2.0571
  0.5855  0.5765  0.5659  0.5522  0.5334  0.5089  0.4780  0.4406  0.3969  0.3480
  0.2950  0.2389  0.1808  0.1214  0.0611 -0.0895 -0.2362 -0.3838 -0.5352
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F300M
  0.8577  0.8809  0.8978  0.9031  0.8973  0.8743  0.8245  0.7589  0.6857  0.6090
  0.5317  0.4542  0.3767  0.2997  0.2236  0.0385 -0.1398 -0.3129 -0.4814
  0.9178  0.9264  0.9269  0.9146  0.8899  0.8552  0.8026  0.7367  0.6644  0.5876
  0.5104  0.4327  0.3548  0.2772  0.2005  0.0144 -0.1629 -0.3334 -0.4985 -0.6575
  0.9663  0.9545  0.9501  0.9300  0.8919  0.8429  0.7858  0.7196  0.6480  0.5726
  0.4960  0.4188  0.3410  0.2633  0.1861 -0.0011 -0.1788 -0.3482 -0.5113 -0.6685
 -0.8194
  0.9637  0.9575  0.9427  0.9254  0.8951  0.8396  0.7747  0.7062  0.6347  0.5610
  0.4853  0.4089  0.3319  0.2545  0.1773 -0.0108 -0.1893 -0.3587 -0.5208 -0.6767
 -0.8266 -0.9707
  0.9511  0.9387  0.9160  0.8888  0.8600  0.8276  0.7691  0.6974  0.6240  0.5510
  0.4766  0.4013  0.3253  0.2486  0.1718 -0.0166 -0.1959 -0.3656 -0.5274 -0.6826
 -0.8318 -0.9751 -1.1129 -1.2459
  0.9329  0.9174  0.8903  0.8537  0.8130  0.7719  0.7316  0.6838  0.6162  0.5420
  0.4688  0.3947  0.3198  0.2442  0.1682 -0.0198 -0.1997 -0.3699 -0.5317 -0.6865
 -0.8353 -0.9783 -1.1155 -1.2476 -1.3756 -1.4998 -1.6204 -1.7377 -1.8515 -1.9610
  0.9072  0.8917  0.8648  0.8266  0.7804  0.7300  0.6785  0.6286  0.5803  0.5265
  0.4598  0.3881  0.3148  0.2405  0.1655 -0.0213 -0.2014 -0.3720 -0.5339 -0.6887
 -0.8373 -0.9802 -1.1173 -1.2490 -1.3760 -1.4989 -1.6183 -1.7343 -1.8471 -1.9565
 -2.0621
  0.8740  0.8590  0.8347  0.7994  0.7541  0.7020  0.6460  0.5885  0.5317  0.4773
  0.4247  0.3689  0.3052  0.2357  0.1629 -0.0218 -0.2016 -0.3723 -0.5344 -0.6891
 -0.8376 -0.9806 -1.1181 -1.2499 -1.3767 -1.4989 -1.6174 -1.7323 -1.8439 -1.9523
 -2.0576
  0.8329  0.8189  0.7966  0.7661  0.7255  0.6761  0.6208  0.5621  0.5017  0.4414
  0.3826  0.3258  0.2694  0.2116  0.1498 -0.0241 -0.2029 -0.3737 -0.5359 -0.6905
 -0.8388 -0.9820 -1.1199 -1.2525 -1.3797 -1.5020 -1.6202 -1.7345 -1.8453 -1.9529
 -2.0573
  0.7841  0.7692  0.7502  0.7246  0.6904  0.6472  0.5964  0.5402  0.4806  0.4195
  0.3580  0.2971  0.2370  0.1778  0.1193 -0.0326 -0.2015 -0.3715 -0.5333 -0.6876
 -0.8356 -0.9785 -1.1167 -1.2500 -1.3780 -1.5008 -1.6191 -1.7333 -1.8436 -1.9505
 -2.0542
  0.7287  0.7140  0.6966  0.6744  0.6458  0.6096  0.5657  0.5151  0.4593  0.4003
  0.3395  0.2780  0.2164  0.1550  0.0941 -0.0550 -0.2074 -0.3694 -0.5304 -0.6841
 -0.8315 -0.9738 -1.1118 -1.2455 -1.3743 -1.4980 -1.6170 -1.7315 -1.8420 -1.9488
 -2.0520
  0.6665  0.6525  0.6369  0.6174  0.5929  0.5624  0.5255  0.4820  0.4324  0.3781
  0.3205  0.2608  0.2000  0.1387  0.0772 -0.0745 -0.2225 -0.3728 -0.5279
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F300M
  0.8129  0.8474  0.8760  0.8900  0.8903  0.8716  0.8251  0.7614  0.6882  0.6102
  0.5330  0.4559  0.3789  0.3023  0.2265  0.0424 -0.1347 -0.3066 -0.4744
  0.8972  0.8954  0.9027  0.8992  0.8835  0.8535  0.8035  0.7392  0.6667  0.5894
  0.5124  0.4351  0.3578  0.2806  0.2042  0.0185 -0.1582 -0.3278 -0.4923 -0.6514
  0.9456  0.9370  0.9350  0.9158  0.8837  0.8418  0.7870  0.7221  0.6505  0.5748
  0.4983  0.4215  0.3445  0.2674  0.1906  0.0036 -0.1739 -0.3429 -0.5055 -0.6625
 -0.8137
  0.9598  0.9578  0.9443  0.9312  0.8911  0.8371  0.7759  0.7088  0.6374  0.5635
  0.4878  0.4118  0.3355  0.2589  0.1823 -0.0054 -0.1840 -0.3533 -0.5150 -0.6706
 -0.8206 -0.9649
  0.9509  0.9437  0.9271  0.9072  0.8859  0.8377  0.7712  0.6998  0.6269  0.5537
  0.4792  0.4041  0.3288  0.2530  0.1770 -0.0107 -0.1902 -0.3600 -0.5216 -0.6765
 -0.8255 -0.9690 -1.1070 -1.2402
  0.9378  0.9252  0.9009  0.8688  0.8362  0.8042  0.7622  0.6953  0.6200  0.5452
  0.4716  0.3975  0.3232  0.2484  0.1733 -0.0136 -0.1936 -0.3641 -0.5259 -0.6804
 -0.8288 -0.9717 -1.1091 -1.2415 -1.3696 -1.4939 -1.6150 -1.7331 -1.8473 -1.9569
  0.9207  0.9051  0.8784  0.8407  0.7965  0.7508  0.7067  0.6630  0.6094  0.5391
  0.4646  0.3913  0.3180  0.2444  0.1703 -0.0151 -0.1951 -0.3661 -0.5282 -0.6827
 -0.8308 -0.9733 -1.1104 -1.2424 -1.3696 -1.4928 -1.6126 -1.7292 -1.8425 -1.9522
 -2.0578
  0.8979  0.8813  0.8549  0.8172  0.7704  0.7182  0.6640  0.6103  0.5585  0.5075
  0.4509  0.3839  0.3127  0.2405  0.1676 -0.0156 -0.1952 -0.3664 -0.5288 -0.6833
 -0.8313 -0.9737 -1.1108 -1.2427 -1.3697 -1.4922 -1.6111 -1.7267 -1.8389 -1.9477
 -2.0532
  0.8685  0.8509  0.8262  0.7915  0.7467  0.6942  0.6372  0.5784  0.5191  0.4612
  0.4055  0.3506  0.2928  0.2296  0.1618 -0.0177 -0.1964 -0.3678 -0.5304 -0.6850
 -0.8329 -0.9753 -1.1126 -1.2449 -1.3722 -1.4948 -1.6133 -1.7281 -1.8395 -1.9476
 -2.0525
  0.8318  0.8135  0.7905  0.7599  0.7202  0.6716  0.6165  0.5574  0.4964  0.4349
  0.3740  0.3146  0.2567  0.1988  0.1401 -0.0195 -0.1946 -0.3654 -0.5279 -0.6824
 -0.8301 -0.9723 -1.1096 -1.2423 -1.3701 -1.4930 -1.6116 -1.7262 -1.8371 -1.9464
 -2.0490
  0.7884  0.7693  0.7475  0.7202  0.6859  0.6435  0.5936  0.5378  0.4782  0.4167
  0.3546  0.2925  0.2314  0.1710  0.1114 -0.0372 -0.1952 -0.3626 -0.5247 -0.6789
 -0.8263 -0.9681 -1.1052 -1.2380 -1.3663 -1.4899 -1.6090 -1.7238 -1.8348 -1.9422
 -2.0459
  0.7378  0.7192  0.6982  0.6733  0.6432  0.6067  0.5634  0.5136  0.4584  0.3996
  0.3387  0.2768  0.2148  0.1530  0.0917 -0.0588 -0.2079 -0.3622 -0.5213
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F300M
  0.7626  0.8090  0.8484  0.8710  0.8816  0.8681  0.8243  0.7625  0.6908  0.6123
  0.5348  0.4579  0.3812  0.3049  0.2294  0.0461 -0.1306 -0.3014 -0.4668
  0.8465  0.8570  0.8738  0.8802  0.8730  0.8505  0.8031  0.7417  0.6699  0.5920
  0.5148  0.4378  0.3609  0.2842  0.2080  0.0228 -0.1534 -0.3221 -0.4855 -0.6445
  0.9051  0.9113  0.9098  0.8976  0.8736  0.8385  0.7880  0.7250  0.6540  0.5778
  0.5011  0.4247  0.3481  0.2715  0.1953  0.0087 -0.1687 -0.3372 -0.4991 -0.6557
 -0.8071
  0.9386  0.9445  0.9410  0.9198  0.8821  0.8335  0.7768  0.7117  0.6409  0.5668
  0.4908  0.4151  0.3393  0.2633  0.1874  0.0004 -0.1782 -0.3473 -0.5087 -0.6639
 -0.8138 -0.9583
  0.9475  0.9464  0.9355  0.9231  0.8918  0.8363  0.7715  0.7024  0.6305  0.5572
  0.4823  0.4073  0.3325  0.2574  0.1821 -0.0044 -0.1838 -0.3537 -0.5152 -0.6698
 -0.8185 -0.9620 -1.1003 -1.2338
  0.9369  0.9295  0.9097  0.8855  0.8630  0.8321  0.7711  0.6982  0.6232  0.5487
  0.4749  0.4006  0.3266  0.2526  0.1782 -0.0070 -0.1868 -0.3575 -0.5193 -0.6736
