 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -0.6458 -0.5825 -0.5300 -0.4870 -0.4518 -0.4224 -0.3970 -0.3750 -0.3567 -0.3419
 -0.3300 -0.3201 -0.3114 -0.3045 -0.3015 -0.2943 -0.2829 -0.2720 -0.2742 -0.2935
 -0.3257 -0.3631 -0.4009 -0.4380 -0.4746 -0.5112 -0.5484 -0.5866 -0.6265 -0.6692
 -0.7169
 -0.5551 -0.5056 -0.4649 -0.4317 -0.4051 -0.3835 -0.3648 -0.3478 -0.3324 -0.3189
 -0.3074 -0.2976 -0.2888 -0.2808 -0.2745 -0.2649 -0.2596 -0.2579 -0.2634 -0.2825
 -0.3153 -0.3558 -0.3982 -0.4398 -0.4800 -0.5191 -0.5576 -0.5961 -0.6350 -0.6752
 -0.7176
 -0.4632 -0.4207 -0.3890 -0.3640 -0.3446 -0.3299 -0.3180 -0.3075 -0.2975 -0.2879
 -0.2790 -0.2713 -0.2645 -0.2582 -0.2524 -0.2417 -0.2368 -0.2399 -0.2500 -0.2696
 -0.3016 -0.3431 -0.3889 -0.4352 -0.4800 -0.5230 -0.5645 -0.6049 -0.6445 -0.6843
 -0.7250
 -0.3722 -0.3365 -0.3092 -0.2892 -0.2750 -0.2654 -0.2590 -0.2544 -0.2503 -0.2463
 -0.2421 -0.2381 -0.2346 -0.2315 -0.2352 -0.2247 -0.2145 -0.2180 -0.2340
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.4110 -1.3153 -1.2348 -1.1631 -1.0976 -1.0291 -0.9482 -0.8552 -0.7744 -0.7059
 -0.6424 -0.5797 -0.5180 -0.4601 -0.4076 -0.3022 -0.2314 -0.1946 -0.1890
 -1.2458 -1.1431 -1.0607 -0.9930 -0.9351 -0.8821 -0.8250 -0.7617 -0.7067 -0.6587
 -0.6124 -0.5636 -0.5116 -0.4602 -0.4125 -0.3167 -0.2527 -0.2190 -0.2127 -0.2255
 -1.1273 -1.0175 -0.9310 -0.8631 -0.8097 -0.7664 -0.7270 -0.6846 -0.6468 -0.6138
 -0.5818 -0.5466 -0.5057 -0.4611 -0.4179 -0.3298 -0.2710 -0.2395 -0.2325 -0.2439
 -0.2663
 -1.0424 -0.9163 -0.8239 -0.7603 -0.7108 -0.6729 -0.6431 -0.6154 -0.5899 -0.5678
 -0.5467 -0.5238 -0.4953 -0.4597 -0.4214 -0.3402 -0.2856 -0.2560 -0.2487 -0.2591
 -0.2806 -0.3083
 -0.9962 -0.8545 -0.7467 -0.6683 -0.6153 -0.5842 -0.5688 -0.5544 -0.5387 -0.5235
 -0.5090 -0.4942 -0.4766 -0.4523 -0.4210 -0.3469 -0.2962 -0.2684 -0.2614 -0.2714
 -0.2927 -0.3199 -0.3512 -0.3864
 -0.9884 -0.8426 -0.7229 -0.6289 -0.5597 -0.5124 -0.4852 -0.4756 -0.4753 -0.4762
 -0.4723 -0.4631 -0.4510 -0.4361 -0.4145 -0.3496 -0.3025 -0.2767 -0.2705 -0.2807
 -0.3026 -0.3303 -0.3612 -0.3951 -0.4319 -0.4720 -0.5159 -0.5648 -0.6185 -0.6726
 -0.9841 -0.8398 -0.7192 -0.6220 -0.5463 -0.4903 -0.4515 -0.4264 -0.4121 -0.4076
 -0.4110 -0.4162 -0.4168 -0.4109 -0.3989 -0.3476 -0.3046 -0.2808 -0.2756 -0.2864
 -0.3093 -0.3386 -0.3705 -0.4044 -0.4401 -0.4781 -0.5190 -0.5631 -0.6118 -0.6658
 -0.7213
