 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F150W
 -1.4849 -1.4976 -1.5172 -1.5413 -1.5689 -1.5993 -1.6319 -1.6651 -1.6977 -1.7282
 -1.7562 -1.7814 -1.8043 -1.8250 -1.8442 -1.9046 -1.9980 -2.1113 -2.2281 -2.3437
 -2.4581 -2.5721 -2.6852 -2.7965 -2.9055 -3.0124 -3.1174 -3.2208 -3.3226 -3.4229
 -3.5217
 -1.5206 -1.5269 -1.5399 -1.5571 -1.5788 -1.6041 -1.6326 -1.6636 -1.6963 -1.7289
 -1.7605 -1.7905 -1.8188 -1.8462 -1.8726 -1.9380 -2.0198 -2.1226 -2.2358 -2.3499
 -2.4625 -2.5743 -2.6855 -2.7957 -2.9038 -3.0096 -3.1132 -3.2147 -3.3144 -3.4126
 -3.5113
 -1.5684 -1.5693 -1.5760 -1.5865 -1.6018 -1.6211 -1.6443 -1.6706 -1.7000 -1.7314
 -1.7637 -1.7958 -1.8271 -1.8577 -1.8881 -1.9636 -2.0434 -2.1376 -2.2445 -2.3561
 -2.4674 -2.5774 -2.6865 -2.7951 -2.9023 -3.0074 -3.1102 -3.2106 -3.3088 -3.4052
 -3.5001
 -1.6251 -1.6249 -1.6255 -1.6298 -1.6383 -1.6514 -1.6688 -1.6899 -1.7144 -1.7418
 -1.7715 -1.8028 -1.8347 -1.8667 -1.8987 -1.9801 -2.0639 -2.1540 -2.2545
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F150W
 -1.5333 -1.5293 -1.5344 -1.5435 -1.5452 -1.5459 -1.5525 -1.5609 -1.5698 -1.5809
 -1.5965 -1.6164 -1.6409 -1.6698 -1.7024 -1.7960 -1.9036 -2.0250 -2.1567
 -1.5481 -1.5490 -1.5378 -1.5385 -1.5473 -1.5543 -1.5610 -1.5703 -1.5801 -1.5920
 -1.6083 -1.6293 -1.6549 -1.6849 -1.7184 -1.8135 -1.9209 -2.0395 -2.1669 -2.2972
 -1.5358 -1.5645 -1.5684 -1.5505 -1.5436 -1.5524 -1.5641 -1.5755 -1.5874 -1.6003
 -1.6171 -1.6386 -1.6648 -1.6954 -1.7297 -1.8264 -1.9344 -2.0516 -2.1758 -2.3029
 -2.4300
 -1.5099 -1.5511 -1.5799 -1.5900 -1.5759 -1.5576 -1.5616 -1.5765 -1.5922 -1.6070
 -1.6242 -1.6458 -1.6721 -1.7028 -1.7374 -1.8355 -1.9445 -2.0611 -2.1833 -2.3079
 -2.4325 -2.5559
 -1.4810 -1.5259 -1.5656 -1.5955 -1.6117 -1.6113 -1.5928 -1.5820 -1.5937 -1.6122
 -1.6304 -1.6520 -1.6780 -1.7085 -1.7431 -1.8420 -1.9519 -2.0685 -2.1893 -2.3121
 -2.4348 -2.5561 -2.6757 -2.7937
 -1.4541 -1.4986 -1.5416 -1.5807 -1.6124 -1.6344 -1.6449 -1.6418 -1.6272 -1.6236
 -1.6374 -1.6583 -1.6836 -1.7135 -1.7477 -1.8468 -1.9576 -2.0744 -2.1942 -2.3155
 -2.4367 -2.5566 -2.6744 -2.7904 -2.9047 -3.0174 -3.1287 -3.2387 -3.3467 -3.4500
 -1.4324 -1.4740 -1.5163 -1.5579 -1.5968 -1.6301 -1.6561 -1.6750 -1.6857 -1.6847
 -1.6771 -1.6782 -1.6934 -1.7196 -1.7523 -1.8508 -1.9622 -2.0793 -2.1986 -2.3186
 -2.4384 -2.5569 -2.6733 -2.7878 -2.9003 -3.0109 -3.1199 -3.2275 -3.3339 -3.4385
 -3.5389
 -1.4188 -1.4554 -1.4947 -1.5352 -1.5757 -1.6146 -1.6497 -1.6793 -1.7037 -1.7227
 -1.7347 -1.7376 -1.7378 -1.7460 -1.7659 -1.8549 -1.9661 -2.0835 -2.2026 -2.3216
 -2.4400 -2.5572 -2.6725 -2.7857 -2.8967 -3.0057 -3.1129 -3.2184 -3.3225 -3.4254
 -3.5271
 -1.4150 -1.4457 -1.4803 -1.5174 -1.5562 -1.5959 -1.6349 -1.6714 -1.7040 -1.7324
 -1.7568 -1.7765 -1.7901 -1.7995 -1.8096 -1.8686 -1.9716 -2.0887 -2.2078 -2.3262
 -2.4434 -2.5595 -2.6739 -2.7863 -2.8962 -3.0040 -3.1098 -3.2139 -3.3164 -3.4173
 -3.5167
 -1.4222 -1.4465 -1.4750 -1.5072 -1.5422 -1.5793 -1.6180 -1.6568 -1.6945 -1.7293
 -1.7609 -1.7893 -1.8140 -1.8353 -1.8538 -1.9019 -1.9829 -2.0928 -2.2109 -2.3287
 -2.4450 -2.5597 -2.6729 -2.7844 -2.8935 -3.0002 -3.1047 -3.2071 -3.3076 -3.4066
 -3.5042
 -1.4406 -1.4586 -1.4809 -1.5073 -1.5372 -1.5701 -1.6056 -1.6429 -1.6815 -1.7197
 -1.7562 -1.7903 -1.8217 -1.8503 -1.8769 -1.9379 -2.0073 -2.1021 -2.2147 -2.3312
 -2.4467 -2.5603 -2.6722 -2.7825 -2.8910 -2.9971 -3.1008 -3.2021 -3.3012 -3.3984
 -3.4940
 -1.4691 -1.4821 -1.4989 -1.5193 -1.5436 -1.5713 -1.6022 -1.6358 -1.6718 -1.7094
