 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.1327 -1.1497 -1.3309 -1.3590 -1.3188 -1.2309 -1.1071 -1.0351 -0.9719 -0.9058
 -0.8447 -0.7878 -0.7368 -0.6934 -0.6567 -0.5862 -0.5697 -0.6145 -0.6664
 -1.1579 -1.1215 -1.0951 -1.0922 -1.1144 -1.1145 -1.0732 -1.0143 -0.9556 -0.8995
 -0.8463 -0.7973 -0.7533 -0.7152 -0.6833 -0.6331 -0.6251 -0.6482 -0.6858 -0.7291
 -1.0691 -1.0375 -1.0043 -0.9767 -0.9598 -0.9651 -0.9806 -0.9728 -0.9391 -0.8936
 -0.8482 -0.8048 -0.7654 -0.7310 -0.7023 -0.6570 -0.6490 -0.6715 -0.7092 -0.7525
 -0.7977
 -0.9842 -0.9665 -0.9396 -0.9111 -0.8861 -0.8667 -0.8581 -0.8658 -0.8735 -0.8646
 -0.8391 -0.8060 -0.7722 -0.7416 -0.7159 -0.6752 -0.6678 -0.6896 -0.7276 -0.7712
 -0.8166 -0.8627
 -0.8924 -0.8933 -0.8797 -0.8582 -0.8353 -0.8146 -0.7974 -0.7852 -0.7833 -0.7874
 -0.7900 -0.7828 -0.7663 -0.7444 -0.7226 -0.6869 -0.6806 -0.7023 -0.7408 -0.7857
 -0.8320 -0.8789 -0.9260 -0.9732
 -0.7926 -0.8100 -0.8138 -0.8050 -0.7896 -0.7725 -0.7566 -0.7429 -0.7319 -0.7250
 -0.7242 -0.7270 -0.7276 -0.7237 -0.7159 -0.6917 -0.6872 -0.7090 -0.7482 -0.7956
 -0.8440 -0.8924 -0.9408 -0.9891 -1.0368 -1.0846 -1.1336 -1.1843 -1.2374 -1.2932
 -0.6869 -0.7175 -0.7370 -0.7433 -0.7398 -0.7306 -0.7192 -0.7082 -0.6985 -0.6901
 -0.6837 -0.6808 -0.6814 -0.6838 -0.6855 -0.6856 -0.6872 -0.7079 -0.7489 -0.7997
 -0.8516 -0.9026 -0.9530 -1.0030 -1.0525 -1.1004 -1.1483 -1.1981 -1.2512 -1.3081
 -1.3668
 -0.5773 -0.6185 -0.6498 -0.6698 -0.6798 -0.6820 -0.6789 -0.6732 -0.6670 -0.6612
 -0.6561 -0.6522 -0.6500 -0.6506 -0.6534 -0.6650 -0.6793 -0.7025 -0.7435 -0.7970
 -0.8534 -0.9084 -0.9618 -1.0141 -1.0655 -1.1161 -1.1653 -1.2146 -1.2660 -1.3208
 -1.3800
 -0.4660 -0.5154 -0.5555 -0.5857 -0.6084 -0.6226 -0.6303 -0.6330 -0.6329 -0.6312
 -0.6293 -0.6278 -0.6270 -0.6274 -0.6294 -0.6426 -0.6642 -0.6931 -0.7340 -0.7888
 -0.8491 -0.9090 -0.9667 -1.0223 -1.0765 -1.1294 -1.1815 -1.2330 -1.2853 -1.3386
 -1.3928
 -0.3549 -0.4110 -0.4579 -0.4966 -0.5279 -0.5524 -0.5707 -0.5834 -0.5919 -0.5968
 -0.5999 -0.6021 -0.6043 -0.6069 -0.6103 -0.6241 -0.6477 -0.6800 -0.7218 -0.7759
 -0.8379 -0.9016 -0.9639 -1.0239 -1.0816 -1.1375 -1.1920 -1.2455 -1.2983 -1.3512
 -1.4053
 -0.2463 -0.3065 -0.3586 -0.4035 -0.4419 -0.4742 -0.5011 -0.5231 -0.5408 -0.5542
 -0.5643 -0.5722 -0.5787 -0.5847 -0.5909 -0.6088 -0.6331 -0.6668 -0.7099 -0.7625
 -0.8238 -0.8891 -0.9549 -1.0191 -1.0810 -1.1405 -1.1982 -1.2542 -1.3090 -1.3632
 -1.4174
 -0.1425 -0.1993 -0.2527 -0.3023 -0.3476 -0.3881 -0.4236 -0.4540 -0.4799 -0.5017
 -0.5200 -0.5352 -0.5478 -0.5587 -0.5686 -0.5934 -0.6205 -0.6545 -0.6981
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.4013 -1.4302 -1.4261 -1.3534 -1.2574 -1.1615 -1.0802 -1.0141 -0.9548 -0.8995
 -0.8485 -0.8017 -0.7590 -0.7206 -0.6869 -0.6232 -0.5970 -0.6124 -0.6520
 -1.2677 -1.2312 -1.2341 -1.2580 -1.2247 -1.1519 -1.0754 -1.0099 -0.9535 -0.9021
 -0.8553 -0.8123 -0.7733 -0.7384 -0.7079 -0.6537 -0.6324 -0.6443 -0.6780 -0.7202
 -1.1859 -1.1386 -1.0981 -1.0783 -1.0944 -1.1018 -1.0619 -1.0042 -0.9506 -0.9030
 -0.8599 -0.8204 -0.7845 -0.7525 -0.7247 -0.6756 -0.6567 -0.6674 -0.7002 -0.7424
 -0.7875
 -1.1126 -1.0751 -1.0313 -0.9901 -0.9625 -0.9578 -0.9733 -0.9717 -0.9394 -0.8990
 -0.8604 -0.8244 -0.7914 -0.7620 -0.7365 -0.6919 -0.6753 -0.6854 -0.7172 -0.7596
 -0.8052 -0.8516
 -1.0336 -1.0140 -0.9800 -0.9418 -0.9073 -0.8793 -0.8627 -0.8619 -0.8728 -0.8698
 -0.8496 -0.8219 -0.7933 -0.7665 -0.7431 -0.7026 -0.6881 -0.6981 -0.7293 -0.7724
 -0.8192 -0.8667 -0.9144 -0.9628
 -0.9456 -0.9437 -0.9269 -0.8981 -0.8665 -0.8375 -0.8128 -0.7935 -0.7838 -0.7865
