 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.2439 -2.2337 -2.4191 -2.4270 -2.3478 -2.2197 -2.0615 -1.9554 -1.8604 -1.7595
 -1.6618 -1.5685 -1.4813 -1.4024 -1.3349 -1.1941 -1.1483 -1.1701 -1.1606
 -2.2348 -2.1623 -2.1049 -2.0766 -2.0785 -2.0551 -1.9835 -1.8929 -1.8023 -1.7132
 -1.6262 -1.5436 -1.4677 -1.4002 -1.3421 -1.2367 -1.1817 -1.1650 -1.1704 -1.1881
 -2.1017 -2.0366 -1.9731 -1.9172 -1.8743 -1.8574 -1.8523 -1.8197 -1.7567 -1.6800
 -1.6033 -1.5288 -1.4597 -1.3982 -1.3453 -1.2493 -1.1985 -1.1840 -1.1905 -1.2078
 -1.2321
 -1.9801 -1.9314 -1.8768 -1.8218 -1.7708 -1.7262 -1.6937 -1.6799 -1.6654 -1.6303
 -1.5761 -1.5140 -1.4527 -1.3968 -1.3484 -1.2600 -1.2124 -1.1993 -1.2071 -1.2246
 -1.2478 -1.2759
 -1.8586 -1.8284 -1.7891 -1.7436 -1.6969 -1.6521 -1.6108 -1.5746 -1.5498 -1.5312
 -1.5103 -1.4780 -1.4362 -1.3906 -1.3476 -1.2666 -1.2217 -1.2100 -1.2193 -1.2383
 -1.2618 -1.2889 -1.3197 -1.3545
 -1.7366 -1.7207 -1.6978 -1.6664 -1.6297 -1.5908 -1.5526 -1.5161 -1.4817 -1.4514
 -1.4280 -1.4090 -1.3880 -1.3627 -1.3347 -1.2673 -1.2255 -1.2149 -1.2258 -1.2479
 -1.2733 -1.3009 -1.3312 -1.3643 -1.4006 -1.4405 -1.4842 -1.5318 -1.5834 -1.6389
 -1.6172 -1.6107 -1.6004 -1.5824 -1.5584 -1.5298 -1.4986 -1.4669 -1.4358 -1.4052
 -1.3766 -1.3524 -1.3331 -1.3164 -1.2997 -1.2577 -1.2231 -1.2119 -1.2253 -1.2515
 -1.2808 -1.3109 -1.3421 -1.3749 -1.4096 -1.4456 -1.4843 -1.5275 -1.5766 -1.6314
 -1.6882
 -1.5034 -1.5025 -1.4995 -1.4916 -1.4787 -1.4617 -1.4407 -1.4168 -1.3917 -1.3660
 -1.3405 -1.3165 -1.2952 -1.2778 -1.2633 -1.2347 -1.2131 -1.2048 -1.2184 -1.2479
 -1.2823 -1.3166 -1.3506 -1.3848 -1.4198 -1.4558 -1.4926 -1.5317 -1.5751 -1.6242
 -1.6798
 -1.3982 -1.3999 -1.4001 -1.3978 -1.3929 -1.3849 -1.3740 -1.3600 -1.3433 -1.3243
 -1.3044 -1.2847 -1.2661 -1.2495 -1.2351 -1.2097 -1.1961 -1.1936 -1.2070 -1.2380
 -1.2769 -1.3167 -1.3553 -1.3927 -1.4296 -1.4664 -1.5038 -1.5421 -1.5832 -1.6272
 -1.6738
 -1.3045 -1.3069 -1.3080 -1.3077 -1.3064 -1.3040 -1.3004 -1.2948 -1.2874 -1.2770
 -1.2645 -1.2508 -1.2370 -1.2239 -1.2119 -1.1889 -1.1780 -1.1792 -1.1935 -1.2237
 -1.2644 -1.3087 -1.3526 -1.3948 -1.4352 -1.4745 -1.5132 -1.5517 -1.5907 -1.6312
 -1.6739
 -1.2246 -1.2242 -1.2240 -1.2239 -1.2238 -1.2239 -1.2240 -1.2241 -1.2236 -1.2215
 -1.2172 -1.2110 -1.2034 -1.1953 -1.1874 -1.1707 -1.1616 -1.1647 -1.1804 -1.2089
 -1.2489 -1.2949 -1.3428 -1.3901 -1.4354 -1.4786 -1.5202 -1.5606 -1.6004 -1.6402
 -1.6811
 -1.1578 -1.1418 -1.1346 -1.1338 -1.1369 -1.1421 -1.1477 -1.1526 -1.1567 -1.1599
 -1.1624 -1.1639 -1.1635 -1.1616 -1.1588 -1.1516 -1.1469 -1.1509 -1.1673
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  i   
 -2.5288 -2.5336 -2.5024 -2.3919 -2.2558 -2.1235 -2.0099 -1.9128 -1.8226 -1.7361
 -1.6533 -1.5741 -1.4991 -1.4289 -1.3649 -1.2320 -1.1599 -1.1420 -1.1413
 -2.3406 -2.2712 -2.2499 -2.2536 -2.1903 -2.0816 -1.9715 -1.8761 -1.7904 -1.7094
 -1.6322 -1.5584 -1.4885 -1.4237 -1.3649 -1.2509 -1.1839 -1.1581 -1.1603 -1.1773
 -2.2232 -2.1423 -2.0724 -2.0265 -2.0218 -2.0064 -1.9357 -1.8469 -1.7650 -1.6895
 -1.6176 -1.5489 -1.4838 -1.4233 -1.3687 -1.2636 -1.2017 -1.1768 -1.1791 -1.1957
 -1.2201
 -2.1223 -2.0517 -1.9791 -1.9100 -1.8560 -1.8281 -1.8230 -1.7977 -1.7377 -1.6697
 -1.6038 -1.5402 -1.4796 -1.4232 -1.3722 -1.2743 -1.2163 -1.1920 -1.1940 -1.2107
 -1.2344 -1.2630
 -2.0230 -1.9680 -1.9056 -1.8414 -1.7814 -1.7280 -1.6871 -1.6641 -1.6544 -1.6282
 -1.5820 -1.5276 -1.4727 -1.4203 -1.3727 -1.2811 -1.2265 -1.2029 -1.2050 -1.2225
 -1.2467 -1.2748 -1.3064 -1.3427
 -1.9241 -1.8810 -1.8330 -1.7788 -1.7231 -1.6703 -1.6216 -1.5785 -1.5459 -1.5275
 -1.5128 -1.4890 -1.4537 -1.4113 -1.3686 -1.2832 -1.2319 -1.2092 -1.2115 -1.2306
 -1.2565 -1.2854 -1.3167 -1.3509 -1.3877 -1.4278 -1.4722 -1.5216 -1.5758 -1.6322
 -1.8202 -1.7887 -1.7536 -1.7129 -1.6670 -1.6198 -1.5744 -1.5315 -1.4918 -1.4573
 -1.4307 -1.4125 -1.3961 -1.3758 -1.3501 -1.2800 -1.2323 -1.2106 -1.2130 -1.2337
 -1.2627 -1.2939 -1.3264 -1.3604 -1.3964 -1.4344 -1.4752 -1.5198 -1.5690 -1.6231
 -1.6818
 -1.7201 -1.6928 -1.6683 -1.6384 -1.6050 -1.5672 -1.5281 -1.4899 -1.4533 -1.4183
 -1.3860 -1.3580 -1.3363 -1.3200 -1.3053 -1.2657 -1.2274 -1.2074 -1.2095 -1.2311
 -1.2636 -1.2986 -1.3337 -1.3692 -1.4054 -1.4418 -1.4797 -1.5208 -1.5661 -1.6168
 -1.6733
 -1.6290 -1.6010 -1.5799 -1.5576 -1.5331 -1.5063 -1.4766 -1.4451 -1.4138 -1.3833
 -1.3536 -1.3253 -1.2998 -1.2788 -1.2626 -1.2351 -1.2139 -1.1996 -1.2021 -1.2237
 -1.2586 -1.2982 -1.3376 -1.3762 -1.4142 -1.4523 -1.4912 -1.5322 -1.5752 -1.6201
 -1.6667
 -1.5524 -1.5209 -1.4976 -1.4757 -1.4569 -1.4373 -1.4168 -1.3943 -1.3702 -1.3456
 -1.3211 -1.2971 -1.2739 -1.2527 -1.2347 -1.2061 -1.1924 -1.1867 -1.1914 -1.2121
 -1.2475 -1.2903 -1.3345 -1.3776 -1.4191 -1.4595 -1.4996 -1.5395 -1.5800 -1.6219
 -1.6661
 -1.4976 -1.4541 -1.4237 -1.3991 -1.3819 -1.3651 -1.3498 -1.3347 -1.3188 -1.3013
 -1.2831 -1.2649 -1.2467 -1.2291 -1.2128 -1.1837 -1.1709 -1.1700 -1.1786 -1.1990
 -1.2332 -1.2771 -1.3248 -1.3726 -1.4187 -1.4630 -1.5059 -1.5476 -1.5887 -1.6300
 -1.6722
 -1.4640 -1.4006 -1.3582 -1.3292 -1.3093 -1.2944 -1.2817 -1.2701 -1.2597 -1.2494
 -1.2380 -1.2261 -1.2138 -1.2015 -1.1894 -1.1649 -1.1526 -1.1530 -1.1643
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.7179 -2.6531 -2.4989 -2.3356 -2.1807 -2.0505 -1.9542 -1.8701 -1.7896 -1.7126
 -1.6404 -1.5717 -1.5065 -1.4446 -1.3862 -1.2615 -1.1747 -1.1307 -1.1248
 -2.4466 -2.4447 -2.4260 -2.3061 -2.1653 -2.0353 -1.9302 -1.8454 -1.7666 -1.6932
 -1.6247 -1.5599 -1.4983 -1.4400 -1.3852 -1.2698 -1.1917 -1.1525 -1.1466 -1.1612
 -2.3244 -2.2363 -2.2023 -2.2087 -2.1385 -2.0237 -1.9144 -1.8251 -1.7486 -1.6781
 -1.6132 -1.5520 -1.4938 -1.4387 -1.3871 -1.2789 -1.2068 -1.1704 -1.1640 -1.1779
 -1.2023
 -2.2442 -2.1473 -2.0613 -2.0048 -1.9947 -1.9774 -1.8998 -1.8096 -1.7320 -1.6640
 -1.6022 -1.5443 -1.4895 -1.4375 -1.3887 -1.2865 -1.2189 -1.1846 -1.1779 -1.1910
 -1.2149 -1.2445
 -2.1683 -2.0826 -1.9949 -1.9144 -1.8505 -1.8133 -1.8045 -1.7772 -1.7148 -1.6489
 -1.5896 -1.5350 -1.4833 -1.4342 -1.3882 -1.2915 -1.2276 -1.1951 -1.1884 -1.2012
 -1.2252 -1.2543 -1.2873 -1.3239
 -2.0898 -2.0174 -1.9405 -1.8625 -1.7891 -1.7263 -1.6790 -1.6515 -1.6402 -1.6157
 -1.5709 -1.5220 -1.4741 -1.4281 -1.3848 -1.2933 -1.2328 -1.2019 -1.1955 -1.2083
 -1.2330 -1.2630 -1.2956 -1.3313 -1.3697 -1.4116 -1.4580 -1.5095 -1.5654 -1.6214
 -2.0090 -1.9470 -1.8824 -1.8149 -1.7467 -1.6824 -1.6252 -1.5767 -1.5398 -1.5180
 -1.5046 -1.4849 -1.4543 -1.4167 -1.3775 -1.2917 -1.2345 -1.2052 -1.1992 -1.2119
 -1.2377 -1.2694 -1.3032 -1.3389 -1.3766 -1.4162 -1.4588 -1.5055 -1.5572 -1.6136
 -1.6711
 -1.9317 -1.8726 -1.8173 -1.7610 -1.7030 -1.6443 -1.5885 -1.5378 -1.4933 -1.4557
 -1.4271 -1.4079 -1.3936 -1.3775 -1.3556 -1.2861 -1.2324 -1.2049 -1.1990 -1.2117
 -1.2385 -1.2725 -1.3087 -1.3458 -1.3837 -1.4231 -1.4637 -1.5068 -1.5536 -1.6053
 -1.6625
 -1.8644 -1.8005 -1.7474 -1.6987 -1.6506 -1.6015 -1.5520 -1.5045 -1.4608 -1.4213
 -1.3865 -1.3572 -1.3341 -1.3172 -1.3037 -1.2674 -1.2257 -1.2005 -1.1954 -1.2078
 -1.2350 -1.2715 -1.3111 -1.3511 -1.3909 -1.4309 -1.4719 -1.5150 -1.5601 -1.6070
 -1.6555
 -1.8139 -1.7410 -1.6818 -1.6339 -1.5915 -1.5510 -1.5104 -1.4694 -1.4298 -1.3928
 -1.3588 -1.3282 -1.3010 -1.2781 -1.2599 -1.2312 -1.2099 -1.1924 -1.1882 -1.2000
 -1.2266 -1.2644 -1.3074 -1.3513 -1.3943 -1.4366 -1.4787 -1.5207 -1.5634 -1.6074
 -1.6540
 -1.7878 -1.6967 -1.6281 -1.5742 -1.5305 -1.4937 -1.4600 -1.4270 -1.3940 -1.3616
 -1.3311 -1.3029 -1.2769 -1.2535 -1.2330 -1.1988 -1.1840 -1.1774 -1.1778 -1.1897
 -1.2151 -1.2528 -1.2981 -1.3459 -1.3931 -1.4388 -1.4835 -1.5272 -1.5704 -1.6139
 -1.6581
 -1.7899 -1.6767 -1.5925 -1.5275 -1.4769 -1.4370 -1.4045 -1.3765 -1.3503 -1.3243
 -1.2987 -1.2746 -1.2520 -1.2312 -1.2121 -1.1761 -1.1597 -1.1573 -1.1634
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  i   
 -2.7765 -2.6452 -2.4646 -2.2995 -2.1494 -2.0227 -1.9278 -1.8487 -1.7749 -1.7008
 -1.6323 -1.5675 -1.5063 -1.4484 -1.3936 -1.2731 -1.1833 -1.1314 -1.1176
 -2.5279 -2.5418 -2.4400 -2.2838 -2.1384 -2.0093 -1.9090 -1.8277 -1.7540 -1.6831
 -1.6178 -1.5565 -1.4984 -1.4435 -1.3915 -1.2788 -1.1973 -1.1513 -1.1392 -1.1512
 -2.3630 -2.2969 -2.3079 -2.2560 -2.1290 -2.0040 -1.8957 -1.8104 -1.7374 -1.6689
 -1.6067 -1.5486 -1.4936 -1.4415 -1.3922 -1.2857 -1.2099 -1.1677 -1.1561 -1.1670
 -1.1910
 -2.2893 -2.1821 -2.1043 -2.0849 -2.0777 -1.9931 -1.8884 -1.7962 -1.7221 -1.6557
 -1.5960 -1.5408 -1.4888 -1.4395 -1.3928 -1.2917 -1.2201 -1.1807 -1.1695 -1.1794
 -1.2026 -1.2326
 -2.2268 -2.1241 -2.0257 -1.9457 -1.8983 -1.8891 -1.8606 -1.7856 -1.7078 -1.6423
 -1.5842 -1.5316 -1.4824 -1.4358 -1.3917 -1.2957 -1.2277 -1.1905 -1.1797 -1.1891
 -1.2119 -1.2414 -1.2750 -1.3124
 -2.1631 -2.0713 -1.9790 -1.8905 -1.8141 -1.7562 -1.7232 -1.7109 -1.6819 -1.6265
 -1.5705 -1.5202 -1.4736 -1.4296 -1.3880 -1.2971 -1.2324 -1.1971 -1.1870 -1.1961
 -1.2189 -1.2488 -1.2822 -1.3186 -1.3582 -1.4017 -1.4495 -1.5014 -1.5569 -1.6141
 -2.0970 -2.0147 -1.9326 -1.8511 -1.7730 -1.7033 -1.6452 -1.6015 -1.5755 -1.5616
 -1.5391 -1.5021 -1.4610 -1.4204 -1.3813 -1.2956 -1.2342 -1.2007 -1.1910 -1.2001
 -1.2231 -1.2541 -1.2885 -1.3249 -1.3635 -1.4049 -1.4492 -1.4970 -1.5492 -1.6061
 -1.6633
 -2.0346 -1.9542 -1.8805 -1.8086 -1.7378 -1.6698 -1.6077 -1.5542 -1.5101 -1.4763
 -1.4549 -1.4406 -1.4235 -1.3994 -1.3692 -1.2909 -1.2330 -1.2012 -1.1920 -1.2009
 -1.2239 -1.2563 -1.2927 -1.3305 -1.3695 -1.4100 -1.4520 -1.4966 -1.5448 -1.5974
 -1.6550
 -1.9830 -1.8959 -1.8232 -1.7583 -1.6963 -1.6357 -1.5772 -1.5232 -1.4756 -1.4346
 -1.4006 -1.3745 -1.3559 -1.3421 -1.3282 -1.2798 -1.2278 -1.1981 -1.1896 -1.1983
 -1.2215 -1.2552 -1.2942 -1.3347 -1.3755 -1.4167 -1.4590 -1.5024 -1.5476 -1.5960
 -1.6476
 -1.9489 -1.8506 -1.7708 -1.7053 -1.6487 -1.5958 -1.5446 -1.4951 -1.4490 -1.4075
 -1.3710 -1.3396 -1.3134 -1.2925 -1.2766 -1.2479 -1.2174 -1.1918 -1.1840 -1.1923
 -1.2148 -1.2490 -1.2903 -1.3342 -1.3780 -1.4213 -1.4646 -1.5080 -1.5521 -1.5975
 -1.6453
 -1.9387 -1.8227 -1.7315 -1.6581 -1.5984 -1.5490 -1.5043 -1.4616 -1.4205 -1.3818
 -1.3465 -1.3150 -1.2873 -1.2633 -1.2430 -1.2099 -1.1925 -1.1801 -1.1752 -1.1835
 -1.2051 -1.2388 -1.2816 -1.3286 -1.3762 -1.4228 -1.4685 -1.5134 -1.5580 -1.6028
 -1.6481
 -1.9591 -1.8181 -1.7105 -1.6245 -1.5556 -1.5015 -1.4582 -1.4204 -1.3854 -1.3518
 -1.3200 -1.2909 -1.2646 -1.2412 -1.2205 -1.1825 -1.1649 -1.1600 -1.1624
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  i   
 -2.7976 -2.6125 -2.4250 -2.2654 -2.1281 -2.0058 -1.9109 -1.8309 -1.7604 -1.6893
 -1.6236 -1.5619 -1.5038 -1.4491 -1.3976 -1.2826 -1.1927 -1.1363 -1.1111
 -2.6351 -2.5823 -2.4218 -2.2547 -2.1134 -1.9913 -1.8937 -1.8134 -1.7408 -1.6726
 -1.6098 -1.5512 -1.4960 -1.4439 -1.3946 -1.2860 -1.2031 -1.1513 -1.1324 -1.1402
 -2.4038 -2.3956 -2.3807 -2.2517 -2.1067 -1.9829 -1.8802 -1.7974 -1.7253 -1.6587
 -1.5987 -1.5430 -1.4907 -1.4412 -1.3943 -1.2910 -1.2130 -1.1656 -1.1484 -1.1553
 -1.1781
 -2.3221 -2.2152 -2.1742 -2.1814 -2.0996 -1.9788 -1.8715 -1.7832 -1.7107 -1.6459
 -1.5880 -1.5349 -1.4853 -1.4385 -1.3940 -1.2956 -1.2214 -1.1770 -1.1610 -1.1672
 -1.1888 -1.2189
 -2.2722 -2.1540 -2.0522 -1.9888 -1.9779 -1.9531 -1.8655 -1.7735 -1.6969 -1.6334
 -1.5764 -1.5256 -1.4785 -1.4342 -1.3922 -1.2987 -1.2279 -1.1858 -1.1708 -1.1766
 -1.1972 -1.2266 -1.2608 -1.2990
 -2.2245 -2.1126 -2.0063 -1.9122 -1.8412 -1.8019 -1.7897 -1.7545 -1.6861 -1.6199
 -1.5639 -1.5146 -1.4697 -1.4278 -1.3881 -1.2997 -1.2321 -1.1920 -1.1778 -1.1834
