 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.8123 -3.0857 -2.6973 -2.6411 -2.9409 -3.3794 -3.8581 -3.7204 -3.5870 -3.4455
 -3.2960 -3.1859 -3.0203 -2.8552 -2.7000 -2.3662 -2.0800 -1.8660 -1.6915
 -4.5463 -4.2093 -3.9651 -3.8044 -3.7000 -3.6046 -3.5029 -3.3991 -3.2959 -3.1913
 -3.0750 -2.9420 -2.7989 -2.6586 -2.5269 -2.2363 -2.0002 -1.8170 -1.6807 -1.5772
 -4.3395 -4.0235 -3.7749 -3.5826 -3.4392 -3.3400 -3.2720 -3.2001 -3.1088 -3.0042
 -2.8990 -2.7891 -2.6663 -2.5406 -2.4222 -2.1661 -1.9588 -1.7964 -1.6739 -1.5799
 -1.5050
 -4.1800 -3.8962 -3.6633 -3.4716 -3.3148 -3.1889 -3.0891 -3.0113 -2.9437 -2.8639
 -2.7666 -2.6669 -2.5623 -2.4515 -2.3439 -2.1117 -1.9272 -1.7826 -1.6723 -1.5866
 -1.5175 -1.4595
 -4.0277 -3.7807 -3.5715 -3.3919 -3.2368 -3.1039 -2.9913 -2.8955 -2.8119 -2.7360
 -2.6582 -2.5714 -2.4806 -2.3830 -2.2858 -2.0720 -1.9034 -1.7727 -1.6731 -1.5951
 -1.5317 -1.4780 -1.4312 -1.3886
 -3.8747 -3.6623 -3.4796 -3.3178 -3.1725 -3.0422 -2.9264 -2.8245 -2.7338 -2.6505
 -2.5711 -2.4923 -2.4136 -2.3297 -2.2428 -2.0438 -1.8858 -1.7646 -1.6734 -1.6029
 -1.5454 -1.4965 -1.4536 -1.4150 -1.3781 -1.3444 -1.3160 -1.2947 -1.2817 -1.2778
 -3.7283 -3.5414 -3.3827 -3.2402 -3.1087 -2.9867 -2.8741 -2.7715 -2.6788 -2.5939
 -2.5138 -2.4361 -2.3603 -2.2850 -2.2082 -2.0249 -1.8735 -1.7575 -1.6716 -1.6073
 -1.5561 -1.5127 -1.4745 -1.4400 -1.4079 -1.3769 -1.3487 -1.3255 -1.3089 -1.3007
 -1.3033
 -3.5910 -3.4249 -3.2835 -3.1572 -3.0404 -2.9296 -2.8240 -2.7249 -2.6335 -2.5489
 -2.4701 -2.3949 -2.3218 -2.2503 -2.1792 -2.0105 -1.8659 -1.7522 -1.6681 -1.6073
 -1.5614 -1.5240 -1.4915 -1.4621 -1.4345 -1.4082 -1.3818 -1.3579 -1.3392 -1.3283
 -1.3265
 -3.4665 -3.3174 -3.1861 -3.0709 -2.9658 -2.8659 -2.7695 -2.6767 -2.5889 -2.5067
 -2.4299 -2.3575 -2.2881 -2.2205 -2.1537 -1.9955 -1.8583 -1.7477 -1.6637 -1.6035
 -1.5606 -1.5285 -1.5021 -1.4787 -1.4567 -1.4353 -1.4146 -1.3961 -1.3799 -1.3659
 -1.3538
 -3.3547 -3.2189 -3.0992 -2.9890 -2.8905 -2.7994 -2.7119 -2.6268 -2.5447 -2.4664
 -2.3926 -2.3231 -2.2571 -2.1937 -2.1316 -1.9829 -1.8522 -1.7445 -1.6610 -1.5997
 -1.5569 -1.5274 -1.5059 -1.4886 -1.4729 -1.4575 -1.4423 -1.4272 -1.4164 -1.4025
 -1.3869
 -3.2558 -3.1294 -3.0228 -2.9157 -2.8185 -2.7311 -2.6501 -2.5723 -2.4967 -2.4237
 -2.3539 -2.2877 -2.2252 -2.1655 -2.1078 -1.9699 -1.8450 -1.7405 -1.6580 -1.5961
 -1.5523 -1.5227 -1.5036 -1.4910 -1.4813 -1.4724 -1.4636 -1.4542 -1.4444 -1.4348
 -1.4263
 -3.1696 -3.0489 -2.9569 -2.8517 -2.7538 -2.6662 -2.5871 -2.5139 -2.4442 -2.3770
 -2.3121 -2.2501 -2.1911 -2.1351 -2.0823 -1.9565 -1.8367 -1.7357 -1.6547
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -5.3638 -4.7077 -4.2300 -3.9245 -3.7947 -3.7607 -3.7827 -3.6295 -3.4820 -3.3339
 -3.1813 -3.0406 -2.8835 -2.7345 -2.5968 -2.3006 -2.0518 -1.8538 -1.6927
 -5.0125 -4.5975 -4.2982 -4.0469 -3.8309 -3.6506 -3.4995 -3.3680 -3.2460 -3.1256
 -3.0004 -2.8662 -2.7269 -2.5930 -2.4691 -2.2042 -1.9882 -1.8135 -1.6782 -1.5727
 -4.6999 -4.2639 -3.9377 -3.7030 -3.5468 -3.4280 -3.3085 -3.1882 -3.0741 -2.9664
 -2.8598 -2.7473 -2.6243 -2.5002 -2.3844 -2.1402 -1.9471 -1.7919 -1.6704 -1.5759
 -1.5002
 -4.5348 -4.1164 -3.7920 -3.5436 -3.3560 -3.2172 -3.1213 -3.0479 -2.9624 -2.8602
 -2.7559 -2.6545 -2.5486 -2.4357 -2.3278 -2.0960 -1.9180 -1.7777 -1.6677 -1.5813
 -1.5115 -1.4531
 -4.4209 -4.0312 -3.7223 -3.4776 -3.2836 -3.1301 -3.0086 -2.9121 -2.8373 -2.7688
 -2.6840 -2.5883 -2.4903 -2.3889 -2.2873 -2.0667 -1.8980 -1.7680 -1.6675 -1.5886
