 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.4010  0.4154  0.4285  0.4400  0.4489  0.4540  0.4544  0.4500  0.4410  0.4281
  0.4122  0.3943  0.3749  0.3537  0.3299  0.2565  0.1685  0.0703 -0.0354 -0.1442
 -0.2533 -0.3622 -0.4704 -0.5775 -0.6823 -0.7839 -0.8822 -0.9772 -1.0693 -1.1588
 -1.2463
  0.3351  0.3496  0.3634  0.3764  0.3879  0.3969  0.4021  0.4029  0.3989  0.3906
  0.3783  0.3629  0.3464  0.3255  0.3097  0.2418  0.1526  0.0583 -0.0425
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.8169  0.8269  0.8379  0.8480  0.8551  0.8569  0.8518  0.8385  0.8172  0.7880
  0.7514  0.7093  0.6644  0.6176  0.5697  0.4469  0.3208  0.1918  0.0607
  0.7885  0.7934  0.7999  0.8073  0.8134  0.8160  0.8132  0.8039  0.7873  0.7631
  0.7308  0.6906  0.6457  0.5984  0.5499  0.4267  0.3019  0.1753  0.0474 -0.0793
  0.7471  0.7459  0.7584  0.7700  0.7755  0.7774  0.7756  0.7687  0.7559  0.7367
  0.7097  0.6740  0.6308  0.5836  0.5348  0.4108  0.2865  0.1616  0.0359 -0.0885
 -0.2102
  0.7388  0.7206  0.7075  0.7032  0.7114  0.7297  0.7399  0.7376  0.7267  0.7098
  0.6867  0.6564  0.6174  0.5717  0.5230  0.3984  0.2741  0.1503  0.0263 -0.0965
 -0.2165 -0.3334
  0.7372  0.7164  0.6952  0.6766  0.6627  0.6577  0.6638  0.6767  0.6879  0.6829
  0.6642  0.6369  0.6027  0.5605  0.5131  0.3887  0.2641  0.1410  0.0183 -0.1033
 -0.2222 -0.3377 -0.4501 -0.5599
  0.7309  0.7127  0.6914  0.6694  0.6488  0.6318  0.6192  0.6116  0.6108  0.6183
  0.6218  0.6101  0.5841  0.5476  0.5035  0.3806  0.2561  0.1333  0.0117 -0.1088
 -0.2271 -0.3419 -0.4533 -0.5616 -0.6673 -0.7706 -0.8722 -0.9730 -1.0727 -1.1688
  0.7148  0.7020  0.6844  0.6640  0.6425  0.6214  0.6021  0.5855  0.5713  0.5599
  0.5533  0.5509  0.5425  0.5217  0.4885  0.3734  0.2494  0.1270  0.0062 -0.1132
 -0.2309 -0.3455 -0.4564 -0.5640 -0.6686 -0.7705 -0.8704 -0.9685 -1.0656 -1.1623
 -1.2561
  0.6868  0.6806  0.6689  0.6529  0.6342  0.6138  0.5927  0.5721  0.5524  0.5335
  0.5154  0.4989  0.4856  0.4725  0.4525  0.3632  0.2433  0.1215  0.0016 -0.1167
 -0.2334 -0.3480 -0.4590 -0.5665 -0.6705 -0.7716 -0.8703 -0.9668 -1.0616 -1.1556
 -1.2497
  0.6492  0.6489  0.6430  0.6327  0.6187  0.6016  0.5822  0.5613  0.5396  0.5175
  0.4952  0.4725  0.4497  0.4283  0.4077  0.3378  0.2338  0.1148 -0.0041 -0.1213
 -0.2369 -0.3510 -0.4624 -0.5704 -0.6747 -0.7757 -0.8739 -0.9694 -1.0629 -1.1551
 -1.2462
  0.6041  0.6080  0.6074  0.6027  0.5941  0.5818  0.5660  0.5475  0.5267  0.5043
  0.4807  0.4560  0.4302  0.4037  0.3770  0.3077  0.2177  0.1084 -0.0079 -0.1237
 -0.2379 -0.3507 -0.4617 -0.5701 -0.6751 -0.7765 -0.8747 -0.9700 -1.0627 -1.1533
 -1.2438
  0.5542  0.5608  0.5640  0.5640  0.5604  0.5531  0.5420  0.5272  0.5092  0.4884
  0.4656  0.4410  0.4149  0.3873  0.3585  0.2825  0.1981  0.0980 -0.0126 -0.1261
 -0.2388 -0.3502 -0.4601 -0.5682 -0.6737 -0.7760 -0.8749 -0.9706 -1.0633 -1.1535
 -1.2416
  0.5018  0.5097  0.5151  0.5182  0.5186  0.5159  0.5095  0.4992  0.4849  0.4672
  0.4466  0.4236  0.3973  0.3695  0.3522  0.2622  0.1750  0.0836 -0.0182
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F150W2
  0.8784  0.8895  0.9000  0.9084  0.9120  0.9080  0.8937  0.8681  0.8334  0.7922
  0.7471  0.7005  0.6538  0.6068  0.5595  0.4396  0.3178  0.1932  0.0656
  0.8468  0.8549  0.8639  0.8719  0.8763  0.8744  0.8633  0.8421  0.8123  0.7755
  0.7332  0.6873  0.6398  0.5918  0.5434  0.4218  0.3001  0.1773  0.0527 -0.0727
  0.8189  0.8231  0.8290  0.8351  0.8392  0.8387  0.8309  0.8143  0.7898  0.7581
  0.7202  0.6769  0.6302  0.5818  0.5326  0.4092  0.2867  0.1646  0.0420 -0.0810
 -0.2026
  0.7779  0.7780  0.7884  0.7984  0.8032  0.8032  0.7975  0.7847  0.7649  0.7384
  0.7056  0.6666  0.6223  0.5746  0.5253  0.4006  0.2770  0.1549  0.0333 -0.0880
 -0.2078 -0.3251
  0.7672  0.7449  0.7336  0.7320  0.7393  0.7521  0.7592  0.7541  0.7391  0.7167
  0.6884  0.6541  0.6140  0.5685  0.5200  0.3948  0.2702  0.1478  0.0266 -0.0936
 -0.2123 -0.3283 -0.4413 -0.5517
  0.7675  0.7459  0.7244  0.7054  0.6914  0.6831  0.6808  0.6845  0.6910  0.6869
  0.6683  0.6392  0.6033  0.5617  0.5152  0.3907  0.2655  0.1426  0.0216 -0.0980
 -0.2160 -0.3313 -0.4433 -0.5524 -0.6588 -0.7632 -0.8657 -0.9670 -1.0669 -1.1629
  0.7675  0.7466  0.7229  0.6984  0.6751  0.6549  0.6382  0.6246  0.6150  0.6122
  0.6136  0.6068  0.5854  0.5512  0.5092  0.3877  0.2623  0.1390  0.0181 -0.1011
 -0.2186 -0.3336 -0.4453 -0.5537 -0.6591 -0.7620 -0.8628 -0.9618 -1.0596 -1.1563
 -1.2499
  0.7609  0.7439  0.7221  0.6972  0.6712  0.6456  0.6217  0.6001  0.5806  0.5629
  0.5484  0.5394  0.5328  0.5189  0.4925  0.3846  0.2600  0.1366  0.0157 -0.1031
 -0.2201 -0.3350 -0.4467 -0.5550 -0.6599 -0.7620 -0.8617 -0.9591 -1.0548 -1.1495
 -1.2436
  0.7434  0.7325  0.7154  0.6934  0.6684  0.6420  0.6156  0.5898  0.5650  0.5412
  0.5183  0.4965  0.4776  0.4626  0.4472  0.3733  0.2566  0.1335  0.0126 -0.1059
 -0.2223 -0.3370 -0.4491 -0.5579 -0.6631 -0.7651 -0.8643 -0.9609 -1.0553 -1.1483
 -1.2401
  0.7154  0.7101  0.6993  0.6823  0.6611  0.6370  0.6113  0.5848  0.5580  0.5311
  0.5042  0.4773  0.4507  0.4254  0.4024  0.3433  0.2502  0.1322  0.0120 -0.1059
 -0.2216 -0.3355 -0.4475 -0.5568 -0.6627 -0.7650 -0.8642 -0.9605 -1.0542 -1.1459
 -1.2359
  0.6796  0.6791  0.6734  0.6617  0.6455  0.6256  0.6029  0.5782  0.5521  0.5247
  0.4964  0.4673  0.4375  0.4076  0.3780  0.3090  0.2306  0.1279  0.0114 -0.1056
 -0.2205 -0.3336 -0.4449 -0.5542 -0.6606 -0.7638 -0.8636 -0.9602 -1.0539 -1.1452
 -1.2342
  0.6393  0.6425  0.6402  0.6329  0.6214  0.6063  0.5877  0.5664  0.5426  0.5168
  0.4893  0.4600  0.4295  0.3978  0.3740  0.2704  0.1978  0.1206  0.0108
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F150W2
  0.9135  0.9247  0.9346  0.9415  0.9430  0.9358  0.9168  0.8847  0.8426  0.7949
  0.7455  0.6963  0.6482  0.6008  0.5535  0.4350  0.3153  0.1933  0.0683
