 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.0019 -2.7332 -2.5083 -2.3173 -2.1509 -2.0021 -1.8669 -1.7435 -1.6310 -1.5284
 -1.4344 -1.3467 -1.2632 -1.1831 -1.1051 -0.9189 -0.7547 -0.6232 -0.5225 -0.4468
 -0.3910 -0.3490 -0.3152 -0.2859 -0.2592 -0.2338 -0.2097 -0.1870 -0.1661 -0.1484
 -0.1368
 -2.9236 -2.6758 -2.4634 -2.2814 -2.1224 -1.9797 -1.8488 -1.7275 -1.6152 -1.5116
 -1.4162 -1.3280 -1.2452 -1.1661 -1.0897 -0.9103 -0.7527 -0.6226 -0.5214 -0.4449
 -0.3889 -0.3487 -0.3190 -0.2954 -0.2747 -0.2554 -0.2368 -0.2188 -0.2016 -0.1860
 -0.1715
 -2.8594 -2.6291 -2.4258 -2.2493 -2.0942 -1.9555 -1.8282 -1.7097 -1.5989 -1.4954
 -1.3994 -1.3106 -1.2282 -1.1506 -1.0763 -0.9025 -0.7497 -0.6222 -0.5207 -0.4432
 -0.3861 -0.3456 -0.3177 -0.2980 -0.2828 -0.2697 -0.2574 -0.2453 -0.2332 -0.2216
 -0.2111
 -2.8067 -2.5917 -2.3981 -2.2245 -2.0704 -1.9326 -1.8071 -1.6905 -1.5814 -1.4789
 -1.3830 -1.2939 -1.2099 -1.1326 -1.0649 -0.8955 -0.7457 -0.6220 -0.5204
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -5.4675 -4.9171 -4.4363 -4.0193 -3.6587 -3.3375 -3.0393 -2.7569 -2.5053 -2.2863
 -2.0914 -1.9136 -1.7495 -1.6021 -1.4690 -1.1851 -0.9484 -0.7479 -0.5786
 -5.0189 -4.4772 -4.0024 -3.5978 -3.2572 -2.9684 -2.7157 -2.4859 -2.2815 -2.1005
 -1.9351 -1.7779 -1.6273 -1.4880 -1.3617 -1.0965 -0.8833 -0.7044 -0.5554 -0.4353
 -4.4675 -3.9765 -3.5958 -3.2680 -2.9736 -2.7166 -2.4928 -2.2947 -2.1192 -1.9630
 -1.8199 -1.6819 -1.5443 -1.4119 -1.2901 -1.0359 -0.8375 -0.6752 -0.5407 -0.4312
 -0.3423
 -4.1555 -3.6237 -3.2101 -2.8957 -2.6632 -2.4886 -2.3250 -2.1605 -2.0035 -1.8607
 -1.7309 -1.6088 -1.4862 -1.3621 -1.2444 -0.9969 -0.8071 -0.6559 -0.5324 -0.4316
 -0.3493 -0.2805
 -4.0082 -3.4685 -3.0438 -2.7148 -2.4600 -2.2664 -2.1224 -2.0104 -1.9093 -1.7931
 -1.6704 -1.5533 -1.4415 -1.3283 -1.2159 -0.9732 -0.7881 -0.6437 -0.5282 -0.4347
 -0.3585 -0.2947 -0.2396 -0.1913
 -3.9335 -3.4007 -2.9769 -2.6453 -2.3857 -2.1809 -2.0181 -1.8870 -1.7820 -1.6986
 -1.6148 -1.5159 -1.4096 -1.3030 -1.1972 -0.9596 -0.7766 -0.6362 -0.5260 -0.4384
 -0.3678 -0.3092 -0.2587 -0.2139 -0.1735 -0.1369 -0.1046 -0.0773 -0.0567 -0.0477
 -3.8788 -3.3658 -2.9514 -2.6233 -2.3627 -2.1533 -1.9829 -1.8422 -1.7241 -1.6228
 -1.5356 -1.4576 -1.3751 -1.2825 -1.1837 -0.9524 -0.7700 -0.6313 -0.5243 -0.4409
 -0.3755 -0.3221 -0.2765 -0.2361 -0.1994 -0.1657 -0.1354 -0.1086 -0.0864 -0.0729
 -0.0711
 -3.8198 -3.3367 -2.9399 -2.6197 -2.3620 -2.1513 -1.9768 -1.8293 -1.7032 -1.5936
 -1.4958 -1.4070 -1.3266 -1.2489 -1.1658 -0.9487 -0.7668 -0.6281 -0.5224 -0.4415
